"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"08/09/2015";"48,5";"49,77";"49,77";"48,5";"7";
"09/09/2015";"50";"48,51";"52";"48,51";"616";
"10/09/2015";"50";"49,51";"50,47";"49,5";"1794";
"11/09/2015";"49";"50";"50,49";"49";"4533";
"14/09/2015";"49";"49";"49,5";"48,5";"2857";
"15/09/2015";"49,5";"49";"49,5";"47,51";"2113";
"16/09/2015";"48";"49,5";"49,5";"47,61";"4955";
"17/09/2015";"47,99";"47,52";"47,99";"47,25";"25689";
"18/09/2015";"47,51";"47,98";"48";"47,51";"11741";
"21/09/2015";"47,5";"47,01";"47,51";"46,51";"5163";
"22/09/2015";"47,3";"47,49";"47,9";"47,3";"809";
"23/09/2015";"46,76";"47";"47,3";"46,76";"1731";
"24/09/2015";"47,2";"46,53";"47,7";"46,53";"8091";
"25/09/2015";"49,13";"47";"49,31";"46,76";"7241";
"28/09/2015";"44,68";"49,01";"49,01";"44,51";"7658";
"29/09/2015";"44,68";"44,51";"45,2";"44,51";"849";
"30/09/2015";"43,99";"42,01";"44,08";"41,51";"15220";
"01/10/2015";"43,99";"43,74";"45,29";"43";"1676";
"02/10/2015";"44,99";"43,68";"44,99";"43,52";"1297";
"05/10/2015";"45";"44,98";"45,1";"44,4";"2196";
"06/10/2015";"43,2";"44,99";"45";"43,2";"1562";
"07/10/2015";"41,01";"43,01";"43,5";"40,51";"3420";
"08/10/2015";"41";"40,51";"41,87";"39,51";"12526";
"09/10/2015";"40,1";"40,99";"40,99";"39,54";"6903";
"12/10/2015";"40";"40,09";"40,4";"39,66";"4347";
"13/10/2015";"39,54";"40";"40,4";"39,54";"3334";
"14/10/2015";"39,25";"39,53";"39,75";"39,2";"2473";
"15/10/2015";"39,1";"39,24";"40";"39,04";"2060";
"16/10/2015";"38,37";"39,05";"39,35";"38,05";"4269";
"19/10/2015";"38";"37,65";"38,35";"37,64";"4093";
"20/10/2015";"37,8";"37,98";"38,22";"37,7";"7360";
"21/10/2015";"40,22";"38";"40,22";"38";"5495";
"22/10/2015";"40,33";"40,2";"41";"40,18";"2054";
"23/10/2015";"41,26";"40,5";"41,82";"40,1";"3620";
"26/10/2015";"41,98";"39,51";"41,98";"39,51";"5078";
"27/10/2015";"41,98";"42,26";"42,26";"41,03";"3025";
"28/10/2015";"41,75";"41,97";"42";"40,76";"1788";
"29/10/2015";"41,36";"41,1";"41,75";"40,7";"1915";
"30/10/2015";"40,5";"40,72";"41,5";"40,5";"2082";
"02/11/2015";"40,5";"40,5";"41,28";"39,01";"3818";
"03/11/2015";"40,49";"40,5";"41,14";"39,53";"1576";
"04/11/2015";"38,75";"40,48";"40,48";"38,51";"6226";
"05/11/2015";"38,11";"38,75";"38,86";"37,51";"3978";
"06/11/2015";"36,6";"37,85";"38,85";"36,6";"2399";
"09/11/2015";"35,51";"36,6";"36,75";"35,21";"4054";
"10/11/2015";"36,5";"35,5";"36,94";"35,5";"12924";
"11/11/2015";"36,16";"36,49";"36,49";"36";"5103";
"12/11/2015";"36,35";"36";"37,98";"35,75";"25434";
"13/11/2015";"37,11";"37,86";"37,86";"36,02";"3312";
"16/11/2015";"36,81";"37";"37,88";"36,81";"445";
"17/11/2015";"37,11";"37,86";"37,99";"37,11";"1434";
"18/11/2015";"38,03";"37,49";"38,09";"37,24";"1733";
"19/11/2015";"38,03";"38,09";"38,81";"37,91";"1645";
"20/11/2015";"40,4";"38,5";"41";"38,03";"5391";
"23/11/2015";"39,67";"39,51";"41,3";"39,51";"4091";
"24/11/2015";"39,67";"40";"40,73";"39,26";"1474";
"25/11/2015";"39,29";"39,8";"40";"39,23";"5415";
"26/11/2015";"38,07";"39,4";"39,47";"38,01";"4613";
"27/11/2015";"38,3";"38,59";"39";"38,05";"5621";
"30/11/2015";"37,76";"38,07";"38,84";"37,76";"8320";
"01/12/2015";"38,25";"37,8";"38,89";"37,55";"2242";
"02/12/2015";"38,5";"38,26";"38,75";"38,05";"2290";
"03/12/2015";"31,22";"35";"37,1";"31,06";"65263";
"04/12/2015";"31,6";"31,64";"32,49";"31,21";"26649";
"07/12/2015";"31,85";"32,36";"32,91";"31,8";"6227";
"08/12/2015";"32,13";"31,72";"32,32";"31,72";"3402";
"09/12/2015";"32";"32,43";"32,43";"31,05";"6314";
"10/12/2015";"31";"31,75";"31,97";"29,9";"11756";
"11/12/2015";"30,5";"30,72";"31";"30,3";"4703";
"14/12/2015";"31,1";"31";"31,73";"30,32";"3998";
"15/12/2015";"29,64";"30,5";"31,73";"29,64";"6408";
