"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"5,15339";"5,06488";"5,15339";"4,96653";"3414";
"18/01/2013";"5,16322";"5,2124";"5,2124";"5,08455";"4194";
"21/01/2013";"5,09438";"5,07471";"5,09438";"5,06488";"2844";
"22/01/2013";"5,11405";"5,13372";"5,13372";"5,06488";"2017";
"23/01/2013";"5,06488";"5,07471";"5,10421";"5,06488";"3688";
"24/01/2013";"5,11405";"5,05504";"5,11405";"4,97636";"1146";
"25/01/2013";"5,35008";"5,12388";"5,40909";"5,03537";"15420";
"28/01/2013";"5,35992";"5,26157";"5,43859";"5,22223";"6505";
"29/01/2013";"5,2714";"5,29107";"5,35008";"5,2714";"2478";
"30/01/2013";"5,2714";"5,28124";"5,28124";"5,18289";"2974";
"31/01/2013";"5,29107";"5,2714";"5,30091";"5,2124";"2789";
"01/02/2013";"5,12388";"5,26157";"5,2714";"5,11405";"7586";
"04/02/2013";"5,10421";"5,25174";"5,25174";"5,10421";"2660";
"05/02/2013";"5,19273";"5,19273";"5,20256";"5,07471";"1802";
"06/02/2013";"5,17306";"5,19273";"5,19273";"4,99603";"4347";
"07/02/2013";"5,04521";"5,14355";"5,14355";"5,02554";"6455";
"08/02/2013";"5,00587";"5,02554";"5,09438";"4,91735";"8216";
"11/02/2013";"5,2124";"5,14355";"5,22223";"5,11405";"31723";
"12/02/2013";"5,19273";"5,22223";"5,22223";"5,12388";"13351";
"13/02/2013";"5,14355";"5,20256";"5,2419";"5,14355";"7774";
"14/02/2013";"5,55661";"5,28124";"6,03851";"5,2714";"191204";
"15/02/2013";"5,50744";"5,40909";"5,50744";"5,23207";"27407";
"18/02/2013";"5,42876";"5,59595";"5,6943";"5,33041";"25038";
"19/02/2013";"5,43859";"5,41893";"5,43859";"5,29107";"18674";
"20/02/2013";"5,58612";"5,64512";"5,64512";"5,50744";"10441";
"21/02/2013";"5,50744";"5,59595";"5,59595";"5,4681";"9488";
"22/02/2013";"5,42876";"5,50744";"5,50744";"5,31074";"9081";
"25/02/2013";"5,30091";"5,33041";"5,40909";"5,25174";"6258";
"26/02/2013";"5,34025";"5,2714";"5,34025";"5,2124";"7124";
"27/02/2013";"5,32058";"5,34025";"5,34025";"5,2124";"1660";
"28/02/2013";"5,14355";"5,33041";"5,33041";"4,92719";"24914";
"01/03/2013";"5,05504";"5,14355";"5,14355";"4,94686";"10416";
"04/03/2013";"5,16322";"5,08455";"5,16322";"5,06488";"2964";
"05/03/2013";"5,13372";"5,08455";"5,13372";"4,97636";"4527";
"06/03/2013";"5,10421";"5,16322";"5,16322";"5,02554";"3647";
"07/03/2013";"5,10421";"5,0157";"5,10421";"4,99603";"4775";
"08/03/2013";"5,02554";"5,10421";"5,10421";"4,9862";"6476";
"11/03/2013";"5,03537";"5,06488";"5,06488";"5,00587";"3450";
"12/03/2013";"5,08455";"5,03537";"5,08455";"5,00587";"1953";
"13/03/2013";"5,04521";"5,06488";"5,06488";"5,00587";"2385";
"14/03/2013";"5,07471";"5,04521";"5,07471";"5,00587";"1038";
"15/03/2013";"5,04521";"5,16322";"5,16322";"5,00587";"3116";
"18/03/2013";"5,02554";"5,06488";"5,06488";"4,9862";"4295";
"19/03/2013";"5,05504";"5,02554";"5,05504";"4,96653";"465";
"20/03/2013";"5,0157";"5,03537";"5,05504";"4,97636";"1151";
"21/03/2013";"4,99603";"5,0157";"5,0157";"4,95669";"3465";
"22/03/2013";"4,95669";"4,9862";"4,9862";"4,89769";"4883";
"25/03/2013";"4,85835";"4,88785";"4,95669";"4,85835";"2971";
"26/03/2013";"4,89769";"4,84851";"4,90752";"4,84851";"1137";
"27/03/2013";"4,93702";"4,81901";"4,99603";"4,81901";"4771";
"28/03/2013";"4,90752";"4,92719";"4,92719";"4,79934";"2788";
"02/04/2013";"4,95669";"4,90752";"4,95669";"4,90752";"2756";
"03/04/2013";"4,88785";"4,95669";"4,95669";"4,7305";"2889";
"04/04/2013";"4,81901";"4,86818";"4,86818";"4,74033";"2131";
"05/04/2013";"4,72066";"4,81901";"4,87802";"4,72066";"3267";
"08/04/2013";"4,76983";"4,72066";"4,76983";"4,72066";"668";
"09/04/2013";"4,76";"4,81901";"4,96653";"4,70099";"6515";
"10/04/2013";"4,87802";"4,7895";"4,89769";"4,7895";"1174";
"11/04/2013";"4,89769";"4,87802";"4,89769";"4,87802";"106";
"12/04/2013";"4,90752";"4,90752";"4,90752";"4,87802";"546";
"15/04/2013";"4,90752";"4,89769";"4,90752";"4,81901";"596";
"16/04/2013";"4,76983";"4,77967";"4,90752";"4,74033";"3456";
"17/04/2013";"4,76983";"4,81901";"4,89769";"4,43545";"7095";
"18/04/2013";"4,60264";"4,76983";"4,76983";"4,42562";"4256";
"19/04/2013";"4,63215";"4,63215";"4,63215";"4,43545";"6584";
"22/04/2013";"4,52397";"4,63215";"4,63215";"4,47479";"2001";
"23/04/2013";"4,59281";"4,60264";"4,67149";"4,45512";"5757";
"24/04/2013";"4,48463";"4,51413";"4,58297";"4,48463";"1718";
"25/04/2013";"4,52397";"4,48463";"4,62231";"4,48463";"3312";
"26/04/2013";"4,62231";"4,52397";"4,62231";"4,52397";"1039";
"29/04/2013";"4,62231";"4,52397";"4,62231";"4,51413";"2168";
"30/04/2013";"4,55347";"4,60264";"4,60264";"4,5043";"1630";
"02/05/2013";"4,5043";"4,55347";"4,62231";"4,49446";"2480";
"03/05/2013";"4,61248";"4,5043";"4,61248";"4,49446";"689";
"06/05/2013";"4,61248";"4,48463";"4,61248";"4,48463";"1123";
"07/05/2013";"4,60264";"4,60264";"4,61248";"4,48463";"1040";
"08/05/2013";"4,57314";"4,61248";"4,61248";"4,47479";"3289";
"09/05/2013";"4,55347";"4,57314";"4,57314";"4,47479";"760";
"10/05/2013";"4,38628";"4,54364";"4,54364";"4,24859";"8815";
"13/05/2013";"4,38628";"4,35678";"4,38628";"4,33711";"2246";
"14/05/2013";"4,37645";"4,38628";"4,38628";"4,33711";"1256";
"15/05/2013";"4,3076";"4,32727";"4,45512";"4,3076";"4375";
"16/05/2013";"4,31744";"4,3076";"4,33711";"4,3076";"1795";
"17/05/2013";"4,37645";"4,31744";"4,37645";"4,23876";"3951";
"20/05/2013";"4,45512";"4,56331";"4,56331";"4,3076";"7015";
"21/05/2013";"4,45512";"4,45512";"4,45512";"4,39612";"1317";
"22/05/2013";"4,40595";"4,44529";"4,45512";"4,34694";"2997";
"23/05/2013";"4,40595";"4,39612";"4,40595";"4,32727";"787";
"24/05/2013";"4,40595";"4,39612";"4,40595";"4,31744";"1844";
"27/05/2013";"4,42562";"4,42562";"4,42562";"4,3076";"1643";
"28/05/2013";"4,42562";"4,41578";"4,42562";"4,28793";"2695";
"29/05/2013";"4,43545";"4,41578";"4,43545";"4,32727";"2816";
"30/05/2013";"4,39612";"4,42562";"4,43545";"4,28793";"1581";
"31/05/2013";"4,41578";"4,39612";"4,42562";"4,39612";"839";
"03/06/2013";"4,28793";"4,2781";"4,38628";"4,2781";"1333";
"04/06/2013";"4,32727";"4,28793";"4,32727";"4,28793";"1028";
"05/06/2013";"4,42562";"4,3076";"4,42562";"4,3076";"1811";
"06/06/2013";"4,42562";"4,42562";"4,42562";"4,40595";"202";
"07/06/2013";"4,41578";"4,41578";"4,41578";"4,31744";"660";
