"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"30/10/2017";"15,6";"15,75";"15,94";"15,5";"7559";
"31/10/2017";"15,7";"15,75";"15,75";"15,65";"3142";
"01/11/2017";"15,5";"15,62";"15,63";"15,5";"16549";
"02/11/2017";"15,5";"15,5";"15,55";"15,5";"1863";
"03/11/2017";"15,55";"15,5";"15,55";"15,5";"1008";
"06/11/2017";"15,5";"15,79";"15,79";"15,5";"1061";
"07/11/2017";"15,5";"15,79";"15,79";"15,5";"2733";
"08/11/2017";"15,5";"15,5";"15,78";"15,5";"3683";
"09/11/2017";"15,5";"15,5";"15,5";"15,5";"1080";
"10/11/2017";"15,6";"15,5";"15,6";"15,5";"1170";
"13/11/2017";"15,7";"15,79";"15,79";"15,5";"682";
"14/11/2017";"15,5";"15,5";"15,65";"15,5";"6691";
"15/11/2017";"15,5";"15,5";"15,5";"15,4";"980";
"16/11/2017";"15,48";"15,4";"15,49";"15,3";"1276";
"17/11/2017";"15,48";"15,47";"15,48";"15,2";"1609";
"20/11/2017";"15,48";"15,48";"15,48";"15,4";"770";
"21/11/2017";"15,5";"15,4";"15,5";"15,4";"389";
"22/11/2017";"15,5";"15,5";"15,5";"15";"2704";
"23/11/2017";"15,5";"15,4";"15,5";"15";"206";
"24/11/2017";"15,5";"15";"15,5";"15";"253";
"27/11/2017";"15,5";"15,5";"15,5";"15,06";"632";
"28/11/2017";"15,49";"15,48";"15,49";"14,85";"893";
"29/11/2017";"15,36";"15,38";"15,38";"15,2";"368";
"30/11/2017";"15,1";"15,36";"15,36";"15,1";"240";
"01/12/2017";"14,9";"15,1";"15,1";"14,9";"172";
"04/12/2017";"15,1";"14,9";"15,1";"14,9";"134";
"05/12/2017";"15";"15,1";"15,1";"15";"257";
"06/12/2017";"14,9";"15";"15,39";"14,9";"275";
"07/12/2017";"15";"14,9";"15,35";"14,9";"36";
"08/12/2017";"15";"15";"15,39";"14,95";"214";
"11/12/2017";"15,28";"15,06";"15,28";"15,06";"101";
"12/12/2017";"15,2";"15,28";"15,3";"15,2";"114";
"13/12/2017";"15,2";"15,2";"15,2";"15,2";"21";
"14/12/2017";"15,3";"15,2";"15,3";"15,2";"117";
"15/12/2017";"15,3";"15,3";"15,3";"15,3";"50";
"18/12/2017";"15,34";"15,3";"15,34";"15,2";"477";
"19/12/2017";"15,19";"15,29";"15,29";"15,1";"594";
"20/12/2017";"14,95";"15,19";"15,19";"14,95";"481";
"21/12/2017";"15";"14,95";"15,29";"14,95";"111";
"22/12/2017";"14,9";"15";"15";"14,9";"300";
"27/12/2017";"14,9";"14,9";"14,91";"14,9";"168";
"28/12/2017";"14,85";"14,9";"14,99";"14,8";"585";
"29/12/2017";"14,85";"14,85";"14,87";"14,8";"1076";
"02/01/2018";"15,1";"15,2";"15,2";"15,09";"170";
"03/01/2018";"15,1";"15,1";"15,1";"15,1";"100";
"04/01/2018";"14,898";"15,198";"15,2";"14,8";"965";
"05/01/2018";"15,1";"14,898";"15,1";"14,898";"469";
"08/01/2018";"15";"15";"15,002";"14,998";"1520";
"09/01/2018";"14,802";"15";"15,098";"14,802";"861";
"10/01/2018";"14,898";"14,802";"14,898";"14,75";"140";
"11/01/2018";"16";"15,94";"18,598";"15,6";"11755";
"12/01/2018";"15,9";"16,15";"16,15";"15,9";"1260";
"15/01/2018";"16,15";"15,948";"16,6";"15,948";"1637";
"16/01/2018";"16,15";"16,15";"16,16";"16,148";"250";


