"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"45,32";"45,29";"45,5";"44,8";"184023";
"18/01/2013";"43,84";"47,3";"47,5";"42,57";"552464";
"21/01/2013";"41,76";"43,5";"44,1";"39,5";"514021";
"22/01/2013";"42,21";"41,76";"43,24";"41,75";"274378";
"23/01/2013";"41,29";"42,21";"42,31";"41,19";"209704";
"24/01/2013";"41";"41,2";"41,3";"40,1";"303557";
"25/01/2013";"40,84";"41";"41,65";"40,51";"162658";
"28/01/2013";"39,61";"40,85";"40,9";"39,51";"291845";
"29/01/2013";"39,46";"39,5";"40,22";"39,29";"265215";
"30/01/2013";"38,77";"39,5";"39,64";"38,65";"167637";
"31/01/2013";"38,19";"38,5";"38,76";"37,32";"384380";
"01/02/2013";"38,83";"37,61";"39,25";"37,48";"497277";
"04/02/2013";"38,01";"39,05";"39,5";"37,93";"185267";
"05/02/2013";"38,71";"38,18";"39,45";"38,1";"203255";
"06/02/2013";"38,56";"39,2";"39,22";"38,14";"165289";
"07/02/2013";"38,57";"38,73";"39,08";"38,11";"140190";
"08/02/2013";"38,38";"38,77";"38,88";"38,1";"95455";
"11/02/2013";"37,59";"38,26";"38,3";"37,37";"229336";
"12/02/2013";"37,49";"37,56";"37,67";"36,25";"246693";
"13/02/2013";"37,47";"37,5";"38,17";"37,15";"189626";
"14/02/2013";"37,56";"37,54";"37,84";"37,35";"100126";
"15/02/2013";"37,63";"37,56";"37,76";"37,39";"75273";
"18/02/2013";"37,59";"37,61";"37,94";"37,24";"102832";
"19/02/2013";"39,45";"38,1";"40,34";"38,1";"375143";
"20/02/2013";"40,74";"39,92";"41,25";"39,74";"319925";
"21/02/2013";"39,99";"40,73";"40,75";"39,72";"194103";
"22/02/2013";"40,4";"40,23";"41";"40,02";"131248";
"25/02/2013";"39,47";"40,5";"40,76";"39,3";"118459";
"26/02/2013";"39,51";"38,95";"40,38";"38,71";"202438";
"27/02/2013";"40,2";"39,74";"40,29";"39,24";"102530";
"28/02/2013";"40,39";"40,07";"40,8";"40,05";"190749";
"01/03/2013";"39,5";"40,36";"40,59";"39,28";"168349";
"04/03/2013";"39,27";"39,52";"39,53";"38,75";"125685";
"05/03/2013";"39,6";"39,27";"40,06";"39,26";"135989";
"06/03/2013";"39,31";"39,58";"39,88";"39,19";"69531";
"07/03/2013";"39,46";"39,26";"39,59";"38,94";"65896";
"08/03/2013";"39,79";"39,42";"39,91";"39,16";"106473";
"11/03/2013";"39,81";"39,95";"39,98";"39,58";"118444";
"12/03/2013";"40,99";"39,68";"41,03";"39,5";"273387";
"13/03/2013";"41";"41";"41";"40,36";"105725";
"14/03/2013";"41,17";"40,99";"41,25";"40,83";"172903";
"15/03/2013";"42,97";"41,74";"43,34";"41,4";"613971";
"18/03/2013";"42,92";"43,15";"43,39";"42,25";"250937";
"19/03/2013";"42,44";"42,99";"43,075";"42,325";"122449";
"20/03/2013";"41,95";"42,25";"42,515";"41,41";"138041";
"21/03/2013";"40,77";"42";"42";"40,33";"113872";
"22/03/2013";"40,47";"40,5";"40,8";"39,21";"244870";
"25/03/2013";"39,67";"40,475";"40,755";"39,65";"195152";
"26/03/2013";"38,79";"39,54";"39,66";"38,665";"181382";
"27/03/2013";"37,78";"38,85";"38,945";"37,625";"189235";
"28/03/2013";"37,59";"37,6";"37,87";"37,21";"202037";
"02/04/2013";"36,765";"37,44";"37,845";"36,3";"230939";
"03/04/2013";"36,295";"36,5";"37,175";"36,25";"168103";
"04/04/2013";"35,35";"36,2";"36,35";"35,25";"209184";
"05/04/2013";"33,68";"35,16";"35,2";"33,35";"374886";
"08/04/2013";"34,245";"33,405";"35,27";"33,4";"282778";
"09/04/2013";"35,175";"34,86";"35,45";"34,6";"242107";
"10/04/2013";"36,005";"35,45";"36,08";"35,34";"206975";
"11/04/2013";"36,855";"36,535";"37,01";"36,155";"197555";
"12/04/2013";"37,145";"37,57";"37,655";"37";"208764";
"15/04/2013";"36,395";"37,65";"38";"36,32";"169624";
"16/04/2013";"35,075";"36,3";"36,305";"34,83";"229505";
"17/04/2013";"34,2";"35,295";"35,45";"34,13";"189066";
"18/04/2013";"35,265";"34,135";"35,44";"33,52";"249457";
"19/04/2013";"35,785";"35,85";"36,27";"35,42";"196657";
"22/04/2013";"35,195";"36,135";"36,59";"34,92";"137553";
"23/04/2013";"35,905";"35,345";"35,985";"34,75";"112656";
"24/04/2013";"36,28";"36,565";"36,565";"35,55";"152042";
"25/04/2013";"36,185";"36,38";"36,45";"35,74";"100001";
"26/04/2013";"36,22";"36,09";"36,345";"35,89";"80311";
"29/04/2013";"36,565";"36,35";"36,6";"36,01";"123951";
"30/04/2013";"37,09";"36,88";"37,1";"36,35";"141780";
"02/05/2013";"37,485";"37,435";"37,62";"37";"147371";
"03/05/2013";"38,64";"37,805";"38,64";"37,44";"168482";
"06/05/2013";"39,2";"38,9";"39,46";"38,7";"101837";
"07/05/2013";"39,26";"39,5";"39,715";"39";"104426";
"08/05/2013";"39,26";"39,53";"39,8";"39,115";"171198";
"09/05/2013";"39,05";"39,43";"39,43";"38,91";"117944";
"10/05/2013";"38,17";"39,085";"39,15";"37,9";"168023";
"13/05/2013";"37,08";"37,685";"37,9";"36,63";"197784";
"14/05/2013";"38,37";"37,1";"38,49";"37,1";"163058";
"15/05/2013";"37,7";"38,525";"38,645";"37,41";"162851";
"16/05/2013";"37,16";"37,7";"37,99";"36,915";"264984";
"17/05/2013";"34,35";"36";"36,8";"34,31";"718154";
"20/05/2013";"34,67";"34,78";"35,14";"34,45";"184126";
"21/05/2013";"34,805";"35";"35,1";"34,7";"307030";
"22/05/2013";"34,6";"34,81";"34,85";"34,45";"152378";
"23/05/2013";"34";"34,4";"34,495";"33,63";"196912";
"24/05/2013";"33,855";"34,1";"34,3";"33,68";"262491";
"27/05/2013";"33,65";"34,12";"34,135";"33,32";"85158";
"28/05/2013";"33,99";"33,7";"34,14";"33,65";"210511";
"29/05/2013";"33,16";"34,29";"34,29";"33,15";"159977";
"30/05/2013";"32,86";"33,2";"33,2";"32,55";"121257";
"31/05/2013";"32,125";"32,9";"32,9";"31,99";"211093";
"03/06/2013";"30,76";"32,1";"32,1";"30,76";"249223";
"04/06/2013";"31,775";"30,6";"32";"30,25";"308613";
"05/06/2013";"30,385";"31,99";"31,99";"30,385";"239206";
"06/06/2013";"31,39";"32,07";"32,395";"31,16";"541264";
"07/06/2013";"31,475";"31,78";"32,315";"31,3";"418745";
"10/06/2013";"31,555";"32,17";"32,395";"31,395";"174272";
"11/06/2013";"30,6";"31,775";"31,775";"30,29";"261136";
"12/06/2013";"31,93";"30,965";"32,195";"30,855";"522646";
"13/06/2013";"32,85";"32,18";"33,3";"31,28";"478739";
"14/06/2013";"33,315";"33,62";"33,73";"33,105";"292092";
"17/06/2013";"33,145";"33,83";"34";"32,945";"134992";
"18/06/2013";"32,74";"33,17";"33,31";"32,675";"86427";
"19/06/2013";"31,965";"32,945";"33";"31,75";"147100";
"20/06/2013";"31,27";"31,75";"31,81";"31,12";"142123";
"21/06/2013";"31,275";"31,215";"31,875";"31,11";"140973";
"24/06/2013";"30,545";"31,67";"32";"30,45";"162009";
"25/06/2013";"30,86";"30,585";"31,2";"30,56";"111982";
"26/06/2013";"31,6";"31,12";"31,725";"31,085";"87145";
"27/06/2013";"31,155";"31,83";"31,83";"31,02";"96809";
"28/06/2013";"29,455";"31,05";"31,3";"28,97";"693593";
"01/07/2013";"29,72";"30";"30,32";"29,455";"196456";
"02/07/2013";"28,82";"29,935";"29,955";"28,8";"209349";
"03/07/2013";"28,69";"28,65";"28,91";"27,55";"311576";
"04/07/2013";"28,88";"29,12";"29,12";"28,15";"103073";
"05/07/2013";"28,335";"29,15";"29,15";"27,92";"252300";
"08/07/2013";"29,925";"28,6";"30,055";"28,6";"208174";
"09/07/2013";"31,465";"30,5";"32,32";"30,42";"383978";
