"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"0,93";"0,93";"0,93";"0,91";"156159";
"18/01/2013";"0,92";"0,93";"0,94";"0,92";"257464";
"21/01/2013";"0,91";"0,93";"0,94";"0,91";"296081";
"22/01/2013";"0,92";"0,92";"0,93";"0,91";"185998";
"23/01/2013";"0,92";"0,92";"0,93";"0,91";"194438";
"24/01/2013";"0,91";"0,92";"0,92";"0,9";"426821";
"25/01/2013";"0,9";"0,91";"0,91";"0,89";"349551";
"28/01/2013";"0,87";"0,89";"0,89";"0,86";"703155";
"29/01/2013";"0,91";"0,89";"0,93";"0,87";"825642";
"30/01/2013";"0,9";"0,92";"0,94";"0,89";"520814";
"31/01/2013";"0,88";"0,9";"0,9";"0,88";"258381";
"01/02/2013";"0,89";"0,88";"0,9";"0,87";"226888";
"04/02/2013";"0,9";"0,92";"0,92";"0,87";"539218";
"05/02/2013";"0,9";"0,88";"0,91";"0,88";"177489";
"06/02/2013";"0,89";"0,91";"0,92";"0,89";"294620";
"07/02/2013";"0,89";"0,9";"0,9";"0,88";"272512";
"08/02/2013";"0,89";"0,88";"0,9";"0,88";"123383";
"11/02/2013";"0,89";"0,89";"0,9";"0,88";"144286";
"12/02/2013";"0,87";"0,89";"0,89";"0,87";"226855";
"13/02/2013";"0,89";"0,87";"0,89";"0,86";"259626";
"14/02/2013";"0,89";"0,89";"0,9";"0,88";"172270";
"15/02/2013";"0,89";"0,89";"0,9";"0,88";"168190";
"18/02/2013";"0,88";"0,9";"0,9";"0,88";"96528";
"19/02/2013";"0,89";"0,89";"0,9";"0,87";"200684";
"20/02/2013";"0,89";"0,89";"0,89";"0,88";"141699";
"21/02/2013";"0,87";"0,88";"0,88";"0,87";"136485";
"22/02/2013";"0,89";"0,87";"0,89";"0,87";"98463";
"25/02/2013";"0,88";"0,89";"0,89";"0,87";"121760";
"26/02/2013";"0,88";"0,87";"0,88";"0,86";"145586";
"27/02/2013";"0,88";"0,88";"0,88";"0,87";"58547";
"28/02/2013";"0,86";"0,87";"0,88";"0,86";"190781";
"01/03/2013";"0,87";"0,86";"0,87";"0,81";"759849";
"04/03/2013";"0,87";"0,87";"0,87";"0,86";"54177";
"05/03/2013";"0,87";"0,87";"0,89";"0,86";"517455";
"06/03/2013";"0,87";"0,87";"0,88";"0,86";"89298";
"07/03/2013";"0,88";"0,87";"0,89";"0,87";"88867";
"08/03/2013";"0,89";"0,88";"0,89";"0,88";"137086";
"11/03/2013";"0,94";"0,89";"0,94";"0,89";"730586";
"12/03/2013";"0,89";"0,97";"0,98";"0,89";"2522692";
"13/03/2013";"0,93";"0,9";"0,93";"0,88";"737990";
"14/03/2013";"0,93";"0,93";"0,94";"0,92";"609043";
"15/03/2013";"0,95";"0,93";"0,95";"0,93";"464493";
"18/03/2013";"0,93";"0,94";"0,94";"0,91";"498623";
"19/03/2013";"0,93";"0,93";"0,93";"0,91";"260297";
"20/03/2013";"0,93";"0,92";"0,93";"0,92";"199803";
"21/03/2013";"0,92";"0,92";"0,94";"0,92";"240472";
"22/03/2013";"0,91";"0,93";"0,94";"0,91";"427480";
"25/03/2013";"0,91";"0,93";"0,93";"0,91";"234394";
"26/03/2013";"0,9";"0,91";"0,92";"0,9";"139760";
"27/03/2013";"0,9";"0,9";"0,91";"0,89";"364492";
"28/03/2013";"0,89";"0,89";"0,9";"0,88";"143816";
"02/04/2013";"0,89";"0,9";"0,9";"0,89";"122347";
"03/04/2013";"0,89";"0,9";"0,9";"0,89";"131090";
"04/04/2013";"0,88";"0,89";"0,9";"0,88";"165669";
"05/04/2013";"0,87";"0,89";"0,89";"0,86";"247202";
"08/04/2013";"0,88";"0,87";"0,89";"0,87";"253122";
"09/04/2013";"0,88";"0,88";"0,88";"0,87";"92309";
"10/04/2013";"0,89";"0,88";"0,89";"0,86";"249878";
"11/04/2013";"0,89";"0,88";"0,9";"0,88";"139747";
"12/04/2013";"0,9";"0,9";"0,91";"0,88";"143211";
"15/04/2013";"0,9";"0,9";"0,91";"0,9";"204018";
"16/04/2013";"0,91";"0,9";"0,92";"0,89";"180387";
"17/04/2013";"0,89";"0,91";"0,92";"0,89";"199992";
"18/04/2013";"0,87";"0,9";"0,9";"0,86";"463056";
"19/04/2013";"0,89";"0,87";"0,9";"0,85";"527755";
"22/04/2013";"0,8";"0,92";"0,93";"0,77";"2101309";
"23/04/2013";"0,82";"0,79";"0,83";"0,74";"1591598";
"24/04/2013";"0,8";"0,82";"0,82";"0,79";"511344";
"25/04/2013";"0,77";"0,8";"0,8";"0,76";"550451";
"26/04/2013";"0,76";"0,77";"0,78";"0,76";"257985";
"29/04/2013";"0,77";"0,77";"0,78";"0,76";"169751";
"30/04/2013";"0,8";"0,78";"0,8";"0,78";"243529";
"02/05/2013";"0,8";"0,8";"0,8";"0,78";"94623";
"03/05/2013";"0,8";"0,79";"0,8";"0,78";"66311";
"06/05/2013";"0,79";"0,8";"0,8";"0,78";"73326";
"07/05/2013";"0,79";"0,79";"0,8";"0,78";"79179";
"08/05/2013";"0,79";"0,79";"0,8";"0,78";"133572";
"09/05/2013";"0,8";"0,8";"0,8";"0,79";"78899";
"10/05/2013";"0,79";"0,79";"0,8";"0,78";"162869";
"13/05/2013";"0,79";"0,79";"0,79";"0,77";"247877";
"14/05/2013";"0,78";"0,8";"0,81";"0,76";"904332";
"15/05/2013";"0,73";"0,77";"0,78";"0,73";"1087104";
"16/05/2013";"0,7";"0,73";"0,73";"0,68";"1155560";
"17/05/2013";"0,68";"0,69";"0,69";"0,65";"733614";
"20/05/2013";"0,71";"0,68";"0,71";"0,68";"259301";
"21/05/2013";"0,71";"0,71";"0,73";"0,71";"171037";
"22/05/2013";"0,73";"0,72";"0,73";"0,71";"120580";
"23/05/2013";"0,71";"0,72";"0,72";"0,7";"191870";
"24/05/2013";"0,69";"0,7";"0,72";"0,69";"165040";
"27/05/2013";"0,72";"0,7";"0,72";"0,7";"60979";
"28/05/2013";"0,72";"0,72";"0,72";"0,7";"99374";
"29/05/2013";"0,71";"0,71";"0,74";"0,71";"233635";
"30/05/2013";"0,73";"0,72";"0,74";"0,71";"185858";
"31/05/2013";"0,72";"0,72";"0,74";"0,72";"100132";
"03/06/2013";"0,71";"0,72";"0,72";"0,7";"92882";
"04/06/2013";"0,74";"0,73";"0,76";"0,72";"214671";
"05/06/2013";"0,72";"0,75";"0,75";"0,72";"89308";
"06/06/2013";"0,73";"0,72";"0,75";"0,7";"146936";
"07/06/2013";"0,72";"0,73";"0,74";"0,71";"71279";
"10/06/2013";"0,71";"0,68";"0,72";"0,68";"404170";
"11/06/2013";"0,68";"0,71";"0,71";"0,67";"290746";
"12/06/2013";"0,69";"0,69";"0,72";"0,68";"163850";
"13/06/2013";"0,71";"0,68";"0,71";"0,67";"272011";
"14/06/2013";"0,67";"0,7";"0,71";"0,67";"314436";
"17/06/2013";"0,68";"0,67";"0,69";"0,67";"90792";
"18/06/2013";"0,66";"0,68";"0,68";"0,65";"346536";
"19/06/2013";"0,66";"0,67";"0,67";"0,66";"57528";
"20/06/2013";"0,66";"0,66";"0,68";"0,65";"164025";
"21/06/2013";"0,65";"0,66";"0,67";"0,65";"35665";
"24/06/2013";"0,66";"0,67";"0,68";"0,66";"111605";
"25/06/2013";"0,6";"0,66";"0,66";"0,6";"642470";
"26/06/2013";"0,61";"0,62";"0,63";"0,61";"224137";
"27/06/2013";"0,63";"0,62";"0,63";"0,61";"151222";
"28/06/2013";"0,64";"0,64";"0,64";"0,62";"250412";
"01/07/2013";"0,63";"0,64";"0,64";"0,62";"59290";
"02/07/2013";"0,64";"0,63";"0,64";"0,63";"41341";
"03/07/2013";"0,62";"0,63";"0,64";"0,62";"30958";
"04/07/2013";"0,63";"0,62";"0,63";"0,62";"57551";
"05/07/2013";"0,61";"0,62";"0,62";"0,6";"187121";
