"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"8,04625";"8,16025";"8,20775";"8,02725";"19073,22017";
"18/01/2013";"8,11275";"8,26474";"8,26474";"8,02725";"15222,57503";
"21/01/2013";"7,95125";"8,19825";"8,19825";"7,88476";"48243,59404";
"22/01/2013";"7,97975";"7,97975";"8,02725";"7,87526";"30252,51253";
"23/01/2013";"8,40724";"8,02725";"8,45474";"7,97975";"44777,17128";
"24/01/2013";"8,44524";"8,56874";"8,66373";"8,21725";"59910,26986";
"25/01/2013";"8,27424";"8,54024";"8,54024";"8,21725";"27151,3642";
"28/01/2013";"8,18875";"8,39774";"8,39774";"8,18875";"24489,17678";
"29/01/2013";"8,15075";"8,19825";"8,27424";"8,12225";"19180,59191";
"30/01/2013";"8,00825";"8,09375";"8,15075";"8,00825";"15978,38782";
"31/01/2013";"7,93226";"7,97975";"7,98925";"7,84676";"36243,22372";
"01/02/2013";"8,53074";"8,71123";"8,99622";"8,09375";"304475,7118";
"04/02/2013";"8,30274";"8,61623";"8,66373";"8,22675";"63140,89587";
"05/02/2013";"8,43574";"8,28374";"8,59723";"8,28374";"29805,1303";
"06/02/2013";"8,44524";"8,54024";"8,60673";"8,35974";"36163,22125";
"07/02/2013";"8,15075";"8,52124";"8,52124";"8,09375";"50945,78269";
"08/02/2013";"8,35024";"8,20775";"8,51174";"8,13175";"20871,17039";
"11/02/2013";"8,74923";"8,30274";"8,85373";"8,05575";"155595,32793";
"12/02/2013";"8,71123";"8,83473";"8,83473";"8,50224";"55274,33732";
"13/02/2013";"8,93922";"8,73973";"8,94872";"8,50224";"81005,6577";
"14/02/2013";"8,94872";"8,97722";"9,20522";"8,83473";"80000,36352";
"15/02/2013";"8,71123";"8,93922";"8,96772";"8,66373";"45720,35828";
"18/02/2013";"8,50224";"8,77773";"8,77773";"8,50224";"74799,15038";
"19/02/2013";"8,54024";"8,53074";"8,64473";"8,51174";"32277,83819";
"20/02/2013";"8,37874";"8,62573";"8,64473";"8,35974";"53381,64734";
"21/02/2013";"8,23625";"8,38824";"8,39774";"8,16975";"69887,41986";
"22/02/2013";"8,26474";"8,21725";"8,31224";"8,17925";"33970,522";
"25/02/2013";"8,20775";"8,40724";"8,42624";"8,19825";"35703,20705";
"26/02/2013";"8,00825";"8,16975";"8,19825";"7,97975";"41851,81785";
"27/02/2013";"8,12225";"8,12225";"8,16975";"8,02725";"15661,53594";
"28/02/2013";"8,16975";"8,12225";"8,20775";"8,12225";"21435,39833";
"01/03/2013";"7,96075";"8,12225";"8,16025";"7,71376";"35104,2412";
"04/03/2013";"7,85626";"8,06525";"8,06525";"7,84676";"22590,17081";
"05/03/2013";"7,84676";"7,88476";"7,93226";"7,80876";"35580,04536";
"06/03/2013";"7,82776";"7,97975";"8,15075";"7,81826";"38709,61562";
"07/03/2013";"7,78976";"7,85626";"7,88476";"7,72326";"22980,70918";
"08/03/2013";"7,95125";"7,78976";"7,95125";"7,78976";"67067,33283";
"11/03/2013";"7,96075";"7,90376";"8,03675";"7,79926";"14840,45797";
"12/03/2013";"8,18875";"7,96075";"8,21725";"7,91326";"23907,05355";
"13/03/2013";"8,11275";"8,19825";"8,20775";"8,09375";"19261,64704";
"14/03/2013";"8,12225";"8,20775";"8,20775";"8,05575";"9610,8229";
"15/03/2013";"8,05575";"8,11275";"8,21725";"8,05575";"15411,00189";
"18/03/2013";"7,92276";"7,95125";"8,01775";"7,88476";"13667,7902";
"19/03/2013";"7,93226";"7,92276";"8,03675";"7,76126";"16464,71862";
"20/03/2013";"8,02725";"7,89426";"8,05575";"7,72326";"19190,06588";
"21/03/2013";"8,06525";"8,02725";"8,07475";"7,78976";"27797,69993";
"22/03/2013";"7,75176";"8,12225";"8,12225";"7,74226";"30828,31977";
"25/03/2013";"7,95125";"8,34074";"8,39774";"7,93226";"123759,60865";
"26/03/2013";"7,80876";"8,07475";"8,09375";"7,71376";"25395,52054";
"27/03/2013";"7,86576";"7,81826";"7,97975";"7,78976";"33373,66148";
"28/03/2013";"7,87526";"7,86576";"8,00825";"7,72326";"26378,70877";
"02/04/2013";"7,88476";"7,79926";"7,93226";"7,79926";"31935,72237";
"03/04/2013";"7,88476";"7,96075";"7,96075";"7,85626";"13267,77786";
"04/04/2013";"7,88476";"7,88476";"7,99875";"7,87526";"22000,67893";
"05/04/2013";"7,77076";"7,99875";"7,99875";"7,75176";"19479,5485";
"08/04/2013";"7,78026";"7,78976";"7,93226";"7,78026";"7490,75748";
"09/04/2013";"8,02725";"8,00825";"8,23625";"7,85626";"64873,58092";
"10/04/2013";"8,16975";"8,07475";"8,23625";"8,07475";"35225,29757";
"11/04/2013";"8,68273";"8,21725";"8,76823";"8,21725";"150936,23678";
"12/04/2013";"8,45474";"8,63523";"8,67323";"8,43574";"39406,47923";
"15/04/2013";"8,35974";"8,35974";"8,61623";"8,35974";"27473,4794";
"16/04/2013";"8,22675";"8,27424";"8,42624";"8,21725";"19201,64519";
"17/04/2013";"8,08425";"8,41674";"8,41674";"8,08425";"30278,82913";
"18/04/2013";"8,15075";"8,11275";"8,29324";"7,97975";"25758,68964";
"19/04/2013";"8,28374";"8,39774";"8,41674";"8,09375";"24999,71885";
"22/04/2013";"8,38824";"8,49274";"8,49274";"8,31224";"21514,34814";
"23/04/2013";"8,12225";"8,45474";"8,45474";"8,12225";"32173,62445";
"24/04/2013";"8,12225";"8,28374";"8,29324";"8,07475";"22187,00047";
"25/04/2013";"8,27424";"8,15075";"8,43574";"8,08425";"28488,24756";
"26/04/2013";"8,35974";"8,35024";"8,45474";"8,16975";"47661,47082";
"29/04/2013";"8,58773";"8,72073";"8,72073";"8,29324";"124817,53603";
"30/04/2013";"8,56874";"8,64473";"8,64473";"8,51174";"28092,44587";
"02/05/2013";"8,32174";"8,52124";"8,52124";"8,32174";"25238,67359";
"03/05/2013";"8,36924";"8,35974";"8,54974";"8,23625";"33537,87707";
"06/05/2013";"8,38824";"8,47374";"8,47374";"8,38824";"5723,33451";
"07/05/2013";"8,53074";"8,54024";"8,54974";"8,38824";"21305,92065";
"08/05/2013";"8,72073";"8,47374";"8,72073";"8,47374";"31551,49998";
"09/05/2013";"8,64473";"8,72073";"8,72073";"8,54024";"19645,86942";
"10/05/2013";"8,66373";"8,70173";"8,73023";"8,52124";"19287,96364";
"13/05/2013";"8,64473";"8,73023";"8,73023";"8,61623";"8843,4308";
"14/05/2013";"8,57824";"8,64473";"8,66373";"8,54974";"11342,45529";
"15/05/2013";"8,45474";"8,53074";"8,59723";"8,42624";"12627,75811";
"16/05/2013";"8,42624";"8,55924";"8,63523";"8,40724";"19149,01198";
"17/05/2013";"8,64473";"8,56874";"8,64473";"8,43574";"31224,12146";
"20/05/2013";"9,03422";"8,78723";"9,29071";"8,76823";"172717,96159";
"21/05/2013";"8,86323";"9,06272";"9,19572";"8,83473";"51459,48276";
"22/05/2013";"9,00572";"9,02472";"9,10072";"8,91073";"55932,25236";
"23/05/2013";"8,84423";"8,93922";"8,93922";"8,69223";"49168,88575";
"24/05/2013";"8,85373";"8,75873";"9,01522";"8,73023";"41968,66356";
"27/05/2013";"8,89173";"8,92972";"9,00572";"8,85373";"18548,99347";
"28/05/2013";"9,02472";"8,92972";"9,04372";"8,89173";"31993,61889";
"29/05/2013";"8,94872";"9,07222";"9,07222";"8,93922";"24015,47795";
"30/05/2013";"9,54721";"8,93922";"9,54721";"8,93922";"161735,51741";
"31/05/2013";"10,03169";"9,5852";"10,11719";"9,49971";"168465,19877";
"03/06/2013";"9,8417";"10,43068";"10,43068";"9,7372";"130960,88351";
"04/06/2013";"9,8797";"9,93669";"10,04119";"9,7087";"57158,606";
"05/06/2013";"9,91769";"10,00319";"10,01269";"9,8607";"34202,1081";
"06/06/2013";"9,8797";"9,8037";"10,02219";"9,7942";"33542,08773";
"07/06/2013";"9,90819";"10,00319";"10,13619";"9,7467";"55271,17933";
"10/06/2013";"9,8417";"9,97469";"9,97469";"9,7847";"16116,28682";
"11/06/2013";"9,6517";"9,8322";"9,8797";"9,6137";"67592,6122";
"12/06/2013";"9,5757";"9,6042";"9,7657";"9,54721";"39830,70285";
"13/06/2013";"9,52821";"9,52821";"9,6042";"8,97722";"74713,88459";
"14/06/2013";"9,8322";"9,6422";"9,8322";"9,6042";"29372,48537";
"17/06/2013";"9,7657";"9,96519";"9,96519";"9,5757";"25846,06076";
"18/06/2013";"9,5852";"9,6612";"9,6612";"9,50921";"25254,46355";
"19/06/2013";"9,36671";"9,55671";"9,6422";"9,22422";"29781,97169";
"20/06/2013";"9,21472";"9,26221";"9,49021";"9,02472";"22611,22409";
"21/06/2013";"8,90123";"9,17672";"9,48071";"8,90123";"48012,00795";
"24/06/2013";"8,54024";"8,90123";"8,99622";"8,51174";"41838,13321";
