"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"14/04/2014";"5,33458";"5,25918";"6,21111";"5,25918";"40673,52428";
"15/04/2014";"5,25918";"5,37228";"5,37228";"5,25918";"8007,38458";
"16/04/2014";"5,29688";"5,25918";"5,33458";"5,25918";"4592,01808";
"17/04/2014";"5,29688";"5,33458";"5,33458";"5,25918";"2522,00254";
"22/04/2014";"5,29688";"5,29688";"5,29688";"5,27803";"1342,16795";
"23/04/2014";"5,25918";"5,31573";"5,31573";"5,25918";"2065,77153";
"24/04/2014";"5,25918";"5,25918";"5,25918";"5,25918";"774,5317";
"25/04/2014";"5,25918";"5,25918";"5,31573";"5,25918";"3511,91771";
"28/04/2014";"5,28745";"5,25918";"5,3063";"5,25918";"1877,97412";
"29/04/2014";"5,25918";"5,25918";"5,25918";"5,25918";"1734,73881";
"30/04/2014";"5,25918";"5,25918";"5,28745";"5,25918";"1437,65816";
"02/05/2014";"5,25918";"5,25918";"5,25918";"5,25918";"1745,34883";
"05/05/2014";"5,27803";"5,25918";"5,31573";"5,25918";"4308,73046";
"06/05/2014";"5,25918";"5,2686";"5,2686";"5,25918";"5471,58901";
"07/05/2014";"5,33458";"5,25918";"5,63618";"5,25918";"12419,03226";
"08/05/2014";"5,35343";"5,35343";"5,4571";"5,35343";"1192,56662";
"09/05/2014";"5,61733";"5,43825";"5,84353";"5,25918";"22792,45203";
"12/05/2014";"5,68331";"5,79641";"5,84353";"5,61733";"6933,65022";
"13/05/2014";"5,61733";"5,67388";"5,67388";"5,61733";"477,45105";
"14/05/2014";"5,88123";"5,61733";"6,05088";"5,61733";"7997,83556";
"15/05/2014";"5,89066";"6,03203";"6,03203";"5,84353";"4066,82193";
"16/05/2014";"5,93778";"6,03203";"6,03203";"5,90008";"5680,60647";
"19/05/2014";"5,97548";"6,03203";"6,03203";"5,74928";"4952,75887";
"20/05/2014";"5,92836";"5,97548";"5,97548";"5,84353";"3491,75866";
"21/05/2014";"5,90008";"5,89066";"5,91893";"5,74928";"3606,34692";
"22/05/2014";"5,95663";"5,91893";"6,05088";"5,91893";"5059,92011";
"23/05/2014";"5,95663";"6,01318";"6,01318";"5,92836";"1267,89778";
"26/05/2014";"6,07916";"6,03203";"6,19226";"5,98491";"7087,49556";
"27/05/2014";"6,90856";"6,20168";"7,21016";"6,17341";"21281,58471";
"28/05/2014";"7,20074";"6,69179";"7,20074";"6,69179";"11246,62469";
"29/05/2014";"7,35154";"7,20074";"7,42694";"7,20074";"9563,87499";
"30/05/2014";"7,53061";"7,42694";"7,53061";"7,21959";"5174,50836";
"02/06/2014";"7,62487";"7,54004";"7,63429";"7,30441";"9659,3652";
"03/06/2014";"7,44579";"7,62487";"7,62487";"7,35154";"4851,96365";
"04/06/2014";"7,45521";"7,44579";"7,52119";"7,44579";"1962,85431";
"05/06/2014";"7,52119";"7,45521";"7,52119";"7,39866";"1164,98056";
"06/06/2014";"7,49291";"7,52119";"7,53061";"7,45521";"1447,20718";
"09/06/2014";"7,51176";"7,49291";"7,52119";"7,49291";"1160,73655";
"10/06/2014";"7,51176";"7,51176";"7,52119";"7,39866";"2576,11365";
"11/06/2014";"7,43636";"7,51176";"7,51176";"7,35154";"1901,31617";
"12/06/2014";"7,37981";"7,43636";"7,50234";"7,36096";"2473,19643";
"13/06/2014";"7,37981";"7,37981";"7,46464";"7,37981";"369,22881";
"16/06/2014";"7,45521";"7,44579";"7,45521";"7,37981";"1859,93708";
"17/06/2014";"7,51176";"7,45521";"7,52119";"7,36096";"2054,10051";
"18/06/2014";"7,53061";"7,52119";"7,54004";"7,37981";"5145,8613";
"19/06/2014";"7,48349";"7,52119";"7,53061";"7,38924";"1993,62338";
"20/06/2014";"7,48349";"7,49291";"7,49291";"7,40809";"1676,38368";
