"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"07/06/2017";"10";"10,44";"10,49";"9,62";"62231";
"08/06/2017";"10";"10";"10";"9,7";"16755";
"09/06/2017";"10";"10";"10";"9,85";"7336";
"12/06/2017";"10,4";"9,98";"10,5";"9,95";"17887";
"13/06/2017";"10,5";"10,4";"10,64";"10,3";"16861";
"14/06/2017";"10,63";"10,57";"10,65";"10,35";"15695";
"15/06/2017";"10,5";"10,62";"10,62";"10,1";"13720";
"16/06/2017";"10,45";"10,5";"10,5";"10,3";"7554";
"19/06/2017";"10,35";"10,5";"10,5";"10,35";"2346";
"20/06/2017";"10,41";"10,3";"10,41";"10,29";"4950";
"21/06/2017";"10,5";"10,5";"10,5";"10,35";"1970";
"22/06/2017";"10,5";"10,5";"10,5";"10,4";"1613";
"23/06/2017";"10,49";"10,49";"10,49";"10,2";"5239";
"26/06/2017";"10,44";"10,11";"10,47";"10,1";"3665";
"27/06/2017";"10,4";"10,46";"10,46";"10,1";"3761";
"28/06/2017";"10,4";"10,39";"10,45";"10,11";"6486";
"29/06/2017";"10,27";"10,39";"10,39";"10,11";"6693";
"30/06/2017";"10,04";"10,28";"10,28";"9,75";"9900";
"03/07/2017";"10";"10,04";"10,1";"9,8";"1469";
"04/07/2017";"9,8";"9,91";"10";"9,8";"698";
"05/07/2017";"9,8";"9,81";"9,82";"9,8";"2686";
"06/07/2017";"9,89";"9,8";"10";"9,8";"1890";
"07/07/2017";"9,89";"9,9";"10,1";"9,89";"1696";
"10/07/2017";"9,81";"9,9";"10,05";"9,78";"3438";
"11/07/2017";"9,85";"9,9";"9,9";"9,75";"992";
"12/07/2017";"9,93";"9,9";"9,93";"9,75";"2663";
"13/07/2017";"9,93";"9,93";"9,96";"9,76";"1340";
"14/07/2017";"9,95";"9,93";"9,96";"9,93";"450";
"17/07/2017";"9,81";"9,95";"9,95";"9,8";"860";
"18/07/2017";"9,9";"9,8";"9,9";"9,75";"1193";
"19/07/2017";"9,95";"9,9";"10";"9,85";"1480";
"20/07/2017";"10";"9,95";"10";"9,85";"262";
"21/07/2017";"9,86";"10";"10";"9,86";"485";
"24/07/2017";"9,98";"9,89";"9,98";"9,8";"1651";
"25/07/2017";"9,7";"9,98";"9,98";"9,7";"2030";
"26/07/2017";"9,8";"9,7";"9,8";"9,7";"892";
"27/07/2017";"9,8";"9,98";"9,98";"9,65";"2882";
"28/07/2017";"9,74";"9,8";"9,9";"9,7";"3445";
