"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"28/05/2013";"0,15";"0,14";"0,15";"0,14";"6010";
"30/05/2013";"0,25";"0,16";"0,25";"0,15";"175283";
"31/05/2013";"0,36";"0,3";"0,36";"0,27";"214610";
"03/06/2013";"0,46";"0,42";"0,55";"0,4";"212925";
"04/06/2013";"0,45";"0,5";"0,53";"0,41";"84883";
"05/06/2013";"0,36";"0,4";"0,42";"0,35";"46395";
"06/06/2013";"0,33";"0,34";"0,37";"0,3";"186894";
"07/06/2013";"0,31";"0,33";"0,33";"0,29";"117995";
"10/06/2013";"0,3";"0,3";"0,3";"0,29";"22537";
"11/06/2013";"0,29";"0,29";"0,3";"0,27";"90958";
"12/06/2013";"0,29";"0,29";"0,3";"0,26";"126763";
"13/06/2013";"0,27";"0,28";"0,28";"0,22";"159634";
"14/06/2013";"0,3";"0,28";"0,32";"0,24";"180834";
"17/06/2013";"0,3";"0,3";"0,3";"0,28";"93667";
"18/06/2013";"0,28";"0,29";"0,29";"0,27";"65171";
"19/06/2013";"0,26";"0,27";"0,28";"0,25";"109636";
"20/06/2013";"0,22";"0,25";"0,25";"0,22";"67209";
"21/06/2013";"0,24";"0,22";"0,24";"0,22";"114464";
"24/06/2013";"0,24";"0,24";"0,24";"0,23";"44020";
"25/06/2013";"0,27";"0,25";"0,29";"0,25";"260731";
"26/06/2013";"0,28";"0,27";"0,28";"0,26";"136797";
"27/06/2013";"0,26";"0,28";"0,28";"0,26";"59600";
"28/06/2013";"0,26";"0,26";"0,26";"0,25";"14763";
"01/07/2013";"0,27";"0,25";"0,27";"0,25";"12846";
"02/07/2013";"0,27";"0,25";"0,27";"0,24";"83506";
"03/07/2013";"0,26";"0,26";"0,27";"0,26";"26700";
"04/07/2013";"0,26";"0,26";"0,26";"0,26";"14000";
"05/07/2013";"0,26";"0,27";"0,27";"0,25";"71310";
"08/07/2013";"0,27";"0,26";"0,27";"0,25";"10762";
"09/07/2013";"0,27";"0,25";"0,27";"0,25";"20548";
"10/07/2013";"0,27";"0,27";"0,27";"0,26";"45073";
"11/07/2013";"0,26";"0,26";"0,27";"0,24";"67188";
"12/07/2013";"0,26";"0,24";"0,26";"0,23";"104981";
"15/07/2013";"0,25";"0,25";"0,26";"0,24";"22675";
"16/07/2013";"0,26";"0,25";"0,26";"0,24";"48958";
"17/07/2013";"0,26";"0,25";"0,27";"0,25";"4808";
"18/07/2013";"0,27";"0,27";"0,27";"0,25";"10181";
"19/07/2013";"0,27";"0,25";"0,27";"0,25";"4396";
"22/07/2013";"0,27";"0,25";"0,27";"0,25";"46242";
"23/07/2013";"0,27";"0,27";"0,27";"0,26";"768";
"24/07/2013";"0,27";"0,26";"0,27";"0,26";"5450";
"25/07/2013";"0,27";"0,26";"0,27";"0,26";"2934";
"26/07/2013";"0,27";"0,25";"0,27";"0,25";"114";
"29/07/2013";"0,25";"0,26";"0,26";"0,2";"207436";
"30/07/2013";"0,24";"0,23";"0,24";"0,21";"22082";
"31/07/2013";"0,24";"0,21";"0,24";"0,21";"5245";
"01/08/2013";"0,24";"0,22";"0,24";"0,22";"4390";
"02/08/2013";"0,23";"0,24";"0,24";"0,22";"1778";
"05/08/2013";"0,23";"0,21";"0,23";"0,21";"5515";
"06/08/2013";"0,23";"0,23";"0,23";"0,21";"27960";
"07/08/2013";"0,22";"0,22";"0,23";"0,21";"15484";
"08/08/2013";"0,24";"0,22";"0,24";"0,22";"19902";
"09/08/2013";"0,24";"0,22";"0,24";"0,21";"22315";
"12/08/2013";"0,21";"0,23";"0,23";"0,19";"214880";
"13/08/2013";"0,21";"0,2";"0,21";"0,2";"58102";
"14/08/2013";"0,22";"0,22";"0,22";"0,2";"30347";
"16/08/2013";"0,2";"0,2";"0,2";"0,2";"20090";
"19/08/2013";"0,21";"0,21";"0,22";"0,21";"38552";
"20/08/2013";"0,22";"0,21";"0,22";"0,2";"34754";
"21/08/2013";"0,21";"0,21";"0,21";"0,21";"8";
"22/08/2013";"0,2";"0,22";"0,22";"0,2";"37409";
"23/08/2013";"0,21";"0,21";"0,21";"0,2";"13775";
"26/08/2013";"0,21";"0,2";"0,21";"0,2";"2100";
"27/08/2013";"0,21";"0,2";"0,21";"0,2";"2963";
"28/08/2013";"0,21";"0,2";"0,21";"0,2";"49907";
"29/08/2013";"0,21";"0,2";"0,21";"0,2";"12205";
"30/08/2013";"0,21";"0,21";"0,21";"0,21";"2375";
"02/09/2013";"0,2";"0,21";"0,22";"0,19";"149715";
"03/09/2013";"0,21";"0,19";"0,21";"0,19";"2015";
"04/09/2013";"0,2";"0,2";"0,2";"0,2";"1";
"05/09/2013";"0,19";"0,2";"0,2";"0,19";"86596";
"06/09/2013";"0,2";"0,19";"0,2";"0,19";"482";
"09/09/2013";"0,21";"0,19";"0,21";"0,19";"26522";
"10/09/2013";"0,2";"0,2";"0,21";"0,19";"127202";
"11/09/2013";"0,21";"0,21";"0,22";"0,2";"42673";
"12/09/2013";"0,21";"0,21";"0,22";"0,2";"62792";
"13/09/2013";"0,22";"0,22";"0,22";"0,2";"32762";
"16/09/2013";"0,22";"0,2";"0,22";"0,2";"1416";
"17/09/2013";"0,33";"0,22";"0,34";"0,22";"543172";
"18/09/2013";"0,28";"0,34";"0,37";"0,28";"155912";
"19/09/2013";"0,3";"0,3";"0,31";"0,27";"93192";
"20/09/2013";"0,3";"0,29";"0,33";"0,29";"118294";
"23/09/2013";"0,29";"0,29";"0,31";"0,26";"187316";
"24/09/2013";"0,29";"0,29";"0,31";"0,28";"142100";
"25/09/2013";"0,36";"0,3";"0,36";"0,3";"308884";
"26/09/2013";"0,32";"0,35";"0,37";"0,31";"199140";
"27/09/2013";"0,31";"0,32";"0,32";"0,29";"132444";
"30/09/2013";"0,3";"0,32";"0,33";"0,3";"50802";
"01/10/2013";"0,3";"0,3";"0,32";"0,3";"31450";
"02/10/2013";"0,32";"0,33";"0,34";"0,32";"127442";
"03/10/2013";"0,32";"0,33";"0,35";"0,32";"94066";
"04/10/2013";"0,33";"0,33";"0,35";"0,32";"40899";
"07/10/2013";"0,34";"0,34";"0,35";"0,34";"74300";
"08/10/2013";"0,34";"0,35";"0,36";"0,34";"31416";
"09/10/2013";"0,34";"0,34";"0,34";"0,33";"27750";
"10/10/2013";"0,35";"0,33";"0,35";"0,33";"7746";
"11/10/2013";"0,35";"0,35";"0,35";"0,34";"40070";
"14/10/2013";"0,34";"0,35";"0,35";"0,34";"18730";
"15/10/2013";"0,34";"0,34";"0,34";"0,33";"91515";
"16/10/2013";"0,34";"0,34";"0,34";"0,33";"65280";
"17/10/2013";"0,33";"0,33";"0,33";"0,33";"5005";
"18/10/2013";"0,33";"0,34";"0,34";"0,33";"61774";
"21/10/2013";"0,35";"0,34";"0,37";"0,34";"121424";
"22/10/2013";"0,36";"0,36";"0,36";"0,35";"37227";
"23/10/2013";"0,35";"0,36";"0,36";"0,35";"59637";
"24/10/2013";"0,35";"0,35";"0,35";"0,35";"3400";
"25/10/2013";"0,36";"0,36";"0,36";"0,36";"8000";
"28/10/2013";"0,4";"0,36";"0,42";"0,36";"243565";
"29/10/2013";"0,6";"0,42";"0,64";"0,42";"528493";
"30/10/2013";"0,61";"0,61";"0,71";"0,6";"372024";
"31/10/2013";"0,35";"0,57";"0,57";"0,35";"1172038";
"01/11/2013";"0,36";"0,38";"0,41";"0,36";"534445";
"04/11/2013";"0,37";"0,38";"0,42";"0,37";"681433";
"05/11/2013";"0,32";"0,38";"0,38";"0,3";"577992";
"06/11/2013";"0,33";"0,33";"0,34";"0,31";"166654";
"07/11/2013";"0,32";"0,33";"0,33";"0,3";"240231";
"08/11/2013";"0,33";"0,32";"0,33";"0,32";"121112";
"11/11/2013";"0,38";"0,34";"0,39";"0,33";"307897";
"12/11/2013";"0,36";"0,39";"0,39";"0,35";"161168";
"13/11/2013";"0,36";"0,35";"0,37";"0,34";"74161";
"14/11/2013";"0,34";"0,36";"0,36";"0,34";"27632";
"15/11/2013";"0,35";"0,36";"0,36";"0,34";"18251";
"18/11/2013";"0,34";"0,35";"0,36";"0,34";"39933";
"19/11/2013";"0,32";"0,34";"0,34";"0,3";"193320";
"20/11/2013";"0,33";"0,32";"0,34";"0,3";"123077";
"21/11/2013";"0,37";"0,32";"0,37";"0,32";"145181";
