"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"17/01/2013";"5,71449";"5,76284";"5,76284";"5,68225";"22140,41075";
"18/01/2013";"5,69837";"5,70643";"5,72255";"5,65001";"32007,75099";
"21/01/2013";"5,70643";"5,69837";"5,70643";"5,64195";"26521,34604";
"22/01/2013";"5,65001";"5,72255";"5,73061";"5,62583";"52432,2644";
"23/01/2013";"5,64195";"5,65001";"5,66613";"5,61777";"19002,66355";
"24/01/2013";"5,48075";"5,64195";"5,64195";"5,47269";"90961,16972";
"25/01/2013";"5,45657";"5,44045";"5,50493";"5,38403";"59609,75256";
"28/01/2013";"5,49687";"5,46463";"5,55329";"5,45657";"75908,91625";
"29/01/2013";"5,44045";"5,56135";"5,56135";"5,43239";"29430,80322";
"30/01/2013";"5,38403";"5,44045";"5,44045";"5,33567";"39512,78572";
"31/01/2013";"5,35985";"5,37597";"5,37597";"5,31955";"25744,66366";
"01/02/2013";"5,23895";"5,33567";"5,35985";"5,21477";"110816,19876";
"04/02/2013";"5,19865";"5,26313";"5,27925";"5,19865";"119853,50623";
"05/02/2013";"5,20671";"5,18253";"5,23089";"5,15835";"27677,68467";
"06/02/2013";"5,21477";"5,30343";"5,35985";"5,17447";"65057,6956";
"07/02/2013";"5,19865";"5,19865";"5,23089";"5,18253";"18350,05183";
"08/02/2013";"5,19059";"5,19865";"5,25507";"5,17447";"40896,17367";
"11/02/2013";"5,38403";"5,19059";"5,48881";"5,17447";"192407,55161";
"12/02/2013";"5,31955";"5,42433";"5,48075";"5,27119";"51087,33836";
"13/02/2013";"5,34373";"5,40821";"5,47269";"5,28731";"52132,01338";
"14/02/2013";"5,30343";"5,34373";"5,35985";"5,23895";"19966,69264";
"15/02/2013";"5,10999";"5,14223";"5,19059";"5,00521";"119379,55628";
"18/02/2013";"4,93267";"5,07775";"5,07775";"4,91655";"79694,31234";
"19/02/2013";"5,01327";"4,92461";"5,01327";"4,92461";"49734,96807";
"20/02/2013";"4,98103";"5,02133";"5,02133";"4,94073";"14114,27922";
"21/02/2013";"4,91655";"4,97297";"4,97297";"4,89237";"26743,43254";
"22/02/2013";"4,90043";"4,95685";"4,95685";"4,85207";"17766,91969";
"25/02/2013";"4,84401";"4,87625";"4,90043";"4,81983";"66901,38573";
"26/02/2013";"4,80371";"4,81177";"4,81177";"4,70699";"52675,44291";
"27/02/2013";"4,83595";"4,78759";"4,83595";"4,77147";"19276,85973";
"28/02/2013";"4,83595";"4,83595";"4,91655";"4,83595";"40959,44971";
"01/03/2013";"4,78759";"4,83595";"4,83595";"4,77147";"16182,53726";
"04/03/2013";"4,73923";"4,75535";"4,75535";"4,68282";"37873,81219";
"05/03/2013";"4,75535";"4,75535";"4,79565";"4,68282";"25353,84106";
"06/03/2013";"4,78759";"4,78759";"4,81983";"4,76341";"11974,06019";
"07/03/2013";"4,80371";"4,80371";"4,81983";"4,77147";"12039,81765";
"08/03/2013";"4,94073";"4,83595";"4,98103";"4,80371";"53722,59935";
"11/03/2013";"4,91655";"4,94879";"4,95685";"4,89237";"23861,27092";
"12/03/2013";"4,94879";"4,91655";"4,95685";"4,87625";"23316,60068";
"13/03/2013";"4,91655";"4,94879";"4,96491";"4,87625";"22005,17372";
"14/03/2013";"4,88431";"4,91655";"4,93267";"4,88431";"9342,52132";
"15/03/2013";"4,90849";"4,88431";"4,91655";"4,87625";"8121,66594";
"18/03/2013";"4,81983";"4,77953";"4,86013";"4,77147";"33071,03662";
"19/03/2013";"4,81177";"4,79565";"4,82789";"4,79565";"10160,14702";
"20/03/2013";"4,80371";"4,82789";"4,82789";"4,76341";"14280,53392";
"21/03/2013";"4,75535";"4,77147";"4,81177";"4,73923";"24192,5396";
"22/03/2013";"4,67476";"4,73117";"4,73117";"4,63446";"35396,12094";
"25/03/2013";"4,69893";"4,71505";"4,75535";"4,67476";"23228,51051";
"26/03/2013";"4,67476";"4,79565";"4,79565";"4,64252";"57458,36717";
"27/03/2013";"4,39266";"4,63446";"4,63446";"4,39266";"100621,31195";
"28/03/2013";"4,36848";"4,51356";"4,51356";"4,27982";"48421,0597";
"02/04/2013";"4,48938";"4,4249";"4,59416";"4,4249";"47460,75273";
"03/04/2013";"4,40878";"4,5055";"4,5055";"4,39266";"89183,23704";
"04/04/2013";"4,43296";"4,40878";"4,44102";"4,40878";"24666,48955";
"05/04/2013";"4,51356";"4,43296";"4,59416";"4,4249";"63841,80305";
"08/04/2013";"4,47326";"4,51356";"4,65058";"4,47326";"74420,06823";
"09/04/2013";"4,47326";"4,56998";"4,5861";"4,4249";"46944,61875";
"10/04/2013";"4,47326";"4,49744";"4,5055";"4,41684";"22717,33936";
"11/04/2013";"4,56192";"4,47326";"4,57804";"4,47326";"35407,2873";
"12/04/2013";"4,5458";"4,51356";"4,5458";"4,49744";"24274,42624";
"15/04/2013";"4,47326";"4,52968";"4,5458";"4,43296";"15085,75255";
"16/04/2013";"4,4652";"4,47326";"4,55386";"4,41684";"13528,66567";
"17/04/2013";"4,32012";"4,43296";"4,4652";"4,29594";"37808,05474";
"18/04/2013";"4,19922";"4,33624";"4,33624";"4,19922";"28994,07446";
"19/04/2013";"4,304";"4,23146";"4,31206";"4,19116";"14807,83426";
"22/04/2013";"4,304";"4,28788";"4,32012";"4,19922";"8213,47824";
"23/04/2013";"4,19922";"4,29594";"4,29594";"4,19922";"16691,227";
"24/04/2013";"4,1831";"4,21534";"4,27176";"4,11862";"43037,6334";
"25/04/2013";"4,23952";"4,24758";"4,2637";"4,19922";"22578,38021";
"26/04/2013";"4,1831";"4,2234";"4,2234";"4,15086";"18883,55571";
"29/04/2013";"4,1831";"4,15892";"4,1831";"4,15086";"15254,48866";
"30/04/2013";"4,16698";"4,1831";"4,19116";"4,15892";"7826,37775";
"02/05/2013";"4,21534";"4,1831";"4,2637";"4,1831";"20941,88809";
"03/05/2013";"4,45714";"4,23146";"4,47326";"4,23146";"88409,03607";
"06/05/2013";"4,65058";"4,47326";"4,65864";"4,43296";"39984,25426";
"07/05/2013";"4,74729";"4,64252";"4,76341";"4,63446";"55470,75507";
"08/05/2013";"4,69088";"4,72311";"4,75535";"4,69088";"15431,90972";
"09/05/2013";"4,64252";"4,68282";"4,68282";"4,57804";"21886,06588";
"10/05/2013";"4,61028";"4,64252";"4,64252";"4,56192";"19335,17294";
"13/05/2013";"4,56192";"4,59416";"4,63446";"4,56192";"13253,22878";
"14/05/2013";"4,59416";"4,63446";"4,64252";"4,55386";"15008,82874";
"15/05/2013";"4,59416";"4,59416";"4,63446";"4,55386";"12099,37157";
"16/05/2013";"4,61834";"4,63446";"4,63446";"4,55386";"19950,56345";
"17/05/2013";"4,60222";"4,61834";"4,63446";"4,57804";"12904,5902";
"20/05/2013";"4,60222";"4,59416";"4,63446";"4,52968";"15149,02859";
"21/05/2013";"4,56998";"4,59416";"4,60222";"4,53774";"11577,03405";
"22/05/2013";"4,59416";"4,59416";"4,59416";"4,55386";"8995,12345";
"23/05/2013";"4,53774";"4,61834";"4,61834";"4,53774";"16886,01795";
"24/05/2013";"4,59416";"4,55386";"4,61028";"4,52162";"14878,55454";
"27/05/2013";"4,53774";"4,5861";"4,59416";"4,53774";"9446,74068";
"28/05/2013";"4,39266";"4,59416";"4,59416";"4,36042";"125820,06467";
"29/05/2013";"4,3846";"4,5055";"4,5055";"4,304";"71628,47819";
"30/05/2013";"4,31206";"4,35236";"4,35236";"4,23146";"30965,55738";
"31/05/2013";"4,29594";"4,3443";"4,3443";"4,25564";"25626,79653";
"03/06/2013";"4,11056";"4,31206";"4,31206";"4,04608";"176550,0795";
"04/06/2013";"4,04608";"4,11056";"4,11862";"3,98966";"111210,74348";
"05/06/2013";"3,92518";"4,02996";"4,03802";"3,901";"67477,07363";
"06/06/2013";"3,74786";"3,88488";"3,90906";"3,71562";"150817,82291";
"07/06/2013";"3,74786";"3,78816";"3,86876";"3,68338";"231118,84081";
"10/06/2013";"3,72368";"3,84458";"3,84458";"3,70756";"93199,40458";
"11/06/2013";"3,71562";"3,78816";"3,83652";"3,70756";"95359,47491";
"12/06/2013";"3,81234";"3,74786";"3,90906";"3,72368";"133630,31324";
"13/06/2013";"3,48189";"3,70756";"3,70756";"3,48189";"234527,06207";
"14/06/2013";"3,45771";"3,48995";"3,57055";"3,34487";"139720,94234";
"17/06/2013";"3,41763";"3,53486";"3,68815";"3,39058";"213724,66174";
"18/06/2013";"3,20121";"3,44468";"3,44468";"3,11103";"256853,07109";
"19/06/2013";"2,8856";"3,15612";"3,18317";"2,84051";"369993,2021";
"20/06/2013";"2,83149";"2,84953";"2,96675";"2,75935";"472692,512";
"21/06/2013";"2,95774";"2,84953";"3,06595";"2,83149";"330579,79549";
"24/06/2013";"2,76837";"3,07496";"3,11103";"2,76837";"293337,7248";
"25/06/2013";"2,81346";"2,80444";"2,89461";"2,74132";"253675,91203";
"26/06/2013";"2,97577";"2,85854";"2,97577";"2,79542";"143161,78892";
"27/06/2013";"2,9397";"3,02086";"3,02086";"2,89461";"139808,30586";
"28/06/2013";"2,85854";"2,92167";"2,9397";"2,85854";"118043,93462";
"01/07/2013";"2,7864";"2,84051";"2,84051";"2,69623";"176205,35204";
"02/07/2013";"2,65114";"2,75033";"2,75033";"2,59704";"435550,24735";
"03/07/2013";"2,90363";"2,66016";"2,90363";"2,62409";"247858,32865";
"04/07/2013";"2,96675";"2,92167";"2,98479";"2,85854";"381275,72085";
"05/07/2013";"2,95774";"2,93068";"2,95774";"2,82247";"427244,16661";
"08/07/2013";"2,91265";"2,9397";"3,04791";"2,89461";"297213,52616";
"09/07/2013";"2,91265";"2,93068";"2,95774";"2,89461";"165155,71406";
"10/07/2013";"2,90363";"2,92167";"2,94872";"2,85854";"154316,77773";
"11/07/2013";"2,90363";"2,92167";"2,99381";"2,89461";"163481,19044";
"12/07/2013";"3,03889";"2,92167";"3,11103";"2,8856";"503290,82705";
"15/07/2013";"3,03889";"3,05693";"3,12005";"2,98479";"368477,25919";
"16/07/2013";"3,15612";"3,08398";"3,18317";"3,06595";"447353,97544";
"17/07/2013";"3,06595";"3,15612";"3,21924";"3,03889";"283475,77874";
"18/07/2013";"3,06595";"3,06595";"3,10202";"3,02086";"159976,88936";
"19/07/2013";"3,06595";"3,093";"3,093";"3,03889";"132488,08704";
"22/07/2013";"3,093";"3,07496";"3,10202";"3,03889";"114193,63925";
"23/07/2013";"3,15612";"3,2463";"3,27335";"3,12907";"545597,49997";
"24/07/2013";"3,093";"3,18317";"3,21023";"3,06595";"357849,02451";
"25/07/2013";"3,01184";"3,12005";"3,12005";"2,98479";"162473,1494";
"26/07/2013";"3,00282";"3,02086";"3,04791";"2,97577";"155891,49531";
"29/07/2013";"2,95774";"3,03889";"3,03889";"2,93068";"159488,9487";
"30/07/2013";"3,02988";"2,96675";"3,02988";"2,93068";"105027,00862";
"31/07/2013";"3,02086";"3,04791";"3,093";"2,97577";"145136,83963";
"01/08/2013";"2,99381";"3,02086";"3,03889";"2,97577";"82596,15481";
"02/08/2013";"3,02086";"3,01184";"3,02086";"2,96675";"98196,94837";
"05/08/2013";"2,97577";"3,02988";"3,02988";"2,97577";"134755,90214";
"06/08/2013";"2,99381";"3,00282";"3,05693";"2,95774";"181762,33076";
"07/08/2013";"2,9397";"2,99381";"2,99381";"2,91265";"144832,98568";
"08/08/2013";"2,94872";"2,94872";"2,96675";"2,92167";"76639,95192";
