"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"10/09/2012";"21,7";"21,7";"21,8";"21,65";"399";
"11/09/2012";"21,56";"21,66";"21,69";"21,55";"541";
"12/09/2012";"21,65";"21,57";"21,7";"21,55";"8558";
"13/09/2012";"21,65";"21,66";"21,72";"21,65";"532";
"14/09/2012";"21,65";"21,66";"21,75";"21,65";"38926";
"17/09/2012";"21,55";"21,74";"21,74";"21,55";"1715";
"18/09/2012";"21,54";"21,56";"21,6";"21,4";"1278";
"19/09/2012";"21,59";"21,54";"21,6";"21,54";"232";
"20/09/2012";"21,55";"21,59";"21,6";"21,55";"341";
"21/09/2012";"21,35";"21,56";"21,56";"21,35";"613";
"24/09/2012";"21,4";"21,35";"21,4";"21,35";"22001";
"25/09/2012";"21,3";"21,39";"21,45";"21,3";"1278";
"26/09/2012";"21,7";"21,5";"21,7";"21,3";"114774";
"27/09/2012";"22,8";"21,9";"24,39";"21,9";"12674";
"28/09/2012";"23,94";"23";"23,94";"23";"8295";
"01/10/2012";"24";"24,01";"24,24";"23,94";"3534";
"02/10/2012";"23,98";"23,98";"23,98";"23,3";"6218";
"03/10/2012";"24,6";"24,1";"25";"24";"5714";
"04/10/2012";"24,79";"24,6";"25";"24,58";"5184";
"05/10/2012";"24,79";"24,79";"25,1";"24,24";"9740";
"08/10/2012";"24,89";"25,1";"25,1";"24,65";"7814";
"09/10/2012";"24,75";"24,89";"24,95";"24,75";"510";
"10/10/2012";"24,45";"24,75";"24,75";"24,2";"5213";
"11/10/2012";"24,55";"24,5";"24,61";"24";"5526";
"12/10/2012";"24,45";"24,44";"24,56";"24,16";"2047";
"15/10/2012";"24,7";"24,74";"24,94";"24,56";"2354";
"16/10/2012";"25";"24,71";"25";"24,7";"1132";
"17/10/2012";"24,83";"24,98";"24,98";"24,61";"498";
"18/10/2012";"25";"24,7";"25,05";"24,61";"2456";
"19/10/2012";"24,76";"25";"25,19";"24,76";"3819";
"22/10/2012";"25";"24,9";"25,25";"24,9";"1828";
"23/10/2012";"25";"25,01";"25,34";"24,8";"1858";
"24/10/2012";"24,7";"24,95";"24,95";"24,7";"577";
"25/10/2012";"25,17";"24,95";"25,5";"24,9";"1572";
"26/10/2012";"25,5";"25,21";"25,7";"25,21";"3826";
"29/10/2012";"25,9";"26";"26";"25,8";"5332";
"30/10/2012";"25,7";"25,93";"25,93";"25,5";"6309";
"31/10/2012";"25,8";"25,71";"25,8";"25,49";"12328";
"01/11/2012";"25,6";"25,8";"25,8";"25,6";"2200";
"02/11/2012";"25,5";"25,65";"25,65";"25,5";"31705";
"05/11/2012";"25,53";"25,56";"25,63";"25,53";"378";
"06/11/2012";"25,4";"25,44";"25,45";"25,23";"1131";
"07/11/2012";"25,32";"25,37";"25,37";"25,24";"327";
"08/11/2012";"25,24";"25,3";"25,31";"25,2";"485";
"09/11/2012";"24,83";"25,24";"25,24";"24,56";"1862";
"12/11/2012";"24,83";"24,83";"24,83";"24,62";"979";
"13/11/2012";"24,75";"24,83";"24,9";"24,7";"492";
"14/11/2012";"24,98";"24,75";"24,99";"24,75";"389";
"15/11/2012";"24,94";"24,93";"24,94";"24,75";"547";
"16/11/2012";"24,6";"24,89";"24,89";"24,55";"2734";
"19/11/2012";"25,05";"24,61";"25,14";"24,6";"5350";
"20/11/2012";"25,85";"24,99";"25,9";"24,99";"8855";
"21/11/2012";"26,9";"25,85";"27";"25,85";"3966";
"22/11/2012";"27";"27,02";"27,5";"27";"40654";
"23/11/2012";"26,5";"26,8";"26,8";"26,5";"1079";
"26/11/2012";"26";"26,4";"26,5";"25,96";"1752";
"27/11/2012";"25,75";"25,93";"25,94";"25,75";"1139";
"28/11/2012";"25,51";"25,75";"25,75";"25,3";"5454";
"29/11/2012";"25,4";"25,4";"25,55";"25,3";"2390";
"30/11/2012";"24,78";"25,29";"25,29";"24,78";"6242";
"03/12/2012";"24,55";"25";"25";"23,8";"29309";
"04/12/2012";"24,4";"24,5";"24,7";"24,3";"70978";
"05/12/2012";"24,42";"24,55";"24,55";"24,42";"1167";
"06/12/2012";"24,8";"24,41";"24,8";"24,3";"4634";
"07/12/2012";"25,2";"24,8";"25,25";"24,5";"3872";
"10/12/2012";"26";"25,3";"26";"25,3";"3255";
"11/12/2012";"26,85";"26,2";"26,95";"26,2";"34874";
"12/12/2012";"26,95";"26,9";"27";"26,71";"8870";
"13/12/2012";"26,4";"26,97";"26,97";"26,2";"51266";
"14/12/2012";"26,08";"26,45";"26,45";"25,9";"2518";
"17/12/2012";"26,15";"26,08";"26,15";"26";"3020";
"18/12/2012";"26,2";"26";"26,2";"26";"1737";
"19/12/2012";"26";"26,18";"26,19";"25,95";"6127";
"20/12/2012";"25,85";"25,9";"25,9";"25,85";"1216";
"21/12/2012";"25,31";"25,8";"25,8";"25,31";"3398";
"24/12/2012";"25,4";"25,35";"25,5";"25,35";"2594";
"27/12/2012";"25,35";"25,4";"25,45";"25,21";"1906";
"28/12/2012";"25,34";"25,35";"25,39";"25,25";"174";
