"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"10/09/2012";"144";"144";"144,5";"143";"10099";
"11/09/2012";"143,8";"144";"145";"143,2";"2641";
"12/09/2012";"143,5";"144,5";"144,85";"143,3";"3035";
"13/09/2012";"145,75";"144,5";"146";"144,5";"13762";
"14/09/2012";"143,5";"146";"146";"140,55";"5912";
"17/09/2012";"140,75";"143";"143";"140,7";"4509";
"18/09/2012";"140,8";"140,1";"142";"140,1";"2594";
"19/09/2012";"140,45";"141,7";"143,8";"140,45";"3677";
"20/09/2012";"135,9";"140,15";"140,2";"135,65";"26746";
"21/09/2012";"130";"137,6";"137,8";"130";"11896";
"24/09/2012";"135,5";"130";"135,8";"130";"4527";
"25/09/2012";"135,55";"134,5";"137,5";"134,5";"1994";
"26/09/2012";"135,5";"136";"136";"133";"2664";
"27/09/2012";"135,55";"135,7";"136";"135,5";"2870";
"28/09/2012";"134,8";"136";"136";"134,55";"3647";
"01/10/2012";"135";"134";"135,7";"132,8";"7733";
"02/10/2012";"135";"132";"136";"132";"10411";
"03/10/2012";"133,95";"134";"135";"133,55";"859";
"04/10/2012";"135";"135,5";"135,5";"133";"1798";
"05/10/2012";"136,5";"133";"136,5";"131,5";"2475";
"08/10/2012";"135,7";"135,05";"136,5";"134,2";"908";
"09/10/2012";"134,5";"136,5";"136,5";"133,6";"1361";
"10/10/2012";"132,6";"134,5";"134,75";"132,6";"1846";
"11/10/2012";"134,2";"133";"134,4";"132,95";"2599";
"12/10/2012";"135";"133,6";"135";"133,6";"7752";
"15/10/2012";"136,95";"135,2";"137";"135,2";"1873";
"16/10/2012";"138,7";"136,5";"138,7";"136,5";"3490";
"17/10/2012";"140,1";"139";"140,1";"137,9";"2072";
"18/10/2012";"139,75";"140,5";"142";"139";"2453";
"19/10/2012";"140,05";"140,5";"141,5";"139,8";"2362";
"22/10/2012";"136,05";"137";"139";"133,3";"6109";
"23/10/2012";"136,45";"135,9";"136,8";"135,45";"5300";
"24/10/2012";"136,9";"136";"137,4";"136";"1262";
"25/10/2012";"136,75";"136";"136,75";"135,6";"12559";
"26/10/2012";"137";"136,15";"137";"135,6";"1049";
"29/10/2012";"135";"135,6";"135,6";"133,5";"1265";
"30/10/2012";"134,55";"133,5";"135";"133,45";"677";
"31/10/2012";"134,5";"133,6";"134,95";"133,6";"1105";
"01/11/2012";"137";"134,7";"137";"134,35";"1352";
"02/11/2012";"136,65";"137";"137";"136";"3125";
"05/11/2012";"135,2";"135,5";"135,75";"133,6";"3198";
"06/11/2012";"134,75";"134,2";"135,8";"134,2";"1169";
"07/11/2012";"133,1";"134,75";"135,4";"133,1";"2156";
"08/11/2012";"133,2";"133,35";"133,95";"133,1";"763";
"09/11/2012";"132,9";"133,2";"133,95";"132,6";"5702";
"12/11/2012";"132,35";"132,7";"133";"132,35";"5976";
"13/11/2012";"131,85";"132,2";"132,7";"131,85";"3844";
"14/11/2012";"133,75";"132";"133,75";"131,6";"6411";
"15/11/2012";"133";"133,7";"134,45";"132,1";"2456";
"16/11/2012";"130,4";"132,1";"133,25";"130,2";"1010";
"19/11/2012";"131";"130,4";"131,95";"130";"9248";
"20/11/2012";"134,25";"131,5";"134,25";"130,9";"3164";
"21/11/2012";"134";"133,5";"134,5";"133,5";"753";
"22/11/2012";"133,65";"134";"134";"133,25";"2589";
"23/11/2012";"133,65";"133,95";"133,95";"133,5";"1383";
"26/11/2012";"135,8";"134";"137,5";"134";"11567";
"27/11/2012";"137,75";"135,85";"138,25";"135,85";"11009";
"28/11/2012";"138";"138,2";"138,25";"136,7";"8197";
"29/11/2012";"139,9";"138,5";"139,9";"138,4";"20632";
"30/11/2012";"141,9";"139,9";"141,95";"139,15";"4754";
"03/12/2012";"143,4";"140,65";"144";"140,5";"3855";
"04/12/2012";"143";"143,5";"143,5";"142,5";"6581";
"05/12/2012";"143";"143";"143";"141,5";"4071";
"06/12/2012";"143";"143,1";"143,45";"142,1";"2689";
"07/12/2012";"141,5";"142,05";"143";"141";"3439";
"10/12/2012";"141,5";"141";"143";"140";"7631";
"11/12/2012";"141,9";"142,15";"143,35";"141";"3154";
"12/12/2012";"143,95";"142,5";"143,95";"142,2";"3049";
"13/12/2012";"144,5";"143,8";"144,8";"143,75";"3855";
"14/12/2012";"146,8";"144,9";"146,8";"144,7";"7988";
"17/12/2012";"144,05";"144,5";"145,5";"142,25";"3857";
"18/12/2012";"146,5";"143,8";"146,5";"143,5";"4813";
"19/12/2012";"146,3";"144,6";"147";"144,5";"4302";
"20/12/2012";"148,5";"146,2";"148,9";"146,2";"5434";
"21/12/2012";"147";"147,6";"147,6";"145,8";"3045";
"24/12/2012";"144,3";"144";"144,3";"143,2";"739";
"27/12/2012";"145,8";"144,3";"145,8";"144,25";"1225";
"28/12/2012";"146,1";"145,8";"149";"145,8";"1191";
"31/12/2012";"149,85";"147,5";"149,85";"147,5";"1140";
"02/01/2013";"149,4";"149,5";"149,5";"148,5";"1128";
"03/01/2013";"151,1";"149,4";"151,1";"149";"4596";
"04/01/2013";"154,05";"151,15";"154,4";"150,5";"2250";
"07/01/2013";"157,25";"153,2";"158,2";"153,2";"6316";
"08/01/2013";"163,5";"156";"163,95";"156";"11735";
"09/01/2013";"157,5";"163,15";"164";"156";"7889";
"10/01/2013";"154,4";"156";"156";"153,15";"2792";
"11/01/2013";"154,45";"154,4";"154,5";"153,05";"2568";
"14/01/2013";"156,3";"154,15";"157,5";"154,15";"5441";
"15/01/2013";"153,8";"154,6";"155,45";"153,1";"3064";
"16/01/2013";"156,1";"153,1";"156,8";"153,1";"1722";
"17/01/2013";"158";"157";"160";"156,05";"7331";
"18/01/2013";"163,05";"160,1";"165";"160,1";"7072";
"21/01/2013";"160,3";"162,2";"162,4";"158,5";"6392";
"22/01/2013";"158,1";"160,5";"163";"158,1";"4106";
"23/01/2013";"167,25";"157,5";"167,25";"157,5";"13163";
"24/01/2013";"168";"168";"169,9";"164,5";"5431";
"25/01/2013";"163,5";"168";"168";"163,5";"2367";
"28/01/2013";"164,2";"163,15";"164,2";"162,75";"3400";
"29/01/2013";"162,5";"164,2";"165,5";"162,5";"3442";
"30/01/2013";"164,9";"164,05";"165,6";"163";"3941";
"31/01/2013";"165";"163,7";"165";"163,7";"1973";
"01/02/2013";"165";"165,5";"167";"164,8";"5051";
"04/02/2013";"170,8";"166";"171,6";"166";"25276";
"05/02/2013";"170";"168";"171,95";"167,55";"10549";
"06/02/2013";"170";"170";"171";"169,75";"6338";
"07/02/2013";"170";"170";"172";"169";"3865";
"08/02/2013";"172";"172";"172";"170,3";"2397";
"11/02/2013";"169,45";"172";"172";"169";"804";
"12/02/2013";"168,6";"169,9";"169,9";"168,1";"2191";
"13/02/2013";"168";"168";"168,9";"167,5";"1878";
"14/02/2013";"167,7";"169";"169";"167";"1280";
"15/02/2013";"170,15";"168,2";"170,6";"164";"5071";
"18/02/2013";"170";"170";"171";"168,2";"639";
"19/02/2013";"170,95";"171";"171";"170";"1515";
"20/02/2013";"167,35";"170,5";"170,5";"166,4";"3000";
"21/02/2013";"165,8";"168,9";"168,9";"164,5";"1822";
"22/02/2013";"164,4";"165,5";"165,8";"162,65";"2256";
"25/02/2013";"161,2";"163,1";"164,25";"160,5";"5748";
"26/02/2013";"159,55";"160,5";"160,7";"158,5";"5222";
"27/02/2013";"160,85";"159,15";"162,5";"158,5";"2186";
"28/02/2013";"164,9";"162,5";"166";"162";"3774";
"01/03/2013";"165,65";"164,9";"165,65";"163";"2145";
"04/03/2013";"157";"165,05";"165,4";"157";"3766";
"05/03/2013";"160,7";"157";"162,4";"157";"3199";
"06/03/2013";"158,05";"161";"161";"158,05";"2029";
"07/03/2013";"155,55";"158";"158,8";"155";"7723";
"08/03/2013";"162,05";"158,35";"164,65";"157,35";"9613";
"11/03/2013";"164,1";"163,5";"166";"163";"5778";
"12/03/2013";"166";"168";"169,9";"166";"6616";
"13/03/2013";"167,1";"168,7";"169";"166";"19327";
"14/03/2013";"175";"168";"176";"167,55";"17000";
"15/03/2013";"182,8";"175";"186,75";"175";"14024";
"18/03/2013";"184,6";"185";"189,8";"182,65";"21527";
"19/03/2013";"184";"185";"185";"182,05";"2757";
"20/03/2013";"182,35";"185";"185";"181,3";"5090";
"21/03/2013";"183";"183";"184,45";"182,5";"3631";
"22/03/2013";"180";"183";"183";"178,1";"4456";
"25/03/2013";"180";"181";"183,35";"178,5";"3235";
"26/03/2013";"181,9";"180,55";"182,8";"180,05";"1131";
"27/03/2013";"180,75";"182,8";"183";"179,5";"1353";
"28/03/2013";"179,7";"180,75";"180,75";"178,65";"1026";
"02/04/2013";"175,1";"178,5";"180,2";"175,1";"3699";
"03/04/2013";"179,5";"175";"179,95";"174,65";"2271";
"04/04/2013";"181,65";"178,65";"181,65";"178,5";"3392";
"05/04/2013";"179,25";"182";"182";"179";"6508";
"08/04/2013";"180";"179,25";"182,8";"179,25";"2463";
"09/04/2013";"179";"180";"181";"179";"4693";
"10/04/2013";"181,55";"180,8";"181,55";"177";"1391";
"11/04/2013";"181,35";"182";"182";"179,4";"2356";
"12/04/2013";"179,2";"180";"181,95";"178,25";"1483";
"15/04/2013";"180";"179";"180,1";"178,4";"2475";
"16/04/2013";"179,1";"180";"181,2";"178,45";"3205";
"17/04/2013";"157,4";"168,5";"169,9";"152,5";"41226";
"18/04/2013";"154,55";"155";"156";"150,25";"9668";
"19/04/2013";"152,5";"153";"160,8";"151,05";"13712";
"22/04/2013";"153,1";"150,45";"153,7";"150,25";"3665";
"23/04/2013";"152";"153,1";"154";"150,25";"3605";
"24/04/2013";"148,9";"151,9";"151,9";"148,5";"4370";
"25/04/2013";"145,6";"148";"148,8";"145";"21245";
"26/04/2013";"145,2";"145,7";"146,8";"145";"9068";
"29/04/2013";"152,6";"147,9";"153";"147,9";"14369";
"30/04/2013";"155";"153,55";"156,45";"153";"3397";
"02/05/2013";"156,8";"155,3";"162,35";"154";"6239";
"03/05/2013";"159,85";"159,4";"162,2";"156,5";"6540";
"06/05/2013";"160,6";"159,6";"165";"158";"3046";
"07/05/2013";"159,3";"160,6";"160,6";"158,1";"3400";
"08/05/2013";"156,15";"160";"161";"155,65";"2846";
"09/05/2013";"160,55";"153,3";"161,85";"153,15";"3974";
"10/05/2013";"160,7";"160,5";"161,5";"157,25";"1567";
"13/05/2013";"162,5";"160,5";"162,5";"160,5";"3460";
"14/05/2013";"166,85";"161";"167";"161";"5529";
"15/05/2013";"166";"165,45";"168,5";"165,1";"4534";
"16/05/2013";"165";"166";"166,8";"163,6";"4237";
"17/05/2013";"166,3";"165,35";"167,5";"165,2";"3130";
"20/05/2013";"166,6";"166";"167,6";"163,85";"1336";
"21/05/2013";"171,3";"166,6";"172";"165,8";"5507";
"22/05/2013";"169,9";"169,8";"172";"169,55";"1138";
"23/05/2013";"161,85";"169,6";"169,6";"161";"5531";
"24/05/2013";"159,55";"161,5";"162,2";"159";"2600";
"27/05/2013";"158,55";"162,75";"162,75";"158,55";"1966";
"28/05/2013";"160";"158,75";"160,85";"158,75";"2437";
"29/05/2013";"162,25";"160,95";"164,5";"159,1";"2334";
"30/05/2013";"166,5";"163,9";"168,5";"163,9";"5096";
"31/05/2013";"167,25";"167,95";"167,95";"165,35";"2740";
"03/06/2013";"162,25";"167,25";"167,25";"162,25";"2599";
"04/06/2013";"163,2";"161,5";"164,55";"161,5";"1413";
"05/06/2013";"162";"164";"164";"160,5";"1624";
"06/06/2013";"159,05";"163";"163";"159,05";"688";
"07/06/2013";"159,85";"161,5";"161,5";"158,25";"2898";
"10/06/2013";"162,9";"159,2";"164";"158,2";"2132";
"11/06/2013";"162";"162";"164,7";"160";"1868";
"12/06/2013";"166,95";"162";"166,95";"159,9";"2841";
"13/06/2013";"160,35";"164,05";"164,65";"160";"4371";
"14/06/2013";"157,1";"162";"162";"157";"6326";
"17/06/2013";"155,5";"156,25";"158";"155,4";"2964";
"18/06/2013";"157";"155,5";"157";"154";"7106";
"19/06/2013";"155,8";"157";"157";"155,8";"704";
"20/06/2013";"157,05";"155,8";"158,25";"155,8";"1920";
"21/06/2013";"154,25";"157";"157";"154,25";"1438";
"24/06/2013";"154,5";"154,1";"156";"154,1";"4316";
"25/06/2013";"154,15";"155";"156";"154,1";"1326";
"26/06/2013";"154,35";"155,15";"157";"154,1";"3380";
"27/06/2013";"157,95";"154,35";"157,95";"154,35";"620";
"28/06/2013";"159";"157";"159";"155,5";"1676";
"01/07/2013";"160";"158,45";"160,5";"157,5";"1487";
"02/07/2013";"156,55";"160";"160";"156";"2978";
"03/07/2013";"156";"157,5";"157,6";"155,3";"3170";
"04/07/2013";"159,05";"155";"159,05";"154,1";"4479";
"05/07/2013";"159,7";"159,05";"159,7";"157,1";"779";
"08/07/2013";"156,45";"159,25";"159,85";"156,45";"641";
"09/07/2013";"157,85";"156,4";"159,9";"156,4";"5616";
"10/07/2013";"158,4";"157,85";"158,4";"157,15";"4922";
"11/07/2013";"159,9";"159,35";"160,5";"159,35";"3670";
"12/07/2013";"159,85";"159,35";"160";"159,35";"1148";
"15/07/2013";"158,7";"158,5";"159,9";"156";"3206";
"16/07/2013";"156,75";"158,2";"158,8";"156,75";"3861";
"17/07/2013";"150,55";"156,4";"156,85";"150,55";"8332";
"18/07/2013";"152";"150,55";"152,95";"150,5";"6489";
"19/07/2013";"151,75";"152";"153,5";"151,4";"5532";
"22/07/2013";"152,85";"153,4";"153,5";"152,1";"4318";
"23/07/2013";"153,8";"153,4";"153,8";"152";"4465";
"24/07/2013";"154,95";"153,8";"155,05";"153,7";"2532";
"25/07/2013";"157,5";"154,6";"158,4";"154,6";"2437";
"26/07/2013";"152";"158";"158,05";"151";"4464";
"29/07/2013";"150";"152";"153,5";"148,35";"3503";
"30/07/2013";"153,8";"150,05";"153,9";"150,05";"5737";
"31/07/2013";"150";"153,85";"153,85";"149,5";"3770";
"01/08/2013";"146,8";"149,6";"149,65";"145,6";"8547";
"02/08/2013";"148,85";"146,8";"148,85";"146,5";"26196";
"05/08/2013";"151";"147,15";"152,5";"147,15";"15910";
"06/08/2013";"150";"151,7";"152";"149,5";"2441";
"07/08/2013";"149,2";"151,4";"151,4";"149,2";"661";
"08/08/2013";"148,65";"149,1";"150";"148";"1759";
"09/08/2013";"149,25";"148,85";"151";"146,55";"1797";
"12/08/2013";"149,8";"149,5";"150";"148,5";"1178";
"13/08/2013";"150,75";"149,1";"151";"149,1";"4904";
"14/08/2013";"150,55";"150,4";"150,85";"149,25";"799";
"15/08/2013";"149,75";"150,85";"150,85";"149,75";"1100";
"16/08/2013";"149,7";"149,75";"149,75";"149";"1555";
"19/08/2013";"149,85";"150";"150,1";"148";"3857";
"20/08/2013";"148,25";"149,8";"149,8";"147,5";"1176";
"21/08/2013";"147,85";"147,5";"148";"147,5";"2873";
"22/08/2013";"146,7";"146,6";"147,35";"146,25";"2535";
"23/08/2013";"144,75";"146,5";"146,9";"144,4";"3556";
"26/08/2013";"142";"144,5";"144,6";"142";"2764";
"27/08/2013";"140,05";"140,75";"141,8";"140";"20892";
"28/08/2013";"140";"139,9";"140,25";"139,5";"3353";
