Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1991","29.86","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1992","29.86","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1993","29.86","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1994","29.38","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1995","63.98","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1996","85.31","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1997","71.61","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1998","90.52","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","1999","123.70","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2000","120.85","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2001","90.05","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2002","66.82","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2003","100.95","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2004","85.78","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2005","83.89","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2006","130.33","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2007","176.78","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2008","223.22","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2009","228.44","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2010","235.55","Fc","Calculated data"
"PI","Producer Price Indices - Annual","2","Afghanistan","5539","Producer Price Index (2004-2006 = 100)","27","Rice, paddy","2011","236.49","Fc","Calculated data"
