,historical VaR,parametric VaR normal,parametric VaR student,MC VaR levy,historical ES,parametric ES normal,parametric ES student,MC ES levy
BNPP.PA,-0.0870257411472294,-0.06337547402083273,-0.0719580254518392,-0.13250151035218957,-0.11053822795495857,-0.0708146829021224,-0.0892171508647345,-0.3229600547360484
CNAT.PA,-0.09895278559032968,-0.06740724266547278,-0.07815606296526545,-0.19732687513879182,-0.13152008615611738,-0.07531701724109341,-0.10078291133309777,-0.5896889620543224
CNPP.PA,-0.05750911729908408,-0.04770326945033291,-0.05314417548314583,-0.10608474643855535,-0.07281523491266695,-0.05331179384707754,-0.06384942927995402,-0.24216461157063293
COFA.PA,-0.06134157105030894,-0.05579233353012722,-0.06241608751596776,-0.1062041070098827,-0.1846101825157896,-0.06229073413755332,-0.07549251884163097,-0.27780275094732787
CAGR.PA,-0.09226932668329169,-0.06694302697523768,-0.07605951599055133,-0.15094749162419877,-0.11092989578006518,-0.07477853905105714,-0.09442491469712064,-0.41316621192388214
LP60054881,-0.02489834704752556,-0.0140278251115807,-0.016409847392773437,-0.1905909101683659,-0.04415131458844955,-0.01566368808691869,-0.021558112964579774,-136.82667858833773
LP60055261,-0.03179343052871952,-0.015665433896005096,-0.019975408580255406,-0.053473119835655274,-0.04268182553003275,-0.01751116380533369,-0.03259181125384574,-4.842230182445818
LP60056606,-0.027931840962245283,-0.01496023393963367,-0.018841971209970092,-0.007229250094904253,-0.039914488150018225,-0.01671676640136916,-0.029660245709057932,-1.668772348906855
LP60056288,-0.03715846994535525,-0.024643010936183297,-0.02809390973084816,-0.058744048524095815,-0.04644358449114866,-0.027535078318437656,-0.035085455225460506,-0.2102529839524384
LP60038588,-0.05490903909181599,-0.03885364514291819,-0.044223301548409776,-0.11003465691137877,-0.07557705360756056,-0.04340902085789311,-0.05507162753876598,-0.3161614172459523
LP68156889,-0.02213993942256934,-0.014462362457063865,-0.01692249720406522,-0.034018797009787806,-0.030269975559619043,-0.016176649106757056,-0.022208291027558773,-28.11150674524784
LP60037874,-0.04511519711397558,-0.02528307859009101,-0.029077467331752958,-0.07136686509821728,-0.05055503002299089,-0.028282742079476134,-0.03688365780372331,-0.20057267868529413
LP60038754,-0.047661706732604066,-0.031198621557043133,-0.0358377884224809,-0.09511395799302014,-0.06214937738308273,-0.034859961831238254,-0.045386586560910824,-0.26238361676996413
LP60038806,-0.00825741598456599,-0.006016009908414374,-0.006658454214447855,-0.011597322104276806,-0.010085318239904686,-0.0067359026462450195,-0.00792202551737767,-0.027853409048464457
LP60056349,-0.05042536736272243,-0.036089336647978254,-0.04097377257766716,-0.08770725974513983,-0.06322164453309789,-0.04032019250868418,-0.050797537829099626,-0.20534072325521804
LP60037935,-2.3923836577519272e-05,-0.00034075478467717005,-0.00036524958684638014,-0.22877665267175296,-0.0003296618564452338,-0.0003888915815871975,-0.00042228863843060574,-116.06506643355407
LP60056630,-0.04688340899995848,-0.032778676060397575,-0.037161950833211624,-0.08100509626351529,-0.06171801768267198,-0.0366248146611634,-0.045954916447594814,-0.23110018137462518
LP60058017,-0.051284346191712196,-0.03652931869581933,-0.040736999879203706,-0.06981316764351674,-0.06830606813308242,-0.04080320680541499,-0.049022102512740764,-0.17741340517482887
LP60045007,-0.006093038041750586,-0.0046080282455780485,-0.005204073587585662,-0.05255600287196423,-0.010155862005101959,-0.005158346023435682,-0.006389359865908505,-0.34982784941141326
LP60058182,-0.008607465484915673,-0.006047148659089524,-0.006796751197291752,-0.33274220692377815,-0.01153493346493556,-0.006762985190803444,-0.00828075603175117,-0.4798708190026881
LP60041820,-0.0532326751838947,-0.036826969950851246,-0.04159365912056902,-0.08810779573814793,-0.06362995375967533,-0.04112386176027319,-0.051108805529582156,-0.23828732982004536
LP60061881,-0.019768563162970137,-0.008681453392465751,-0.011213200570600202,-0.00898551466838866,-0.028731541103284176,-0.009704641318613276,-0.019064807849574785,-1.5433852440433133
LP60065533,-0.045621780721118624,-0.03135118809711565,-0.035756583755379295,-0.08903362628638269,-0.058476635105789286,-0.03503957042226836,-0.04468401740332399,-0.25979240811198795
LP60038525,-0.04718162044589461,-0.03382394305962018,-0.038428967783464246,-0.08872305908613513,-0.06546915011795364,-0.03779229522364092,-0.047700740148740664,-0.24756541188972994
LP60063329,-0.04717768871075489,-0.034519200259114466,-0.03915085389118127,-0.09133262996863727,-0.05989580770184665,-0.038565967094407114,-0.0484498855026413,-0.2284516998807923
LP60037824,-3.829697020827962e-05,-0.00020048987669195513,-0.00024480097296216986,-0.06210059228187193,-6.773871531064353e-05,-0.0002321460809316703,-0.00033909022265266216,-340.3508225638171
LP60037841,-4.201949704656692e-05,-0.0027969524322567158,-0.0029876117693060154,-0.009317195663113259,-0.001456823868823921,-0.0031320496566250183,-0.0034073729433993596,-68.70175699897479
LP60037857,-2.2527785141450176e-05,-0.0003788294239432061,-0.00042904947996512865,-0.18645716772057577,-0.0005495270170418661,-0.0004314078026951097,-0.0005278030462007185,-343.50176538184246
LP60037690,-0.007567519202709108,-0.005242263463322072,-0.005953373817858022,-0.013336740333461735,-0.010832716403083819,-0.0058679480982627725,-0.00737912194420327,-0.03521330660405546
LP60037754,-0.020275862068965502,-0.012724342387042053,-0.014618874265590599,-0.03144676980737072,-0.02584101329187996,-0.014225784196718895,-0.01851371698056721,-0.0851704501736078
LP60066675,-0.05062633407830136,-0.03275243977553624,-0.03791364245880439,-6.151337410205341,-0.06838694469862049,-0.0366108012352348,-0.048719356018355406,-36581.39429106617
LP60037669,-0.01072898295120523,-0.007363723270685341,-0.00827354371396573,-0.009793808406044019,-0.030742077466185853,-0.00822375766089952,-0.010076964527416049,-0.023814787188591053
LP60037656,-0.044427959116386306,-0.02759935074226783,-0.031762285304794635,-0.07227334900718618,-0.05700769003260906,-0.030851388248026777,-0.04035672562368757,-0.2316310252833139
LP60038432,-0.0524341120035877,-0.03589474565723096,-0.04092971115957652,-0.0967243883899509,-0.06389353990257848,-0.040112432384441496,-0.05113169006778882,-0.27090636302687
LP60037720,-0.01149869552613777,-0.007912697534071497,-0.008961474903646236,-0.012227434755522138,-0.031950203744280814,-0.00884213355646556,-0.011061379305228504,-0.028642871023779125
LP60037898,-0.01562499999999994,-0.011021080030748268,-0.012023104357688058,-0.01918928222210544,-0.022722266615817145,-0.012328838414055878,-0.014027109153255132,-0.051093979498485854
LP60037819,-8.146804882670975e-05,-0.0009298929357835484,-0.000987860767366685,-0.00793207482012927,-0.0011181639796534898,-0.001043942130599775,-0.001122931130803951,-3.287878516360917
LP60038418,-0.05409697471083182,-0.03874160361213912,-0.04393853207428593,-0.10158232290596066,-0.06644383906130354,-0.04327958494504794,-0.05437369839068068,-0.25588224753733796
LP60038419,-0.007343717928250569,-0.005437037333213911,-0.006210665064953904,-0.019011466512822362,-0.00985599183206286,-0.006082797202864216,-0.007779535152162538,-0.05525309933132423
LP60038456,-2.7478024625905573e-05,-0.00026236290398144843,-0.00030765922480908053,-0.1437119074773104,-3.673102418544942e-05,-0.0003011179801930355,-0.00039899935709152565,-16.613886036773593
LP60038650,-0.050272600275418904,-0.03635116278527806,-0.04107162610318206,-0.08703025658780876,-0.06130698696228673,-0.040619187049350455,-0.0504897202651965,-0.20534180537717817
LP60074040,-0.026069340105817785,-0.013217565586475067,-0.016784319527306142,-6.138468747394146e-05,-0.036918893846571266,-0.014776912504216469,-0.02702847596596963,-0.0005377792410067874
LP60044909,-0.04363706266820459,-0.02851878572855805,-0.03291033345988494,-0.09240578441583865,-0.056604347816532376,-0.031851060259266775,-0.042059392316787673,-0.2825256255670087
LP60037570,-0.012503759080820943,-0.0076498177440418764,-0.008669333328929496,-0.012796070068233812,-0.030329388137974818,-0.00854778677382392,-0.010713016197503391,-0.02785528290849579
LP60037673,-0.007804349465959564,-0.005386258802057245,-0.005998163293809643,-0.010213588209635669,-0.010485257435189365,-0.006034663299922379,-0.0072010771958752546,-0.021892382814579652
LP60037573,-0.053645453966748836,-0.03803083897259856,-0.043151275867401896,-0.09963849286207466,-0.06742677849851783,-0.042484238472119726,-0.05344109865970122,-0.31444915309313104
LP60037603,-0.05093905031892275,-0.03582026335841828,-0.04054761975639619,-0.09591285755367121,-0.06365441791254248,-0.04001420114778606,-0.050011035658344916,-0.2522462090555532
BEL.BR,-0.0371681415929203,-0.02921162790000758,-0.03278565859498035,-0.06457658178013452,-0.05284258674635059,-0.0326555222998146,-0.0398540878315415,-0.14708249567703036
LP60086012,-0.008501296347644072,-0.005802606233319892,-0.006602919172546955,-0.01447195344849469,-0.01144072579061128,-0.006500039666921887,-0.008210553585454073,-0.04297611523374484
LP60080170,-0.016573648407945823,-0.007642058769918719,-0.009197560019920602,-0.04314718628055879,-0.021240200852484636,-0.008546216160356918,-0.01284288962402502,-1.1525731180956094
LP60037802,-2.9248822734841265e-05,-0.008363902678854727,-0.008783072796722384,-0.0041859656580390476,-3.64128127409586e-05,-0.009351547784060483,-0.00987393297900634,-0.7355884254279302
LP60037606,-0.057027105487479024,-0.03743861982721197,-0.042861209247249316,-0.10016637257187257,-0.07281679260714327,-0.041829800688721455,-0.05394278186082205,-0.23178622095038762
LP60038436,-0.04999312108074216,-0.03383288668990561,-0.03871364994668306,-0.10038097350998175,-0.06525542513101941,-0.03781028026578513,-0.04867134642751834,-0.35025632720652705
LP60038137,-0.021305565817894768,-0.014164848640541095,-0.016100502127485566,-0.04094810283913755,-0.030525810552679673,-0.01583649055600796,-0.01999598428854408,-0.14818127208575804
LP60037568,-0.01544943820224731,-0.006971298078648995,-0.0078698007394794,-0.01045419680088065,-0.02747451798527571,-0.007788024396109108,-0.009660884386656864,-0.026444855994179325
LP60037581,-0.046517371974312466,-0.03426414270523268,-0.03878204526627978,-0.0792655192872096,-0.06838911689663763,-0.038277217051610364,-0.04782410848272439,-0.2203432621025011
LP60037593,-0.04188829787234054,-0.023251561123487603,-0.0272890109938241,-0.07501515022276675,-0.048129077335567795,-0.02599575496738634,-0.03605281894443649,-0.27476207007276177
LP60037619,-0.047500801025312456,-0.03558899768922681,-0.040078718629573705,-0.08242453625260449,-0.05962624025177572,-0.03976260854502898,-0.04899809600148718,-0.2071515587309104
LP60037635,-0.009609106721889112,-0.005467923594168649,-0.006286862038311829,-0.011596597384250786,-0.026219388891455163,-0.00610708083449276,-0.007978038570615457,-0.04207868864985911
LP60037636,-0.01787348258402965,-0.008884167875656287,-0.010004826709920908,-0.012906330925687905,-0.0358096407026785,-0.00992232591232794,-0.012232256612622052,-0.0286197462027165
LP60037667,-0.04223385689354284,-0.027621254673919515,-0.0317660542486224,-0.08066651309978241,-0.06050633901253662,-0.030864629064816212,-0.04031871934584786,-0.21723455793799942
LP60037695,-0.0441568944601699,-0.02906348814750989,-0.03327900854501639,-0.09392101622933635,-0.05948584109671249,-0.032470155088982156,-0.041898589817863305,-0.2866161153701489
LP60037718,-0.03173009338286973,-0.012404737593254545,-0.01440486031423329,-0.021072129751889917,-0.049571296688009525,-0.013866221409652477,-0.018625782140509767,-0.08325562923251048
LP60037719,-0.017944038929440492,-0.00802551264535697,-0.009113354765495942,-0.012185641455474567,-0.03531980298955327,-0.008969532137528474,-0.011300433946006631,-0.027247761883855533
LP60037721,-0.02222020266278905,-0.012048259317908538,-0.013928439445502094,-0.03062969919155211,-0.035667166455234454,-0.013460373832656395,-0.017858726443987862,-0.08496577191022317
LP60037722,-0.036514627624829064,-0.024644887829499838,-0.02809889935767306,-0.06447876939299295,-0.0488423518641488,-0.02753223753149245,-0.03510096705584317,-0.17340181856716833
LP60037725,-0.02598601767576835,-0.01742532323567748,-0.01971268460515402,-0.04695838141518305,-0.032429710970312435,-0.01946183907140502,-0.024288626533072576,-0.13033400813521148
LP60037728,-0.004620676133929449,-0.0030940022847358037,-0.003543538577969978,-0.01548382055975098,-0.007430703673874208,-0.0034665403695782267,-0.004456772757109951,-0.08702869156659078
LP60037729,-0.0030182849133536917,-0.001974735738589609,-0.002244335542632668,-0.02335944615779043,-0.004062678654136221,-0.0022203342007177766,-0.0027815687135619074,-0.09584884217628484
LP60037747,-0.03255708794935559,-0.02260533356041925,-0.0253815185120623,-0.049211264235169555,-0.042904706250965825,-0.025259215650678072,-0.0308769313451211,-0.1440801868636503
LP60037772,-3.14421848966767e-05,-0.000169135537591534,-0.00020176478787264457,-0.00016142087606079615,-9.441071307925661e-05,-0.00019613564494808913,-0.0002680756380645665,-0.0003881415918998328
LP60037784,-0.024731697192376563,-0.01649368219616848,-0.0188380573014443,-0.049624477707925684,-0.03111636846949637,-0.018444010784990892,-0.023596166636921517,-0.2078346741311286
LP60037845,-0.05382869865408106,-0.03789919265414498,-0.043358518876797196,-0.11565968156323131,-0.07605699733633535,-0.04233394312015506,-0.054505913027963315,-0.3463224389441505
LP60038312,-0.042384453781512565,-0.026140979237734372,-0.030196087436854292,-0.07525173126350919,-0.05648312206139824,-0.02922884470178394,-0.03863459974465431,-0.29088884736692233
LP60000534,-0.04804467155498777,-0.0323852981682511,-0.03668596549669734,-0.08034390464032216,-0.060587518754342776,-0.03617828666763679,-0.04530473259308127,-0.29767545383275246
LP60038319,-0.05196421625826531,-0.036210684462568504,-0.04099396302840335,-0.09183371300476172,-0.06534612631433183,-0.04044867241173662,-0.0505716553902943,-0.21839752286242997
LP60038356,-0.04818153559216663,-0.03466362957980985,-0.039320628406979766,-0.08542441367212915,-0.06311390699530287,-0.0387289168894824,-0.048672205642156886,-0.21342610556540212
LP60038318,-0.04528012279355333,-0.03426468093345944,-0.0387569809282391,-0.09672222807653165,-0.06755549144731503,-0.038281089390108755,-0.04773722607037777,-0.2828429786804738
LP60038328,-0.04086738949124272,-0.02636973017507638,-0.03003566579660647,-0.06904760788024694,-0.05296124055639625,-0.02948143040210267,-0.03744105824527761,-0.1788003954274264
LP60038329,-0.05500336988636874,-0.03864034388855498,-0.04361197741335587,-0.09378460653484082,-0.07005500657825464,-0.04316691608043401,-0.05351984625970472,-0.23851362241035953
LP60038320,-0.04378762999452659,-0.02869575547977318,-0.03247141610763506,-0.07443761336714333,-0.0559946346695868,-0.03205511787179824,-0.04002566441287081,-0.24475666845467803
LP60038243,-0.04406779661016952,-0.029359611606004445,-0.03317228167644156,-0.07590206317329624,-0.05742582415701427,-0.032828458053878413,-0.04077136322608893,-0.16135001131378382
LP60038805,-0.0045329492427424465,-0.002885728293011365,-0.003334985735023273,-0.007839073571848319,-0.008773114434360045,-0.0032346593165792714,-0.0042641040660441245,-0.024643447536923397
LP60038152,-0.04475043029259899,-0.030521077384076882,-0.03474898506335835,-0.085781806079964,-0.06163935595680379,-0.03411154588472095,-0.043288651821571454,-0.2705155841399279
LP60038331,-0.019277108433734817,-0.008825445983437251,-0.009965842575018454,-0.014491327564731588,-0.03413568785011764,-0.009856552277181897,-0.012241115131852507,-0.03524279413252162
LP68156877,-0.01696357653466459,-0.009167546701347618,-0.011702089761693684,-0.010658447336407448,-0.025807469010684432,-0.010257180788982094,-0.01909444220993808,-127.01719724061999
LP60086648,-0.03690883517711265,-0.022172611743520237,-0.025435532889404335,-0.06280271871398962,-0.046322755402036675,-0.02480397820288689,-0.032111059917415946,-0.16743087327090905
LP60087467,-0.03183520599250928,-0.01944459405041603,-0.022250161443103503,-0.05188974748351729,-0.037012437258336674,-0.02172717998732087,-0.027976494954983434,-0.13353311398567586
LP60087472,-0.0030748956731825143,-0.002318879164989996,-0.002551214826940477,-0.004285152495633042,-0.003591607531950093,-0.002599746677134783,-0.0030106965834327225,-0.009113771838778411
LP60086596,-0.021238938053097362,-0.01280621875092238,-0.014948572265362031,-0.04672592024068758,-0.02788385636312495,-0.014315935586605752,-0.019531244250900453,-0.19038891620098336
LP60088256,-0.027348394768133225,-0.016616524698978615,-0.019299946416957644,-0.05154064532911607,-0.03534487233756645,-0.018572935650543087,-0.02496737686857769,-0.1680657931467475
LP60087466,-0.04325636717554225,-0.025563610976019148,-0.02937941623561488,-0.071157672779853,-0.05059056940468141,-0.028571602373776327,-0.03723616826072763,-0.20534761547415403
LP60037871,-0.04044031080762894,-0.020964719443023756,-0.02655467532885438,-0.012063324590528725,-0.05481814488699312,-0.02342402170679614,-0.04251935785393519,-3.670250092675069
LP60037924,-5.257624936279376e-05,-0.00020315413854296493,-0.0002415868678124076,-0.006814799273253348,-5.853940217104967e-05,-0.0002349393025830803,-0.00031970234463341886,-0.806410115274626
LP60037925,-0.015951015191917838,-0.008117929918722802,-0.009256509412259924,-0.011822963680440446,-0.037307716481090214,-0.009066989330032214,-0.011566259104068652,-0.031096513513292685
LP60037926,-0.014251767139819564,-0.3235500186701228,-0.33745314888444433,-0.02610437928040538,-0.03560017000216288,-0.36146962052184306,-0.3776409754261667,-2.733326391904476
LP60037980,-0.031496794574003534,-0.020603256742385164,-0.023264337900008966,-0.05106472134597789,-0.03859622179162421,-0.023031116420685272,-0.02856580409952535,-0.12317078054544406
LP60038002,-0.02063358003684149,-0.015374499177143227,-0.017185705101018335,-0.03760749382345034,-0.029684267419849763,-0.017189858381232378,-0.0207551269194814,-0.08620841290030133
LP60038016,-0.027279644562612594,-0.018599133918281118,-0.020978802782658075,-0.04297460286316549,-0.0350485744856198,-0.020790745758263986,-0.025712742713681076,-0.114325608677495
LP60038048,-0.04553846153846155,-0.031215206498666832,-0.03557921896665557,-0.08086554217121161,-0.05789670844175527,-0.03487533523789565,-0.04441913259962372,-0.2103300690698337
LP60038061,-0.01381387770100701,-0.008862655793903895,-0.010136381819873941,-0.40967668993906975,-0.019193667231934025,-0.009919535642970405,-0.012723162810465162,-1145.2324323229898
LP60038066,-0.05779190831656575,-0.030718943373067853,-0.03681031164131011,-0.012106891956562452,-0.07769672797978737,-0.03433765995631284,-0.05091522895920764,-322.1158228540671
LP60038068,-0.0006071078316910076,-0.004903318808858025,-0.005376721736541037,-0.11067177612351223,-0.009448972489983108,-0.005484120189413747,-0.00631456365658344,-36.54300180771417
LP60038098,-0.05293482175008998,-0.036905843793466925,-0.041658150904799414,-0.088323529282603,-0.06589512087564842,-0.041233089129269325,-0.051128799795899446,-0.23960955824871075
LP60038101,-0.029258636377349424,-0.022405218906989675,-0.024984116800172262,-0.04374556976363469,-0.04086659887066592,-0.025055533002633044,-0.030058931875031066,-0.11552450845240536
LP60038147,-0.06393175659556131,-0.0363239720516658,-0.044968283781981574,-0.008639796592881402,-0.09073710491953144,-0.040599212624614536,-0.067436053558951,-6.445402519004065
LP60038160,-0.019400953029271625,-0.014227890967639167,-0.01577471338555721,-0.029892176466344244,-0.02654923794115562,-0.01591044120575499,-0.01881509911313766,-0.07369133949069358
