date;gdp;credit;lncreditgrowth;lnratiocredittogdp
1993T2;286304;2242778;0;2.058416372
1993T3;287693;2243801;0.000456027;2.054032642
1993T4;289085;2227484;-0.007298605;2.041907214
1994T1;291106;2203636;-0.010763974;2.02417654
1994T2;295303;2213265;0.004360077;2.014222132
1994T3;297656;2208090;-0.002340912;2.00394471
1994T4;301390;2215957;0.003556476;1.995034536
1995T1;303344;2204065;-0.005380982;1.983191187
1995T2;306019;2223786;0.008907766;1.983319236
1995T3;307327;2223981;8.77E-05;1.979141785
1995T4;308701;2228636;0.002090906;1.976771847
1996T1;312575;2221973;-0.002994199;1.961306379
1996T2;314016;2224205;0.001004008;1.957710887
1996T3;316141;2220389;-0.001717143;1.949249368
1996T4;316636;2214470;-0.002669309;1.945015527
1997T1;318883;2204744;-0.004401695;1.933542417
1997T2;323271;2221674;0.007649563;1.927525264
1997T3;326640;2222408;0.000330327;1.917487925
1997T4;330875;2243110;0.009272003;1.913877914
1998T1;334268;2269752;0.011807279;1.915482787
1998T2;339278;2287371;0.007732549;1.908338572
1998T3;341651;2305882;0.008060127;1.90942878
1998T4;343961;2349369;0.018683532;1.921373782
1999T1;345972;2371962;0.009570679;1.925114893
1999T2;349168;2389025;0.007167872;1.92308743
1999T3;353621;2448863;0.024738502;1.935153396
1999T4;358167;2495231;0.018757475;1.941137231
2000T1;364728;2551393;0.022258174;1.945242893
2000T2;369311;2611256;0.023191847;1.955947503
2000T3;373798;2660403;0.018646283;1.96251735
2000T4;378617;2715612;0.020539727;1.970247481
2001T1;382804;2764975;0.018014251;1.977263763
2001T2;385139;2811463;0.016673395;1.987855959
2001T3;388201;2839463;0.009909961;1.989846982
2001T4;389586;2859333;0.006973431;1.993259023
2002T1;394000;2861979;0.000924963;1.982917713
2002T2;397836;2902204;0.013957105;1.987185867
2002T3;400957;2927097;0.008540699;1.987912236
2002T4;402658;2939826;0.004339249;1.988018108
2003T1;404311;2950128;0.003498163;1.987419454
2003T2;406292;2971049;0.00706653;1.989598255
2003T3;411241;2984201;0.00441695;1.981907901
2003T4;416499;3002861;0.006233462;1.975436719
2004T1;420846;3029797;0.00893012;1.973983929
2004T2;424957;3099831;0.022851973;1.987114886
2004T3;428508;3168514;0.021915114;2.00070858
2004T4;433870;3218044;0.015511013;2.00378405
2005T1;436399;3257996;0.012338561;2.010310599
2005T2;439669;3345453;0.026489828;2.029335218
2005T3;443561;3418467;0.021590095;2.042112149
2005T4;450267;3510036;0.026434089;2.053540833
2006T1;454918;3620077;0.030869002;2.074133392
2006T2;461858;3733736;0.030914045;2.089907135
2006T3;465433;3806575;0.019320494;2.101516959
2006T4;472538;3897425;0.023586244;2.109953191
2007T1;478419;3978351;0.020551333;2.118135773
2007T2;484027;4093411;0.028511196;2.134993197
2007T3;489586;4222955;0.031156512;2.154730263
2007T4;494134;4350224;0.029692218;2.175175882
2008T1;500363;4468806;0.026893921;2.189542703
2008T2;500128;4577219;0.02397035;2.213982822
2008T3;499977;4678460;0.021877387;2.236162178
2008T4;493812;4770653;0.019514197;2.268083594
2009T1;485309;4785741;0.003157679;2.288610349
2009T2;483001;4772486;-0.002773529;2.290603898
2009T3;483076;4772573;1.82E-05;2.29046686
2009T4;487915;4798887;0.005498444;2.285998085
2010T1;492022;4836955;0.007901374;2.285517239
2010T2;497131;4884248;0.009729942;2.284917039
2010T3;502285;4927665;0.008849912;2.283452836
2010T4;505666;4990709;0.012712739;2.289456891
2011T1;512107;5060619;0.013910824;2.290710499
2011T2;512838;5159764;0.019402034;2.308686115
2011T3;515274;5224205;0.012411791;2.316359114
2011T4;517895;5266020;0.007972226;2.319257619
2012T1;519604;5287135;0.004001652;2.319964807
2012T2;519848;5300813;0.002583694;2.322079023
2012T3;523171;5309692;0.001673625;2.317380738
2012T4;523755;5335776;0.004900499;2.32116559
2013T1;525955;5354333;0.003471811;2.320445761
2013T2;530493;5376744;0.004176847;2.316031503
2013T3;530470;5387758;0.002046356;2.318121216
2013T4;530966;5418764;0.005738402;2.322925035
2014T1;531753;5445336;0.004891717;2.326335646
2014T2;531470;5475941;0.005604671;2.33247266
2014T3;533988;5506054;0.005484081;2.333230126
2014T4;536403;5544714;0.006996827;2.335714576
2015T1;542414;5595338;0.00908871;2.333659483
2015T2;543491;5651181;0.009930799;2.341606682
