Date,VEURX prices,MRK.F prices,ENI.MI prices,DG.PA prices,ABI.BR prices,CDI.PA prices,ALO.PA prices,CS.PA prices,ENEL.MI prices,SIE.DE prices,GE prices,UG.PA prices
2006-10-02,33.349998,83.18,23.46,88.0,43.2,81.7,141.9,28.345,6.20685,66.02,35.5,31.781999999999996
2006-10-03,33.34,83.15,23.13,87.2,43.11,80.95,141.5,28.5307,6.18533,65.5839,35.709998999999996,31.5583
2006-10-04,33.619999,83.11,23.1,87.7,43.18,80.75,141.2,28.7945,6.20685,65.3998,36.099998,31.4716
2006-10-05,33.689999,82.38,23.35,87.7,43.28,82.0,141.9,29.1658,6.20685,65.6518,36.290001000000004,31.5438
2006-10-06,33.459998999999996,81.92,23.43,87.4,43.26,82.2,142.2,29.2928,6.20254,65.73899999999999,36.139998999999996,31.1612
2006-10-09,33.490002000000004,81.69,23.61,87.9,43.04,82.25,141.5,29.3514,6.19824,65.1285,36.16,30.9808
2006-10-10,33.580002,80.97,23.55,87.7,43.4,82.5,141.3,30.0842,6.15089,65.08,36.299999,30.8509
2006-10-11,33.599998,81.3,23.62,87.8,43.6,83.4,139.0,29.8986,6.1595,64.8378,36.169998,31.0024
2006-10-12,33.93,82.23,23.77,88.75,44.6,84.05,139.3,30.2015,6.17241,65.7099,36.220001,30.6776
2006-10-13,33.889998999999996,80.54,23.81,89.2,44.0,84.1,144.7,30.4164,6.1595,65.2351,35.98,30.4972
2006-10-16,34.009997999999996,78.72,23.93,89.25,44.41,84.2,145.9,30.3187,6.17241,65.5936,35.560001,30.526
2006-10-17,33.790001000000004,79.59,24.07,87.9,43.91,82.25,143.2,29.5273,6.18533,65.5064,35.560001,30.1074
2006-10-18,33.889998999999996,79.27,24.09,88.15,44.39,83.35,146.3,29.8595,6.19824,66.5239,35.560001,30.4755
2006-10-19,34.16,79.52,24.21,88.35,44.02,83.6,143.3,29.7325,6.18963,67.2022,35.279999,30.7931
2006-10-20,34.290001000000004,80.97,24.3,89.0,44.28,83.35,144.0,29.8106,6.22837,69.0337,35.470001,30.9158
2006-10-23,34.27,81.1,23.69,89.3,44.17,84.2,145.4,30.0744,6.2542,69.3147,35.529999,30.9447
2006-10-24,34.27,81.22,23.67,89.6,43.67,83.85,145.8,29.7423,6.31876,68.6751,35.419998,30.8725
