,GLE.PA prices,BNP.PA prices,ACA.PA prices,CC.PA prices,KN.PA prices,VEURX prices
2006-08-01,103.54900400000001,72.940598,28.133101,188.800003,,31.709999
2006-08-02,106.586998,76.001999,28.7057,189.399994,,32.189999
2006-08-03,106.228996,75.467499,28.4603,188.5,,31.969998999999998
2006-08-04,108.195,77.75140400000001,29.0875,188.300003,,32.369999
2006-08-07,106.228996,76.099197,28.4967,186.0,,32.080002
2006-08-08,106.944,77.07109799999999,28.923901,182.600006,,31.9
2006-08-09,109.266998,78.091599,29.0966,189.0,,32.139998999999996
2006-08-10,109.177002,77.75140400000001,28.7966,187.899994,,31.9
2006-08-11,108.999001,78.5289,28.660299,188.399994,,31.860001
2006-08-14,110.875,79.500801,29.1784,187.899994,,31.950001
2006-08-15,112.214996,80.910103,29.9692,187.899994,,32.560001
2006-08-16,113.734001,81.347397,30.060101,188.0,,32.869999
2006-08-17,113.376999,81.493202,29.9783,187.899994,,32.860001000000004
2006-08-18,113.466003,80.86150400000001,29.8965,187.899994,,32.77
2006-08-21,112.750999,79.403603,29.8601,187.800003,,32.91
2006-08-22,112.125999,80.084,29.6693,190.300003,,32.700001
2006-08-23,110.695999,78.723297,29.142,190.5,,32.529999
2006-08-24,111.589996,79.841003,29.478399,194.699997,,32.669998
2006-08-25,111.946999,80.181198,29.487499,195.5,,32.540001000000004
2006-08-28,113.287003,80.472702,29.7693,194.399994,,32.790001000000004
2006-08-29,114.001999,81.153099,29.487499,194.0,,32.860001000000004
2006-08-30,113.287003,81.298798,29.5238,196.0,,33.130001
2006-08-31,112.572998,80.6185,28.8239,195.100006,,32.98
2006-09-01,112.304001,80.910103,28.660299,195.5,,33.18
2006-09-04,114.181,81.979202,28.7966,195.5,,
2006-09-05,113.018997,81.396004,29.033001000000002,194.0,,33.209998999999996
2006-09-06,110.60700200000001,80.375504,29.132998999999998,194.0,,32.669998
2006-09-07,109.445999,79.646599,28.6057,193.5,,32.32
2006-09-08,108.908997,80.132599,28.7694,201.0,,32.310001
2006-09-11,108.640999,79.695198,28.733,211.0,,32.23
2006-09-12,110.25,80.278397,29.387501,211.5,,32.68
2006-09-13,110.78600300000001,80.375504,29.5602,211.5,,32.709998999999996
2006-09-14,111.23200200000001,80.375504,29.6602,210.5,,32.82
2006-09-15,113.376999,80.764297,30.4419,211.0,,32.639998999999996
2006-09-18,113.018997,80.910103,30.3146,208.5,,32.77
2006-09-19,111.321999,79.792397,30.250999,210.0,,32.639998999999996
2006-09-20,114.001999,81.590401,31.1145,211.0,,32.939999
2006-09-21,115.252998,81.979202,31.2145,210.0,,33.0
2006-09-22,113.555,80.472702,30.9055,209.0,,33.02
2006-09-25,113.555,80.667099,30.741899,209.899994,,32.990002000000004
2006-09-26,114.091003,81.930603,31.2691,209.80000299999998,,33.18
