,KS p-value normal,KS p-value student,KS p-value stable,t-Student nu,levy alpha,levy beta,levy mu,levy sigma,levy neglog
BNPP.PA,1.6101238277647906e-15,2.6702947781266543e-16,0.14772298873294668,8.596972656250015,1.5811358937196605,0.02560229209368263,-0.014776599560107335,0.4999958292175768,6980.140542656164
CNAT.PA,5.0801192974483775e-34,1.9274630875980669e-38,7.517906151578911e-09,7.424121093750015,1.3885608746116767,0.06815451155543693,-0.03014946998171942,0.39682870170877677,6400.011534901274
CNPP.PA,7.27699946599849e-13,1.3661714374947403e-15,0.0009127945238464385,10.05253906250002,1.5766481137368353,0.036874409774572486,-0.014941135606929343,0.5345800004397662,7028.006701272074
COFA.PA,6.103533877477154e-06,2.778222958277665e-09,0.0008067706843564509,9.612402343750018,1.573878853447021,0.11425651611169091,-0.00747849613690651,0.44870140427321653,1274.4963189734253
CAGR.PA,9.511193641697938e-13,1.5899906213030552e-20,0.17952815196825425,8.531933593750017,1.5468695770056777,0.02726462631236649,-0.014661601121847341,0.4915201313019933,5651.372550927668
LP60054881,7.015659591262488e-78,1.85356981823466e-85,8.496265899547265e-134,6.979980468750011,0.5,0.06485260442483497,-0.0007694955116648457,0.003991313363593866,1988.8527826461277
LP60055261,3.696e-321,2.0906e-319,2.343383e-318,4.549121093750008,0.5,0.011336776352328742,-0.028145201212723635,1e-06,-40833.53237848901
LP60056606,1.914e-320,0.0,0.0,4.790820312500007,0.5,0.06725631746060154,-0.01900936668520923,1e-06,-40676.68196274653
LP60056288,7.355332199560439e-19,7.407055314825004e-18,2.8817938945176464e-07,8.340722656250017,1.536263174699426,-0.08091812305587937,0.020465510623640895,0.48403257242263575,5783.190228977011
LP60038588,8.033082629474632e-23,4.578679225957022e-21,1.9508603624787778e-10,8.432617187500018,1.4558203090479653,-0.06363098883572085,0.028229608777790533,0.46952655345423255,7014.790648929411
LP68156889,1.3160709753433283e-57,5.829472214626991e-64,1.2935484223215653e-207,7.071289062500013,0.5,-0.03959580726533748,-0.04393416316398242,1e-06,656.4141485007931
LP60037874,8.545538669250166e-13,3.308381011160239e-11,6.0587289053424174e-09,7.9156250000000155,1.4365537984344252,-0.05801708579102137,0.03681475805875118,0.4554867936999125,2651.8381155533243
LP60038754,4.33363773324899e-26,4.044080505637719e-24,1.0123047251371952e-12,7.903710937500016,1.4203645228463475,-0.07418468263403949,0.03362539340112043,0.4447828830287127,6865.983696692525
LP60038806,1.57187758980846e-08,2.974857548870826e-11,2.7726229557232014e-09,10.844824218750023,1.69692017992109,-0.11586542474146763,0.031045405711895912,0.5742750579190813,6976.809099445076
LP60056349,4.929098067699998e-16,5.52362606527541e-17,1.1140152539445946e-09,8.591699218750016,1.5345544742426798,-0.1047409927854227,0.03252904387089183,0.49363629896076355,5861.8793261441815
LP60037935,3.478435073318014e-199,1.1623605632905146e-207,0.0,18.24101562500004,1.0271726003752188,1.0,-0.298140993063482,0.1899828272665605,2875.741369533916
LP60056630,3.590148822318712e-14,2.925849931903892e-17,0.00011803972970830103,8.692089843750017,1.5383460833884757,-0.08927350713949118,0.03007724533450727,0.49508118029885345,5849.833066633826
LP60058017,1.1509031544270676e-13,1.8906524345459487e-13,2.5153002098755933e-11,9.91923828125002,1.6743606021499193,-0.12524517532656493,0.032987977102029685,0.5496832051726582,5933.7966554921395
LP60045007,1.5978949954144537e-20,5.777453187216533e-32,0.00013619796454597685,9.09970703125002,1.44367558167855,0.03486458737008582,0.0008875043705169816,0.4148322517504215,5464.57266127028
