Data Source in SDW: http://sdw.ecb.europa.eu/browse.do?node=bbn4864
,IRS.M.AT.L.L40.CI.0000.EUR.N.Z,IRS.M.BE.L.L40.CI.0000.EUR.N.Z,IRS.M.BG.L.L40.CI.0000.BGN.N.Z,IRS.M.CY.L.L40.CI.0000.EUR.N.Z,IRS.M.CZ.L.L40.CI.0000.CZK.N.Z,IRS.M.DE.L.L40.CI.0000.EUR.N.Z,IRS.M.DK.L.L40.CI.0000.DKK.N.Z,IRS.M.ES.L.L40.CI.0000.EUR.N.Z,IRS.M.FI.L.L40.CI.0000.EUR.N.Z,IRS.M.FR.L.L40.CI.0000.EUR.N.Z,IRS.M.GB.L.L40.CI.0000.GBP.N.Z,IRS.M.GR.L.L40.CI.0000.EUR.N.Z,IRS.M.HR.L.L40.CI.0000.HRK.N.Z,IRS.M.HU.L.L40.CI.0000.HUF.N.Z,IRS.M.IE.L.L40.CI.0000.EUR.N.Z,IRS.M.IT.L.L40.CI.0000.EUR.N.Z,IRS.M.LT.L.L40.CI.0000.EUR.N.Z,IRS.M.LU.L.L40.CI.0000.EUR.N.Z,IRS.M.LV.L.L40.CI.0000.EUR.N.Z,IRS.M.MT.L.L40.CI.0000.EUR.N.Z,IRS.M.NL.L.L40.CI.0000.EUR.N.Z,IRS.M.PL.L.L40.CI.0000.PLN.N.Z,IRS.M.PT.L.L40.CI.0000.EUR.N.Z,IRS.M.RO.L.L40.CI.0000.RON.N.Z,IRS.M.SE.L.L40.CI.0000.SEK.N.Z,IRS.M.SI.L.L40.CI.0000.EUR.N.Z,IRS.M.SK.L.L40.CI.0000.EUR.N.Z
,"Austria, Euro","Belgium, Euro","Bulgaria, Bulgarian lev","Cyprus, Euro","Czech Republic, Czech koruna","Germany, Euro","Denmark, Danish krone","Spain, Euro","Finland, Euro","France, Euro","United Kingdom (GB), UK pound sterling","Greece (GR), Euro","Croatia, Croatian kuna","Hungary, Hungarian forint","Ireland, Euro","Italy, Euro","Lithuania, Euro","Luxembourg, Euro","Latvia, Euro","Malta, Euro","Netherlands, Euro","Poland, Polish zloty","Portugal, Euro","Romania, Romanian leu","Sweden, Swedish krona","Slovenia, Euro","Slovakia, Euro"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ]
2016Nov,0.49,0.57,1.82,3.47,0.55,0.19,0.32,1.43,0.41,0.67,1.22,7.33,3.01,3.36,0.85,1.94,0.31,0.28,0.56,0.84,0.39,3.41,3.51,3.56,0.43,0.89,0.72
2016Oct,0.24,0.27,1.84,3.39,0.37,0.00,0.13,1.07,0.17,0.33,0.94,8.33,3.07,2.93,0.50,1.45,0.31,0.07,0.19,0.59,0.16,3.01,3.33,2.94,0.24,0.62,0.42
2016Sep,0.15,0.18,2.15,3.62,0.25,-0.09,0.01,1.04,0.08,0.18,0.67,8.34,3.34,2.88,0.42,1.27,0.79,-0.03,0.10,0.60,0.06,2.85,3.26,2.92,0.22,0.75,0.32
2016Aug,0.11,0.15,2.28,3.84,0.29,-0.13,0.04,1.01,0.06,0.15,0.59,8.19,3.58,2.83,0.40,1.18,0.86,-0.05,0.12,0.61,0.03,2.71,2.91,2.93,0.10,0.80,0.30
2016Jul,0.16,0.20,2.39,3.87,0.37,-0.15,0.07,1.17,0.12,0.17,0.79,7.99,3.75,2.88,0.47,1.23,0.86,-0.00,0.30,0.76,0.06,2.89,3.06,3.14,0.17,0.95,0.49
2016Jun,0.33,0.43,2.40,3.82,0.45,-0.02,0.23,1.48,0.33,0.39,1.18,7.92,3.81,3.31,0.76,1.45,0.86,0.17,0.48,0.95,0.25,3.11,3.20,3.48,0.52,1.36,0.77
2016May,0.37,0.55,2.37,3.89,0.46,0.13,0.41,1.57,0.45,0.51,1.43,7.64,3.52,3.35,0.84,1.53,0.86,0.33,0.51,1.02,0.38,3.04,3.15,3.43,0.77,1.41,0.41
2016Apr,0.38,0.55,2.44,3.99,0.43,0.13,0.40,1.53,0.46,0.51,1.48,9.03,3.62,3.02,0.86,1.44,1.31,0.34,0.61,1.00,0.40,2.95,3.13,3.49,0.81,1.37,0.38
2016Mar,0.46,0.62,2.66,4.01,0.35,0.17,0.51,1.54,0.53,0.51,1.46,9.12,3.66,3.13,0.85,1.38,1.42,0.42,0.71,1.03,0.32,2.89,2.84,3.34,0.82,1.48,0.43
2016Feb,0.53,0.72,2.67,4.00,0.46,0.17,0.55,1.72,0.53,0.59,1.44,10.41,3.68,3.36,0.99,1.56,1.42,0.43,0.88,1.16,0.37,3.03,3.23,3.33,0.77,1.59,0.56
2016Jan,0.77,0.86,2.44,3.82,0.62,0.43,0.79,1.72,0.78,0.84,1.73,9.08,3.84,3.36,1.05,1.53,1.47,0.72,1.05,1.25,0.65,3.00,2.71,3.60,1.02,1.61,0.71
2015Dec,0.86,0.89,2.43,3.87,0.49,0.55,0.83,1.69,0.86,0.93,1.87,8.21,3.92,3.47,1.11,1.58,1.49,0.27,1.08,1.29,0.75,2.96,2.49,3.62,0.93,1.61,0.72
2015Nov,0.82,0.84,2.99,4.00,0.49,0.52,0.81,1.72,0.81,0.88,1.94,7.41,3.86,3.34,1.10,1.57,1.57,0.25,1.19,1.29,0.72,2.73,2.57,3.49,0.80,1.66,0.71
2015Oct,0.83,0.85,2.36,3.64,0.56,0.52,0.83,1.73,0.81,0.87,1.81,7.81,3.93,3.28,1.14,1.70,1.64,0.31,1.07,1.37,0.73,2.66,2.41,3.47,0.66,1.80,0.75
2015Sep,0.97,1.01,2.36,3.70,0.68,0.65,0.93,2.03,0.90,1.00,1.85,8.54,3.91,3.50,1.31,1.92,1.64,0.43,1.03,1.61,0.87,2.91,2.59,3.73,0.71,2.05,0.89
2015Aug,0.96,1.00,2.36,3.69,0.74,0.61,0.84,1.96,0.82,1.01,1.86,10.26,3.90,3.61,1.29,1.84,1.64,0.45,0.96,1.57,0.85,2.88,2.52,3.86,0.66,2.07,0.99
2015Jul,1.08,1.15,2.36,3.69,0.97,0.71,0.94,2.10,0.95,1.11,2.03,-,4.23,3.72,1.47,2.04,1.64,0.56,1.25,1.78,0.99,3.16,2.74,3.99,0.81,2.43,1.25
2015Jun,1.06,1.21,2.36,3.89,1.01,0.79,1.00,2.22,1.01,1.20,2.06,11.43,3.07,3.86,1.65,2.20,1.41,0.65,1.28,1.79,1.05,3.19,2.93,3.84,0.99,2.13,1.15
2015May,0.73,0.86,2.36,3.96,0.60,0.56,0.73,1.78,0.72,0.89,1.94,10.95,2.98,3.59,1.25,1.81,0.99,0.42,0.84,1.50,0.75,2.82,2.41,3.45,0.75,1.59,0.92
2015Apr,0.29,0.42,2.36,6.00,0.26,0.12,0.25,1.31,0.27,0.44,1.65,12.00,3.17,3.28,0.73,1.36,0.58,0.06,0.42,1.15,0.31,2.37,1.87,3.25,0.34,1.06,0.96
2015Mar,0.37,0.49,2.49,6.00,0.35,0.23,0.30,1.23,0.39,0.51,1.71,10.52,3.08,3.29,0.80,1.29,1.11,0.16,0.56,1.31,0.33,2.33,1.74,3.01,0.58,0.99,0.52
2015Feb,0.44,0.63,2.52,6.00,0.40,0.30,0.20,1.52,0.48,0.60,1.59,9.72,3.24,3.07,1.12,1.56,1.20,0.40,0.78,1.50,0.42,2.20,2.32,2.83,0.62,1.32,0.66
2015Jan,0.54,0.73,2.95,6.00,0.35,0.39,0.63,1.54,0.62,0.67,1.21,9.48,3.32,3.18,1.22,1.70,1.66,0.47,1.10,1.69,0.52,2.21,2.49,3.14,0.78,1.75,1.10
2014Dec,0.81,0.91,2.96,6.00,0.67,0.59,0.93,1.78,0.89,0.92,1.52,8.42,3.52,3.62,1.31,1.99,1.90,0.65,1.63,1.94,0.78,2.55,2.81,3.68,1.01,2.11,1.23
2014Nov,0.98,1.07,3.44,6.00,0.87,0.72,1.03,2.07,0.90,1.14,1.72,8.10,3.52,3.70,1.58,2.29,2.17,0.75,1.77,2.11,0.93,2.54,3.13,3.66,1.14,2.54,1.38
2014Oct,1.10,1.18,3.31,6.00,1.10,0.79,1.13,2.12,1.01,1.26,1.82,7.26,3.54,4.21,1.74,2.42,2.27,0.87,2.18,2.18,1.03,2.72,3.21,3.90,1.30,2.63,1.39
2014Sep,1.22,1.30,3.26,6.00,1.21,0.92,0.96,2.20,1.13,1.35,2.08,5.89,3.57,4.59,1.75,2.40,2.42,0.98,2.28,2.32,1.15,3.10,3.18,4.09,1.51,2.66,1.57
2014Aug,1.28,1.40,3.41,6.00,1.38,0.95,1.07,2.41,1.18,1.41,2.12,6.09,3.68,4.73,2.02,2.63,2.61,1.08,2.35,2.49,1.20,3.36,3.47,4.21,1.53,3.09,1.81
2014Jul,1.47,1.61,3.38,6.00,1.49,1.11,1.24,2.68,1.36,1.56,2.31,6.10,3.72,4.33,2.28,2.79,2.90,1.26,2.40,2.66,1.41,3.34,3.69,4.16,1.60,3.16,2.07
2014Jun,1.65,1.83,3.11,6.00,1.55,1.26,1.38,2.72,1.57,1.71,2.35,5.93,3.94,4.50,2.44,2.92,2.92,1.44,2.53,2.90,1.60,3.54,3.50,4.48,1.80,3.13,2.73
