"DATES" "FL664090005.Q" "FL663020003.Q" "FL662051003.Q" "FL664022005.Q" "FL663069103.Q" "FL663061105.Q" "FL663061703.Q" "FL663062003.Q" "FL663063005.Q" "FL663069005.Q" "LM663064103.Q" "FL663092003.Q" "FL663090005.Q" "FL664190005.Q" "FL662151003.Q" "FL663163003.Q" "FL664123005.Q" "FL663168005.Q" "FL153067005.Q" "FL663170003.Q" "FL663178003.Q" "FL663192003.Q" "FL663190005.Q" "FL663194005.Q" "FL663193005.Q"
"194504" 5022.00 501.00 0.00 2715.00 0.00 1881.00 0.00 340.00 494.00 1252.00 554.00 31.00 -31.00 5186.00 0.00 0.00 3976.00 3282.00 694.00 10.00 10.00 171.00 1019.00 0.00 1019.00
"194601" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194602" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194603" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194604" 3422.00 730.00 0.00 1648.00 0.00 917.00 0.00 340.00 391.00 594.00 450.00 35.00 -35.00 3589.00 0.00 0.00 2366.00 1633.00 733.00 25.00 13.00 174.00 1011.00 0.00 1011.00
"194701" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194702" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194703" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194704" 2630.00 629.00 0.00 905.00 0.00 262.00 0.00 243.00 400.00 636.00 460.00 41.00 -41.00 2801.00 0.00 0.00 1582.00 922.00 660.00 40.00 6.00 177.00 996.00 0.00 996.00
"194801" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194802" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194803" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194804" 3115.00 558.00 0.00 1489.00 0.00 820.00 0.00 267.00 402.00 605.00 463.00 49.00 -49.00 3284.00 0.00 0.00 2068.00 1414.00 654.00 50.00 5.00 175.00 986.00 0.00 986.00
"194901" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194902" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194903" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"194904" 3650.00 490.00 0.00 1542.00 0.00 703.00 0.00 252.00 587.00 969.00 649.00 57.00 -57.00 3811.00 0.00 0.00 2588.00 1886.00 702.00 65.00 8.00 179.00 971.00 0.00 971.00
"195001" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"195002" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"195003" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"195004" 4039.00 635.00 0.00 1403.00 0.00 586.00 0.00 370.00 447.00 1492.00 509.00 67.00 -67.00 4179.00 0.00 0.00 2960.00 1989.00 971.00 80.00 12.00 171.00 956.00 0.00 956.00
"195101" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"195102" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"195103" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA" " NA"
"195104" 3760.00 605.00 0.00 1184.00 0.00 313.00 0.00 384.00 487.00 1421.00 550.00 79.00 -79.00 3896.00 0.00 0.00 2681.00 1788.00 893.00 90.00 10.00 169.00 946.00 0.00 946.00
"195201" 3340.00 597.00 0.00 874.00 0.00 191.00 0.00 300.00 383.00 1422.00 447.00 79.00 -79.00 3477.00 0.00 0.00 2256.00 1508.00 748.00 100.00 14.00 171.00 936.00 0.00 936.00
"195202" 4180.00 586.00 0.00 1699.00 0.00 1121.00 0.00 200.00 378.00 1454.00 441.00 82.00 -82.00 4317.00 0.00 0.00 3092.00 2397.00 695.00 100.00 16.00 173.00 936.00 0.00 936.00
"195203" 3518.00 571.00 0.00 834.00 0.00 180.00 0.00 70.00 584.00 1465.00 648.00 86.00 -86.00 3656.00 0.00 0.00 2428.00 1751.00 677.00 140.00 17.00 175.00 896.00 0.00 896.00
"195204" 4149.00 549.00 0.00 1486.00 0.00 709.00 0.00 228.00 549.00 1502.00 612.00 93.00 -93.00 4290.00 0.00 0.00 3056.00 2342.00 714.00 150.00 20.00 178.00 886.00 0.00 886.00
"195301" 3729.00 530.00 0.00 914.00 0.00 208.00 0.00 150.00 556.00 1665.00 620.00 97.00 -97.00 3871.00 0.00 0.00 2640.00 1903.00 737.00 160.00 14.00 181.00 876.00 0.00 876.00
"195302" 3825.00 510.00 0.00 821.00 0.00 145.00 0.00 100.00 576.00 1854.00 640.00 101.00 -101.00 3969.00 0.00 0.00 2737.00 2098.00 639.00 170.00 10.00 186.00 866.00 0.00 866.00
"195303" 4100.00 492.00 0.00 1140.00 0.00 426.00 0.00 100.00 614.00 1789.00 679.00 105.00 -105.00 4244.00 0.00 0.00 3007.00 2344.00 663.00 180.00 11.00 190.00 856.00 0.00 856.00
"195304" 4551.00 475.00 0.00 1608.00 0.00 640.00 0.00 430.00 538.00 1866.00 602.00 110.00 -110.00 4682.00 0.00 0.00 3445.00 2737.00 708.00 180.00 21.00 180.00 856.00 0.00 856.00
"195401" 4122.00 476.00 0.00 1219.00 0.00 443.00 0.00 300.00 476.00 1888.00 539.00 115.00 -115.00 4252.00 0.00 0.00 3018.00 2232.00 786.00 190.00 13.00 185.00 846.00 0.00 846.00
"195402" 4907.00 492.00 0.00 1738.00 0.00 869.00 0.00 300.00 569.00 2045.00 632.00 120.00 -120.00 5031.00 0.00 0.00 3784.00 2951.00 833.00 190.00 22.00 189.00 846.00 0.00 846.00
"195403" 5152.00 521.00 0.00 1626.00 0.00 674.00 0.00 300.00 652.00 2290.00 715.00 125.00 -125.00 5267.00 0.00 0.00 4009.00 3090.00 919.00 200.00 29.00 193.00 836.00 0.00 836.00
