Name,ISIN,
 Accès industrie,FR0010567032,ALACI
 Accor,FR0000120404,AC
 Acep france,FR0010762740,MLACP
 Acheter-louer.fr,FR0010493510,ALALO
Activium group,FR0010979377,MLACT
Ada location,FR0000053076,ALADA
Adc siic,BE0974269012,ALDV
Adomos,FR0000044752,ALADO
 Aéroports de paris,FR0010340141,ADP
 Afone,FR0000044612,AFO
Agrogeneration,FR0010641449,ALAGR
 Air france-klm,FR0000031122,AF
 Air liquide,FR0000120073,AI
 Akka technologies,FR0004180537,AKA
 Alcatel-lucent,FR0000130007,ALU
 Alpha mos,FR0000062804,ALM
 Alstom,FR0010220475,ALO
 Altamir amboise,FR0000053837,LTA
Altareit,FR0000039216,AREIT
 Alten,FR0000071946,ATE
 Altran technologies,FR0000034639,ALT
Amatheon agri holding,NL0010273694,MLAAH
 Amundi,FR0004125920,AMUN
 Aperam,LU0569974404,APAM
 April,FR0004037125,APR
 Arcelormittal,LU0323134006,MT
 Areva,FR0011027143,AREVA
 Arkema,FR0010313833,AKE
 Artea,FR0012185536,ARTE
 Arthur maury,FR0010772426,MLAMY
 Artois (industrielle et ...,FR0000076952,ARTO
 Ask,FR0011980077,ASK
Assima,GB00B19RTX44,ALSIM
 Assystem,FR0000074148,ASY
Atari,FR0010478248,ATA
 Atos,FR0000051732,ATO
 Aufeminin.com,FR0004042083,FEM
 Augros cosmetic packaging,FR0000061780,AUGR
 Avenir télécom,FR0000066052,AVT
 Axa,FR0000120628,CS
 Axway software,FR0011040500,AXW
Az leasing,IT0004812258,MLAZL
 Baccarat,FR0000064123,BCRA
 Batla minerals,FR0010436170,MLBAT
 Baud (maison antoine),FR0000061657,MLMAB
 Bénéteau,FR0000035164,BEN
 Bernard loiseau,FR0000066961,ALDBL
 Bic,FR0000120966,BB
 Biomérieux,FR0010096479,BIM
 Blue,FR0011592104,BLUE
 Bnp paribas,FR0000131104,BNP
 Body one,FR0010106039,MLONE
Bolloré,FR0000039299,BOL
 Bonduelle,FR0000063935,BON
 Bongrain,FR0000120107,SAVE
 Bourbon,FR0004548873,GBB
 Bouygues,FR0000120503,EN
Brico distrib,FR0013110053,MLBRI
Bricorama,FR0000054421,ALBRI
 Bureau veritas,FR0006174348,BVI
 Burelle,FR0000061137,BUR
Business & decision,FR0000078958,BND
C&co,FR0000030611,CIEM
 Caire,FR0010781377,MLAAE
 Cambodge (compagnie du),FR0000079659,CBDG
 Capgemini,FR0000125338,CAP
Carpinienne de ...,FR0000064156,CARP
 Carrefour,FR0000120172,CA
Carrefour property ...,FR0010828137,CARD
 Casino guichard-perrachon,FR0000125585,CO
 Catana group,FR0010193052,CATG
 Catering international ...,FR0000064446,CTRG
 Cca international,FR0000078339,CCA
 Cda (compagnie des alpes),FR0000053324,CDA
Cegedim,FR0000053506,CGM
César,FR0010540997,ALCES
 Cfao,FR0000060501,CFAO
 Cgg,FR0000120164,CGG
Chemins de fer ...,FR0000037871,MLCFD
 Cheops technology,FR0010447086,MLCHE
 Christian dior,FR0000130403,CDI
 Christian potier,FR0000079477,MLCHP
Cibox inter@ctive,FR0000054322,CIB
 Cic,FR0005025004,CC
 Cnim,FR0000053399,COM
 Cnp assurances,FR0000120222,CNP
 Coface,FR0010667147,COFA
 Cofidur,FR0000054629,ALCOF
 Cogra 48,FR0011071570,ALCOG
 Coheris,FR0004031763,COH
 Coil,BE0160342011,ALCOI
 Colas,FR0000121634,RE
 Colipays,FR0010959684,MLCLP
 Collectors,FR0004185023,MLCOL
 Compagnie des eaux de ...,FR0007200100,MLEDR
 Concept et tradition,FR0011374479,MLCET
 Consort nt,FR0000077828,MLCNT
 Constellium,NL0010489522,CSTM
Corep lighting,FR0010035816,MLCOR
 Courbet,FR0004998318,MLCOU
 Courbet am.,FR0004998326,CRBT
 Crédit agricole,FR0000045072,ACA
 Crédit agricole alpes ...,FR0000044323,CRAP
 Crédit agricole ...,FR0000185506,CRAV
 Crédit agricole brie ...,FR0010483768,CRBP2
 Crédit agricole ...,FR0000045528,CAF
 Crédit agricole ...,FR0000045213,CIV
 Crédit agricole de la ...,FR0000045304,CRTO
 Crédit agricole de ...,FR0000044364,CCN
 Crédit agricole du ...,FR0010461053,CRLA
 Crédit agricole du ...,FR0000045551,CMO
 Crédit agricole loire ...,FR0000045239,CRLO
 Crédit agricole nord de ...,FR0000185514,CNF
 Crédit agricole ...,FR0000045346,CRSU
 Crédit agricole toulouse ...,FR0000045544,CAT31
Cta holding,FR0000054066,MLCTA
 Dalet,FR0011026749,DLT
 Damaris,FR0000077885,MLDAM
 Danone,FR0000120644,BN
 Darty,GB0033040113,DRTY
 Dassault aviation,FR0000121725,AM
 Dassault systèmes,FR0000130650,DSY
 Data hertz,FR0012222149,MLDHZ
 Debflex,FR0010776658,MLDEX
Demos,FR0010474130,ALDMO
 Derichebourg,FR0000053381,DBG
 Devernois,FR0000060840,DEVR
 Diageo,GB0002374006,DGE
 Dietswell,FR0010377127,ALDIE
Digigram,FR0000035784,DIG
 Digitech,FR0000079824,MLDIG
 Dnxcorp,FR0010436584,DNX
 Docks pétroles d ambès,FR0000065260,DPAM
Drone volt,FR0013088606,ALDRV
 Duc,FR0000036287,DUC
Dwc 3.0,IT0005154635,MLDWC
Dynafond,FR0000052920,MLDYN
 Dynex energy,LU0881232630,MLDYX
 Eads,NL0000235190,AIR
 Eaux de douai,FR0005142999,MLEAU
 Edenred,FR0010908533,EDEN
 Edf,FR0010242511,EDF
 Editions du signe,FR0000052755,MLEDS
Ees,FR0010945733,MLEES
 Eiffage,FR0000130452,FGR
 Electricité de ...,FR0000031023,ELEC
 Electricité et eaux de ...,FR0000035719,EEM
 Electro power,FR0012650166,EPS
 Elior group,FR0011950732,ELIOR
 Elis,FR0012435121,ELIS
 Encres dubuit,FR0004030708,DBT
 Eneovia,FR0010535849,MLENE
 Engie,FR0010208488,ENGI
 Entreprendre,FR0000045122,ALENR
 Eo2,FR0010465534,ALEO2
 Eramet,FR0000131757,ERA
 Esperite,NL0009272137,ESP
 Essilor international,FR0000121667,EI
 Esso,FR0000120669,ES
 Est républicain,FR0005310463,MLEST
 Etam développement,FR0000035743,TAM
 Euler hermes,FR0004254035,ELE
 Eurasia foncière ...,FR0000061475,EFI
Eurasia groupe,FR0010844001,ALEUA
 Eurazeo,FR0000121121,RF
Eurinnov,FR0011035187,MLERI
 Euro disney,FR0010540740,EDL
 Euro ressources,FR0000054678,EUR
Eurofins cerep,FR0012413771,ALECR
 Eurofins scientific,FR0000038259,ERF
 Euroland corporate,FR0010157115,MLERO
 Europacorp,FR0010490920,ECP
 Everset,FR0000044745,MLEVE
 Exacompta clairefontaine,FR0000064164,EXAC
 Explosifs et produits ...,FR0000039026,EXPL
