Date,FR0010567032 ISIN,FR0000120404 ISIN,FR0010762740 ISIN,FR0010493510 ISIN,FR0010979377 ISIN,FR0000053076 ISIN,BE0974269012 ISIN,FR0000044752 ISIN,FR0010340141 ISIN,FR0000044612 ISIN,FR0010641449 ISIN,FR0000031122 ISIN,FR0000120073 ISIN,FR0004180537 ISIN,FR0000130007 ISIN,FR0000062804 ISIN,FR0010220475 ISIN,FR0000053837 ISIN,FR0000039216 ISIN,FR0000071946 ISIN,FR0000034639 ISIN,NL0010273694 ISIN,FR0004125920 ISIN,LU0569974404 ISIN,FR0004037125 ISIN,LU0323134006 ISIN,FR0011027143 ISIN,FR0010313833 ISIN,FR0012185536 ISIN,FR0010772426 ISIN,FR0000076952 ISIN,FR0011980077 ISIN,GB00B19RTX44 ISIN,FR0000074148 ISIN,FR0010478248 ISIN,FR0000051732 ISIN,FR0004042083 ISIN,FR0000061780 ISIN,FR0000066052 ISIN,FR0000120628 ISIN,FR0011040500 ISIN,IT0004812258 ISIN,FR0000064123 ISIN,FR0010436170 ISIN,FR0000061657 ISIN,FR0000035164 ISIN,FR0000066961 ISIN,FR0000120966 ISIN,FR0010096479 ISIN,FR0011592104 ISIN,FR0000131104 ISIN,FR0010106039 ISIN,FR0000039299 ISIN,FR0000063935 ISIN,FR0000120107 ISIN,FR0004548873 ISIN,FR0000120503 ISIN,FR0013110053 ISIN,FR0000054421 ISIN,FR0006174348 ISIN,FR0000061137 ISIN,FR0000078958 ISIN,FR0000030611 ISIN,FR0010781377 ISIN,FR0000079659 ISIN,FR0000125338 ISIN,FR0000064156 ISIN,FR0000120172 ISIN,FR0010828137 ISIN,FR0000125585 ISIN,FR0010193052 ISIN,FR0000064446 ISIN,FR0000078339 ISIN,FR0000053324 ISIN,FR0000053506 ISIN,FR0010540997 ISIN,FR0000060501 ISIN,FR0000120164 ISIN,FR0000037871 ISIN,FR0010447086 ISIN,FR0000130403 ISIN,FR0000079477 ISIN,FR0000054322 ISIN,FR0005025004 ISIN,FR0000053399 ISIN,FR0000120222 ISIN,FR0010667147 ISIN,FR0000054629 ISIN,FR0011071570 ISIN,FR0004031763 ISIN,BE0160342011 ISIN,FR0000121634 ISIN,FR0010959684 ISIN,FR0004185023 ISIN,FR0007200100 ISIN,FR0011374479 ISIN,FR0000077828 ISIN,NL0010489522 ISIN,FR0010035816 ISIN,FR0004998318 ISIN,FR0004998326 ISIN,FR0000045072 ISIN,FR0000044323 ISIN,FR0000185506 ISIN,FR0010483768 ISIN,FR0000045528 ISIN,FR0000045213 ISIN,FR0000045304 ISIN,FR0000044364 ISIN,FR0010461053 ISIN,FR0000045551 ISIN,FR0000045239 ISIN,FR0000185514 ISIN,FR0000045346 ISIN,FR0000045544 ISIN,FR0000054066 ISIN,FR0011026749 ISIN,FR0000077885 ISIN,FR0000120644 ISIN,GB0033040113 ISIN,FR0000121725 ISIN,FR0000130650 ISIN,FR0012222149 ISIN,FR0010776658 ISIN,FR0010474130 ISIN,FR0000053381 ISIN,FR0000060840 ISIN,GB0002374006 ISIN,FR0010377127 ISIN,FR0000035784 ISIN,FR0000079824 ISIN,FR0010436584 ISIN,FR0000065260 ISIN,FR0013088606 ISIN,FR0000036287 ISIN,IT0005154635 ISIN,FR0000052920 ISIN,LU0881232630 ISIN,NL0000235190 ISIN,FR0005142999 ISIN,FR0010908533 ISIN,FR0010242511 ISIN,FR0000052755 ISIN,FR0010945733 ISIN,FR0000130452 ISIN,FR0000031023 ISIN,FR0000035719 ISIN,FR0012650166 ISIN,FR0011950732 ISIN,FR0012435121 ISIN,FR0004030708 ISIN,FR0010535849 ISIN,FR0010208488 ISIN,FR0000045122 ISIN,FR0010465534 ISIN,FR0000131757 ISIN,NL0009272137 ISIN,FR0000121667 ISIN,FR0000120669 ISIN,FR0005310463 ISIN,FR0000035743 ISIN,FR0004254035 ISIN,FR0000061475 ISIN,FR0010844001 ISIN,FR0000121121 ISIN,FR0011035187 ISIN,FR0010540740 ISIN,FR0000054678 ISIN,FR0012413771 ISIN,FR0000038259 ISIN,FR0010157115 ISIN,FR0010490920 ISIN,FR0000044745 ISIN,FR0000064164 ISIN,FR0000039026 ISIN,FR0010627760 ISIN,FR0000053142 ISIN,FR0004034593 ISIN,FR0000121147 ISIN,FR0000063034 ISIN,FR0000031973 ISIN,FR0010071530 ISIN,FR0000062101 ISIN,FR0000064784 ISIN,FR0000061418 ISIN,FR0000060535 ISIN,FR0000062341 ISIN,FR0000037947 ISIN,FR0010480517 ISIN,FR0000051302 ISIN,FR0000060824 ISIN,FR0006321998 ISIN,FR0000066797 ISIN,FR0000035123 ISIN,FR0010487272 ISIN,FR0004076891 ISIN,FR0000065930 ISIN,FR0000038499 ISIN,FR0011277391 ISIN,FR0010823724 ISIN,FR0004260479 ISIN,FR0004187367 ISIN,FR0000121857 ISIN,FR0011284991 ISIN,FR0000053415 ISIN,FR0011100759 ISIN,FR0000077232 ISIN,FR0000079600 ISIN,FR0000124414 ISIN,FR0010342329 ISIN,FR0000053035 ISIN,FR0000079634 ISIN,FR0012336675 ISIN,NL0000400653 ISIN,FR0000044471 ISIN,FR0000057945 ISIN,FR0000033888 ISIN,FR0004038099 ISIN,IT0001210050 ISIN,FR0010108688 ISIN,FR0011208693 ISIN,FR0000038036 ISIN,FR0000064180 ISIN,BE0948833760 ISIN,FR0005717626 ISIN,FR0000076960 ISIN,FR0000036675 ISIN,FR0004010338 ISIN,FR0010214064 ISIN,FR0000121709 ISIN,FR0010490961 ISIN,FR0011726835 ISIN,FR0000066722 ISIN,FR0004035061 ISIN,FR0000121881 ISIN,FR0000052292 ISIN,FR0010343186 ISIN,FR0012821890 ISIN,FR0000054231 ISIN,FR0000077562 ISIN,FR0010396309 ISIN,FR0010446765 ISIN,FR0012336691 ISIN,FR0006226791 ISIN,FR0000053738 ISIN,GB0005405286 ISIN,FR0004052561 ISIN,FR0000064735 ISIN,FR0005843125 ISIN
09/08/2016,106,200,465,1164543,144,2,300,#N/A N/A,1,#N/A N/A,23559,400,181,356,3777,#N/A N/A,110,#N/A N/A,1,30,2000,1,1,105,20,58944,1500,2,30,1100,1,1000,#N/A N/A,100,750,110,5000,#N/A N/A,1000,8840,#N/A N/A,20,#N/A N/A,385,9,279,#N/A N/A,30,2,164,862,20,900,100,20,620,390,450,#N/A N/A,350,#N/A N/A,#N/A N/A,20,4,2,96,21,1580,5,2,#N/A N/A,1159,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,3,20,185,136,#N/A N/A,#N/A N/A,73,73,200,7807,1,20,466,10,10,1,1,300,20,100,8,216,1,1000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,1,50,464,18,1,290,4,2083,20000,50,#N/A N/A,1281,#N/A N/A,#N/A N/A,#N/A N/A,1750,6,1880,1801,57,800,10,39095,5,652,335,1950,43,1,#N/A N/A,2400,200,148,100,1967,132000,1025,30,#N/A N/A,300,#N/A N/A,509,90,12,#N/A N/A,75,125,#N/A N/A,500,600,3,500,3,16,1600,46,1000,8,10,#N/A N/A,130,#N/A N/A,1400,66,70,200,#N/A N/A,7,1,1,250,475,10000,57,2080,3,630,1,239,#N/A N/A,100,#N/A N/A,50,100,50,300,100,36,1,120,49,302,#N/A N/A,55231,1,#N/A N/A,500,455,139,5050,76,#N/A N/A,1,10000,481,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,290,1,30,1140,#N/A N/A,320,32,120,666,#N/A N/A,501,#N/A N/A,6403839,7,1,687,42059,1000,1,3
08/08/2016,106,200,465,664612,144,216,300,#N/A N/A,6,#N/A N/A,104310,400,181,356,7064,#N/A N/A,202,#N/A N/A,1,30,2000,1,1,105,20,140702,1500,2,30,1100,1,1000,#N/A N/A,100,750,110,5000,#N/A N/A,1000,27325,#N/A N/A,20,#N/A N/A,385,9,279,#N/A N/A,30,2,164,1538,20,1000,100,20,620,390,450,#N/A N/A,350,#N/A N/A,#N/A N/A,20,4,2,17,21,7815,5,2,#N/A N/A,2478,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,3,20,21,136,#N/A N/A,#N/A N/A,203,73,200,9547,3401,20,989,10,10,1,1,300,20,100,8,216,1,1000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,1001,50,6465,18,1,290,4,2083,20000,50,#N/A N/A,2150,#N/A N/A,#N/A N/A,#N/A N/A,1750,6,10364,1801,57,800,10,146656,5,17,6680,1950,43,1,#N/A N/A,2400,200,60,100,2316,132000,2093,30,#N/A N/A,300,#N/A N/A,1304,90,12,#N/A N/A,75,4000,#N/A N/A,500,600,3,500,3,11,1600,110,1000,12,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,31,250,475,10000,57,2080,3,630,30,239,#N/A N/A,220,#N/A N/A,23000,100,50,300,100,36,1,120,49,302,#N/A N/A,88022,440,#N/A N/A,500,455,139,5050,76,#N/A N/A,1,10000,481,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,100,1,30,1140,#N/A N/A,320,8,120,666,#N/A N/A,3070,#N/A N/A,16429573,7,1,687,79323,1000,1,3
07/08/2016,99,200,686,18039,144,701,300,#N/A N/A,100,#N/A N/A,116101,1200,83,356,7064,#N/A N/A,281,#N/A N/A,1,500,180,1,1,54,20,255773,17,2,30,1100,1,1000,#N/A N/A,100,750,8,5000,#N/A N/A,1000,11929,#N/A N/A,20,#N/A N/A,385,9,58,#N/A N/A,120,2,164,690,1,1000,200,20,70,390,450,#N/A N/A,350,#N/A N/A,#N/A N/A,20,4,2,17,21,4225,5,120,#N/A N/A,2998,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,3,20,21,136,#N/A N/A,#N/A N/A,160,73,200,32683,20051,20,421,10,10,1,1,300,20,400,8,216,1,1000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,1,50,2482,18,1,440,4,2083,20000,50,#N/A N/A,1187,#N/A N/A,#N/A N/A,#N/A N/A,1750,6,9123,1801,57,800,10,80386,5,12,600,1950,43,1,#N/A N/A,2400,200,285,100,1587,132000,290,30,#N/A N/A,300,#N/A N/A,212,200,12,#N/A N/A,75,4000,#N/A N/A,500,600,3,500,3,80,1600,110,1000,12,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,31,210,475,10000,57,100,3,630,1,239,#N/A N/A,55,#N/A N/A,23000,100,50,300,100,36,1,120,49,302,#N/A N/A,29290,211,#N/A N/A,500,245,139,5050,55,#N/A N/A,1,25000,729,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,247,1,240,1140,#N/A N/A,320,4,120,666,#N/A N/A,2839,#N/A N/A,7164526,7,1,687,216424,1000,1,3
06/08/2016,99,200,686,18039,144,701,300,#N/A N/A,100,#N/A N/A,116101,1200,83,356,7064,#N/A N/A,281,#N/A N/A,1,500,180,1,1,54,20,255773,17,2,30,1100,1,1000,#N/A N/A,100,750,8,5000,#N/A N/A,1000,11929,#N/A N/A,20,#N/A N/A,385,9,58,#N/A N/A,120,2,164,690,1,1000,200,20,70,390,450,#N/A N/A,350,#N/A N/A,#N/A N/A,20,4,2,17,21,4225,5,120,#N/A N/A,2998,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,3,20,21,136,#N/A N/A,#N/A N/A,160,73,200,32683,20051,20,421,10,10,1,1,300,20,400,8,216,1,1000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,1,50,2482,18,1,440,4,2083,20000,50,#N/A N/A,1187,#N/A N/A,#N/A N/A,#N/A N/A,1750,6,9123,1801,57,800,10,80386,5,12,600,1950,43,1,#N/A N/A,2400,200,285,100,1587,132000,290,30,#N/A N/A,300,#N/A N/A,212,200,12,#N/A N/A,75,4000,#N/A N/A,500,600,3,500,3,80,1600,110,1000,12,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,31,210,475,10000,57,100,3,630,1,239,#N/A N/A,55,#N/A N/A,23000,100,50,300,100,36,1,120,49,302,#N/A N/A,29290,211,#N/A N/A,500,245,139,5050,55,#N/A N/A,1,25000,729,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,247,1,240,1140,#N/A N/A,320,4,120,666,#N/A N/A,2839,#N/A N/A,7164526,7,1,687,216424,1000,1,3
05/08/2016,99,200,686,18039,144,701,300,#N/A N/A,100,#N/A N/A,116101,1200,83,356,7064,#N/A N/A,281,#N/A N/A,1,500,180,1,1,54,20,255773,17,2,30,1100,1,1000,#N/A N/A,100,750,8,5000,#N/A N/A,1000,11929,#N/A N/A,20,#N/A N/A,385,9,58,#N/A N/A,120,2,164,690,1,1000,200,20,70,390,450,#N/A N/A,350,#N/A N/A,#N/A N/A,20,4,2,17,21,4225,5,120,#N/A N/A,2998,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,3,20,21,136,#N/A N/A,#N/A N/A,160,73,200,32683,20051,20,421,10,10,1,1,300,20,400,8,216,1,1000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,1,50,2482,18,1,440,4,2083,20000,50,#N/A N/A,1187,#N/A N/A,#N/A N/A,#N/A N/A,1750,6,9123,1801,57,800,10,80386,5,12,600,1950,43,1,#N/A N/A,2400,200,285,100,1587,132000,290,30,#N/A N/A,300,#N/A N/A,212,200,12,#N/A N/A,75,4000,#N/A N/A,500,600,3,500,3,80,1600,110,1000,12,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,31,210,475,10000,57,100,3,630,1,239,#N/A N/A,55,#N/A N/A,23000,100,50,300,100,36,1,120,49,302,#N/A N/A,29290,211,#N/A N/A,500,245,139,5050,55,#N/A N/A,1,25000,729,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,247,1,240,1140,#N/A N/A,320,4,120,666,#N/A N/A,2839,#N/A N/A,7164526,7,1,687,216424,1000,1,3
04/08/2016,100,200,686,48500,144,1022,2010,#N/A N/A,100,#N/A N/A,34005,2250,119,356,27100,#N/A N/A,150,#N/A N/A,1,500,180,1,1,70,20,212443,750,2,30,1100,1,1000,#N/A N/A,100,750,20,5000,#N/A N/A,1000,32579,#N/A N/A,20,#N/A N/A,385,9,58,#N/A N/A,120,2,164,915,1,1000,173,20,70,390,450,#N/A N/A,350,#N/A N/A,#N/A N/A,30,48,2,47,21,835,5,60,#N/A N/A,1796,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,3,20,155,136,#N/A N/A,#N/A N/A,159,73,200,39473,5001,20,1894,10,10,1,4,300,20,100,8,216,1,215,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,1,50,603,18,1,440,4,2083,20000,50,#N/A N/A,4232,#N/A N/A,#N/A N/A,#N/A N/A,1750,20,19819,1801,57,800,10,97373,5,50,704,1950,129,1,#N/A N/A,2400,200,285,100,2485,132000,7597,30,#N/A N/A,300,#N/A N/A,1346,200,12,#N/A N/A,75,4000,#N/A N/A,500,600,3,500,3,141,1600,110,1000,6,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,59,210,475,10000,57,921,3,630,1,30,#N/A N/A,55,#N/A N/A,25000,100,50,300,100,7000,1,120,49,302,#N/A N/A,104133,82,#N/A N/A,500,245,139,5050,80,#N/A N/A,1,25000,970,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,50,1,240,1140,#N/A N/A,320,26,120,666,#N/A N/A,1846,#N/A N/A,2788345,7,1,687,161957,1000,1,3
03/08/2016,350,570,686,116154,144,346,100,#N/A N/A,75,#N/A N/A,48191,2900,555,356,8701,#N/A N/A,234,#N/A N/A,28,500,125,1,1,2,20,136213,3000,2,30,1100,1,1000,#N/A N/A,100,750,446,5000,#N/A N/A,1000,43246,#N/A N/A,20,#N/A N/A,385,9,58,#N/A N/A,120,2,164,1845,1,1000,173,100,70,2210,450,#N/A N/A,350,#N/A N/A,#N/A N/A,30,48,2,2,21,280,5,60,#N/A N/A,1063,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,15,20,3,136,#N/A N/A,#N/A N/A,254,73,10000,20840,2417,20,231,10,10,1,10,300,20,100,8,216,1,130,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,251,50,1062,18,1,440,4,2083,20000,50,#N/A N/A,8176,#N/A N/A,#N/A N/A,#N/A N/A,1750,20,11463,1801,57,800,10,146712,5,50,704,1950,129,1,#N/A N/A,2400,200,285,100,5594,132000,3470,30,#N/A N/A,300,#N/A N/A,1110,200,12,#N/A N/A,75,4000,#N/A N/A,500,600,2000,500,3,141,1600,110,1000,56,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,31,210,475,10000,57,921,3,630,1,550,#N/A N/A,55,#N/A N/A,47212,100,50,300,100,7000,1,120,49,302,#N/A N/A,55124,170,#N/A N/A,500,220,139,5050,75,#N/A N/A,1,25000,970,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,128,1,240,1140,#N/A N/A,320,100,120,666,#N/A N/A,1903,#N/A N/A,236028,7,1,687,220245,1000,1,3
02/08/2016,350,570,686,54689,144,69,3500,#N/A N/A,75,#N/A N/A,59073,1392,173,356,1691,#N/A N/A,70,#N/A N/A,6,500,150,1,1,25,20,243330,3000,2,30,1100,1,1000,#N/A N/A,100,750,446,5000,#N/A N/A,1000,22726,#N/A N/A,485,#N/A N/A,385,9,58,#N/A N/A,20,2,164,2101,1,300,173,90,70,2210,450,#N/A N/A,350,#N/A N/A,#N/A N/A,30,16,2,88,21,420,5,60,#N/A N/A,665,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,15,20,1,136,#N/A N/A,#N/A N/A,178,73,10000,7456,2101,20,52,10,10,1,10,300,20,1000,8,216,1,1700,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,301,50,1363,18,1,600,4,2083,20000,50,#N/A N/A,2516,#N/A N/A,#N/A N/A,#N/A N/A,1750,20,2135,20,57,800,10,103401,5,20,300,1950,129,1,#N/A N/A,2400,200,285,100,6386,132000,10379,30,#N/A N/A,300,#N/A N/A,517,200,12,#N/A N/A,75,4000,#N/A N/A,500,600,100,500,3,141,1600,110,1000,56,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,21,210,475,10000,57,921,3,630,37,550,#N/A N/A,55,#N/A N/A,47212,100,50,300,100,7000,1,120,49,302,#N/A N/A,57717,49,#N/A N/A,500,340,139,5050,11,#N/A N/A,1,25000,970,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,212,1,240,1140,#N/A N/A,320,70,120,666,#N/A N/A,5374,#N/A N/A,518000,7,1,687,33472,1000,1,3
01/08/2016,5,570,686,3083,144,136,3500,#N/A N/A,75,#N/A N/A,120888,1335,2074,356,5934,#N/A N/A,1300,#N/A N/A,11,500,150,1,1,11,20,314308,3000,3,30,1100,1,1000,#N/A N/A,100,5662,206,5000,#N/A N/A,1000,13467,#N/A N/A,485,#N/A N/A,385,9,58,#N/A N/A,100,2,164,3732,1,300,400,90,70,675,450,#N/A N/A,350,#N/A N/A,#N/A N/A,30,9,2,193,21,3256,5,60,#N/A N/A,6991,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,15,5,1,136,#N/A N/A,#N/A N/A,832,73,1000,281,547,20,1,10,10,1,10,300,20,1000,8,216,1,6700,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,479,50,2820,18,1,600,4,2083,20000,50,#N/A N/A,4113,#N/A N/A,#N/A N/A,#N/A N/A,1750,20,27060,2760,57,800,10,151815,5,350,1129,1950,129,1,#N/A N/A,2400,200,285,100,1701,132000,4560,30,#N/A N/A,300,#N/A N/A,1850,200,12,#N/A N/A,75,4000,#N/A N/A,500,600,100,500,3,10,1600,110,1000,164,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,1,210,475,10000,57,921,3,113,1,550,#N/A N/A,55,#N/A N/A,89500,100,50,300,100,7000,1,120,49,302,#N/A N/A,114710,18,#N/A N/A,500,340,139,5050,11,#N/A N/A,1,25000,3101,#N/A N/A,16,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,313,3648,273,1140,#N/A N/A,320,21,120,666,#N/A N/A,4645,#N/A N/A,671049,7,1,687,19710,1000,1,3
31/07/2016,124,55,686,39744,144,197,5,#N/A N/A,75,#N/A N/A,125794,3715,150,356,5934,#N/A N/A,214,#N/A N/A,11,500,150,1,1,11,20,824362,3000,3,290,900,1,1000,#N/A N/A,100,5662,175,5000,#N/A N/A,1000,11766,#N/A N/A,485,#N/A N/A,385,9,350,#N/A N/A,80,2,164,1525,1,4000,100,90,70,180,450,#N/A N/A,350,#N/A N/A,#N/A N/A,30,12,2,38,21,2400,5,100,#N/A N/A,4791,#N/A N/A,4,120,#N/A N/A,#N/A N/A,1400,15,5,32,136,#N/A N/A,#N/A N/A,417,73,35,2401,1,20,1253,10,10,1,10,300,20,1000,8,216,1,4520,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,261,2949,50,921,18,4,185,4,3300,20000,50,#N/A N/A,3662,#N/A N/A,#N/A N/A,#N/A N/A,1750,7,11472,2760,28,800,10,124239,5,80,6970,1950,129,1,#N/A N/A,2400,200,285,100,1004,132000,4786,30,#N/A N/A,90,#N/A N/A,9650,200,12,#N/A N/A,50,4000,#N/A N/A,500,600,100,500,3,10,960,110,1000,3,10,#N/A N/A,130,#N/A N/A,100,66,70,200,#N/A N/A,7,1,39,210,475,10000,57,921,3,113,120,550,#N/A N/A,55,#N/A N/A,15420,100,50,24,100,7000,1,120,49,302,#N/A N/A,138029,1570,#N/A N/A,500,340,139,5050,21,#N/A N/A,2,25000,3101,#N/A N/A,15,30,1,420,#N/A N/A,#N/A N/A,#N/A N/A,21,3648,273,1140,#N/A N/A,320,9,120,666,#N/A N/A,2659,#N/A N/A,553871,7,2,687,20547,1000,1,3
