Date,FR0005854700 ISIN,FR0010929125 ISIN,FR0000079691 ISIN,FR0000062184 ISIN,FR0000066680 ISIN,FR0004035913 ISIN,FR0010086371 ISIN,FR0000120859 ISIN,FR0013060100 ISIN,FR0000065773 ISIN,FR0011158823 ISIN,FR0010688465 ISIN,FR0000125346 ISIN,FR0000064297 ISIN,FR0000060451 ISIN,FR0000124232 ISIN,FR0012880482 ISIN,FR0000064958 ISIN,FR0010082305 ISIN,FR0000073298 ISIN,FR0004060671 ISIN,FR0000072597 ISIN,FR0011442235 ISIN,FR0000077919 ISIN,FR0004007813 ISIN,FR0000121485 ISIN,FR0004029411 ISIN,FR0000185621 ISIN,FR0000074692 ISIN,FR0010386334 ISIN,FR0004152700 ISIN,FR0000120321 ISIN,FR0000035263 ISIN,FR0000130213 ISIN,FR0000053829 ISIN,FR0000072399 ISIN,FR0010921163 ISIN,FR0000034779 ISIN,FR0010307819 ISIN,FR0004165801 ISIN,FR0010515742 ISIN,FR0000076481 ISIN,BE6201089735 ISIN,FR0000033599 ISIN,FR0000050353 ISIN,FR0004155208 ISIN,FR0000121352 ISIN,FR0000044943 ISIN,FR0006205019 ISIN,FR0011884378 ISIN,IT0005072035 ISIN,FR0000121014 ISIN,FR0010778050 ISIN,FR0000053225 ISIN,FR0010827741 ISIN,IE00BJYS1G50 ISIN,FR0013153541 ISIN,FR0000030074 ISIN,FR0000064404 ISIN,FR0000039620 ISIN,FR0010492181 ISIN,FR0011217710 ISIN,FR0004078186 ISIN,BE6252013725 ISIN,FR0010204453 ISIN,FR0000053027 ISIN,FR0000121261 ISIN,FR0010304402 ISIN,FR0010976746 ISIN,FR0010554113 ISIN,FR0000076986 ISIN,FR0010882886 ISIN,FR0005057635 ISIN,FR0010981548 ISIN,FR0010518936 ISIN,FR0000037970 ISIN,FR0011341205 ISIN,FR0000061376 ISIN,FR0000120685 ISIN,FR0004157543 ISIN,FR0011636083 ISIN,FR0000120560 ISIN,FR0004154060 ISIN,FR0010358507 ISIN,FR0000044448 ISIN,FR0010112524 ISIN,FR0010500363 ISIN,FI0009000681 ISIN,FR0011421817 ISIN,FR0010978924 ISIN,FR0004155174 ISIN,FR0000185464 ISIN,FR0000064529 ISIN,FR0004065639 ISIN,FR0011594233 ISIN,FR0010231860 ISIN,FR0000062234 ISIN,FR0000052680 ISIN,FR0010176115 ISIN,FR0010428771 ISIN,FR0004174712 ISIN,FR0010312181 ISIN,FR0000133308 ISIN,FR0010160564 ISIN,FR0010609206 ISIN,FR0000184798 ISIN,FR0000077992 ISIN,FR0000052896 ISIN,FR0006823092 ISIN,FR0012146629 ISIN,FR0000038465 ISIN,FR0000120693 ISIN,FR0000121501 ISIN,FR0000057895 ISIN,FR0011065242 ISIN,FR0000185480 ISIN,FR0000073041 ISIN,FR0000061608 ISIN,FR0010357145 ISIN,FR0000030769 ISIN,FR0000124570 ISIN,FR0012735355 ISIN,FR0000064644 ISIN,GB00B2R1Q018 ISIN,FR0000130577 ISIN,FR0010211615 ISIN,FR0000050320 ISIN,FR0000060618 ISIN,FR0010038570 ISIN,FR0012395457 ISIN,FR0000120388 ISIN,FR0000130395 ISIN,FR0000131906 ISIN,FR0010451203 ISIN,FR0000045601 ISIN,FR0000031684 ISIN,FR0000035750 ISIN,FR0000121253 ISIN,FR0000073272 ISIN,FR0011233261 ISIN,FR0000125007 ISIN,FR0000124356 ISIN,FR0000060071 ISIN,FR0000120578 ISIN,FR0010776617 ISIN,FR0013154002 ISIN,FR0010972091 ISIN,FR0000121972 ISIN,FR0010411983 ISIN,FR0000052839 ISIN,FR0000071755 ISIN,FR0011352590 ISIN,FR0000073728 ISIN,FR0000060790 ISIN,FR0010679365 ISIN,FR0010518605 ISIN,FR0004038818 ISIN,FR0000061582 ISIN,FR0000036857 ISIN,FR0011131788 ISIN,FR0004016699 ISIN,FR0010209809 ISIN,FR0000130809 ISIN,FR0006563904 ISIN,FR0000121220 ISIN,FR0000072563 ISIN,FR0000078321 ISIN,FR0000038804 ISIN,FR0000030140 ISIN,FR0010480533 ISIN,BE0003470755 ISIN,FR0000120495 ISIN,FR0000050809 ISIN,FR0000054371 ISIN,FR0012757854 ISIN,FR0000131732 ISIN,FR0010213215 ISIN,FR0000054199 ISIN,GB00BZ21RF93 ISIN,FR0000064271 ISIN,NL0000226223 ISIN,FR0000063976 ISIN,FR0010613471 ISIN,FR0004180578 ISIN,FR0000032658 ISIN,FR0000063307 ISIN,FR0000033466 ISIN,FR0010918292 ISIN,FR0000131708 ISIN,FR0000065450 ISIN,FR0000185795 ISIN,FR0000184806 ISIN,FR0000051807 ISIN,FR0011076595 ISIN,FR0000054900 ISIN,FR0000121329 ISIN,FR0007261425 ISIN,FR0004037182 ISIN,FR0000064388 ISIN,FR0000120271 ISIN,FR0011040690 ISIN,FR0000031866 ISIN,FR0000051567 ISIN,FR0005175080 ISIN,FR0010397901 ISIN,FR0000031106 ISIN,FR0010500793 ISIN,FR0010383877 ISIN,FR0011068766 ISIN,FR0010654087 ISIN,FR0000054470 ISIN,FR0000079980 ISIN,FR0011776889 ISIN,FR0010949388 ISIN,FR0000054215 ISIN,FR0000034548 ISIN,FR0005783503 ISIN,FR0000074197 ISIN,FR0012709160 ISIN,FR0012060036 ISIN,FR0013176526 ISIN,FR0000120354 ISIN,FR0000124141 ISIN,FR0004155240 ISIN,FR0000062465 ISIN,FR0006174496 ISIN,FR0000077158 ISIN,FR0010326090 ISIN,FR0000031775 ISIN,FR0000050049 ISIN,FR0000052516 ISIN,FR0000125486 ISIN,FR0010033480 ISIN,FR0000065765 ISIN,FR0000127771 ISIN,FR0010302224 ISIN,DK0060129575 ISIN,FR0000062796 ISIN,FR0013079092 ISIN,FR0010688440 ISIN,FR0000121204 ISIN,FR0010768770 ISIN,FR0011981968 ISIN,FR0000184822 ISIN,FR0000052870 ISIN,FR0000125684 ISIN
09/08/2016,1198,42,20,1,100,25,254,20,40,1,101,50,18,371,10,1,96,20,#N/A N/A,350,2000,438,100,100,70,150,1291,2057,10,1,12,113,#N/A N/A,208,#N/A N/A,7867,1,#N/A N/A,200,#N/A N/A,99,20,1040,#N/A N/A,91,2238,#N/A N/A,58742,4,32916,100,819,130,100,681,100,2,19,1,100,5,20,40,435,1000,#N/A N/A,500,134,64,15,2,10000,8,591,17,60,30,469,3500,415,400,200,3000,500,42,20,1417,17523,15,384,20,1,#N/A N/A,790,10,3525,10,#N/A N/A,440,300,15,99,6220,#N/A N/A,539,670,60,18,46,500,2413,10,4000,769,18,200,121,58,1000,3,5,1,#N/A N/A,#N/A N/A,80,3,#N/A N/A,50,2,1,40,20,355,320,8,50,154,160,350,3091,1880,1,1,3352,100,100,156,30,1000,#N/A N/A,91,230,93,36,96,222,1000,1,12,1424,513,#N/A N/A,258,10,676,#N/A N/A,#N/A N/A,161,1,#N/A N/A,100,#N/A N/A,12,2,10,1300,1,#N/A N/A,464,#N/A N/A,3125,699,2,40,#N/A N/A,2923,5,1000,500,354,200,5,100,1206,500,196,2,21,1596,2281,750,3,1,800,20,1,1,1,444,10570,54,#N/A N/A,1,5,2,#N/A N/A,2,#N/A N/A,1000,100,70,3856,293,850,55,60,25092,1,20,#N/A N/A,20,376,4900,1000,388,#N/A N/A,1,50,28,1,30,201,130,3,5,100
08/08/2016,2.82,134.2,0.57,26.4,1.445,170.26,0.54,63.41,14.4,6.21,0.34,0.98,95.52,5,329.99,14.03,7.8,2.33,39.505,28.905,0.23,11.301,0.36,30.885,36.797,169.45,2.73,12.91,4.41,31.322,3.68,171.28,#N/A N/A,22.353,#N/A N/A,39.9,2,#N/A N/A,51.56,#N/A N/A,2.95,8.56,1.02,4.144,24.251,4.1,36.64,0.69,9.98,2.5,0.41,151.95,30,16.195,6,15.209,21.122,265,7.83,16.12,7.1,5.25,1.5,12.2,1.6,#N/A N/A,94.43,22.85,3.53,0.5,5539.99,0.25,58,0.89,5.88,80.15,16.955,11,3.624,3.15,1.43,24.155,1.93,0.8,46.005,47.625,0.38,4.923,0.32,1.3,14.89,1.9,#N/A N/A,8.8,20.844,1.02,751.6,1,12.89,2.758,7,2.85,13.735,#N/A N/A,3.87,78.326,1.8,86,8.75,0.14,4.51,102.404,13.23,0.34,46,0.96,41.2,8.395,0.21,396,28.2,7.25,1295,1.5,66.12,16.2,#N/A N/A,14.895,91.86,4.89,2.118,76.45,77.49,13.626,190,22.084,2.34,72.298,60.82,13,38.315,49.22,128.51,72.512,10.98,63.29,0.17,59.27,25.879,39.65,11.88,1.711,170,14,0.06,0.5,1.38,29.35,44.25,0.09,31.05,1.66,31.35,171.1,103.696,#N/A N/A,1.129,90.53,1440,20,94.36,180.796,103.6,2.28,16.963,5.198,0.7,0.64,24.3,#N/A N/A,6.639,14.2,14.052,23.371,#N/A N/A,1.4,175,5.649,49.56,245,12,3.09,82.73,0.6,8.566,80.9,275,34.87,0.66,42.988,1.22,3654,4504.01,2.684,10.5,4,4.76,0.19,0.5,6,36.9,3.998,7.75,19.71,1050,#N/A N/A,47.49,0.609,5.3,9,46.13,3.359,20.032,1.515,0.63,7.2,1.66,28.59,54.7,4.1586,60.214,67.15,0.9,2.09,17.68,#N/A N/A,0.14,21.979,9,12.46,95.66,1.6,27.36,2.91,192.91,19.457
07/08/2016,2.82,134.12,0.57,26.4,1.445,172.01,0.54,63.39,14.4,6.21,0.34,0.98,96.34,4.95,329.99,14.01,7.8,2.33,39.505,28.59,0.23,11.147,0.36,30.027,37.24,172.35,2.7,13.9,4.41,31.355,3.68,172.1,#N/A N/A,22.413,#N/A N/A,39.49,2,#N/A N/A,51.51,#N/A N/A,2.95,8.56,1.02,4.144,24.244,4.1,36.64,0.69,9.98,2.49,0.41,153.15,30,16.065,6,15.174,20.839,265,7.82,15.53,7.1,5.26,1.5,12.2,1.6,#N/A N/A,93.44,22.85,3.53,0.5,5539.99,0.25,58,0.89,5.88,80.15,17,11,3.494,3.15,1.43,23.735,1.92,0.8,45.09,47.625,0.38,4.92,0.32,1.3,14.89,1.9,#N/A N/A,8.5,21.503,1.02,743.22,1,13.2,2.778,7,2.85,13.87,#N/A N/A,4.05,78.878,1.8,86,8.75,0.14,5.27,102.375,13.13,0.34,46,0.96,41.215,8.414,0.21,396,28.225,7.25,1295,1.5,66,16.2,#N/A N/A,14.79,91.86,4.89,2.124,77.239,76.63,13.595,190,22.076,2.34,73.3,60.39,13,37.653,49.06,128.51,72.3,10.99,63.66,0.17,58.67,25.349,39.65,11.88,1.719,170,14,0.06,0.5,1.38,29.35,44.25,0.09,30.99,1.66,30.78,171.1,103.946,#N/A N/A,1.129,87.02,1430,20,92.425,180.796,103.485,2.28,16.793,5.253,0.7,0.64,24.58,#N/A N/A,6.634,14.2,14.095,23.557,#N/A N/A,1.4,175,5.56,48.795,245,12,3.09,82.94,0.6,8.41,81,275,34.87,0.66,42.86,1.22,3654,4504.01,2.65,10.5,4,4.76,0.19,0.5,6,37.545,3.998,7.75,19.471,1050,#N/A N/A,47.49,0.625,5.3,9,45.675,3.207,20.021,1.502,0.63,7.2,1.66,28.59,54.23,4.1586,59.99,67.698,1,2.09,17.63,#N/A N/A,0.14,21.947,9,12.46,94.824,1.6,27.3,2.91,192.26,19.487
06/08/2016,2.82,134.12,0.57,26.4,1.445,172.01,0.54,63.39,14.4,6.21,0.34,0.98,96.34,4.95,329.99,14.01,7.8,2.33,39.505,28.59,0.23,11.147,0.36,30.027,37.24,172.35,2.7,13.9,4.41,31.355,3.68,172.1,#N/A N/A,22.413,#N/A N/A,39.49,2,#N/A N/A,51.51,#N/A N/A,2.95,8.56,1.02,4.144,24.244,4.1,36.64,0.69,9.98,2.49,0.41,153.15,30,16.065,6,15.174,20.839,265,7.82,15.53,7.1,5.26,1.5,12.2,1.6,#N/A N/A,93.44,22.85,3.53,0.5,5539.99,0.25,58,0.89,5.88,80.15,17,11,3.494,3.15,1.43,23.735,1.92,0.8,45.09,47.625,0.38,4.92,0.32,1.3,14.89,1.9,#N/A N/A,8.5,21.503,1.02,743.22,1,13.2,2.778,7,2.85,13.87,#N/A N/A,4.05,78.878,1.8,86,8.75,0.14,5.27,102.375,13.13,0.34,46,0.96,41.215,8.414,0.21,396,28.225,7.25,1295,1.5,66,16.2,#N/A N/A,14.79,91.86,4.89,2.124,77.239,76.63,13.595,190,22.076,2.34,73.3,60.39,13,37.653,49.06,128.51,72.3,10.99,63.66,0.17,58.67,25.349,39.65,11.88,1.719,170,14,0.06,0.5,1.38,29.35,44.25,0.09,30.99,1.66,30.78,171.1,103.946,#N/A N/A,1.129,87.02,1430,20,92.425,180.796,103.485,2.28,16.793,5.253,0.7,0.64,24.58,#N/A N/A,6.634,14.2,14.095,23.557,#N/A N/A,1.4,175,5.56,48.795,245,12,3.09,82.94,0.6,8.41,81,275,34.87,0.66,42.86,1.22,3654,4504.01,2.65,10.5,4,4.76,0.19,0.5,6,37.545,3.998,7.75,19.471,1050,#N/A N/A,47.49,0.625,5.3,9,45.675,3.207,20.021,1.502,0.63,7.2,1.66,28.59,54.23,4.1586,59.99,67.698,1,2.09,17.63,#N/A N/A,0.14,21.947,9,12.46,94.824,1.6,27.3,2.91,192.26,19.487
05/08/2016,2.82,134.12,0.57,26.4,1.445,172.01,0.54,63.39,14.4,6.21,0.34,0.98,96.34,4.95,329.99,14.01,7.8,2.33,39.505,28.59,0.23,11.147,0.36,30.027,37.24,172.35,2.7,13.9,4.41,31.355,3.68,172.1,#N/A N/A,22.413,#N/A N/A,39.49,2,#N/A N/A,51.51,#N/A N/A,2.95,8.56,1.02,4.144,24.244,4.1,36.64,0.69,9.98,2.49,0.41,153.15,30,16.065,6,15.174,20.839,265,7.82,15.53,7.1,5.26,1.5,12.2,1.6,#N/A N/A,93.44,22.85,3.53,0.5,5539.99,0.25,58,0.89,5.88,80.15,17,11,3.494,3.15,1.43,23.735,1.92,0.8,45.09,47.625,0.38,4.92,0.32,1.3,14.89,1.9,#N/A N/A,8.5,21.503,1.02,743.22,1,13.2,2.778,7,2.85,13.87,#N/A N/A,4.05,78.878,1.8,86,8.75,0.14,5.27,102.375,13.13,0.34,46,0.96,41.215,8.414,0.21,396,28.225,7.25,1295,1.5,66,16.2,#N/A N/A,14.79,91.86,4.89,2.124,77.239,76.63,13.595,190,22.076,2.34,73.3,60.39,13,37.653,49.06,128.51,72.3,10.99,63.66,0.17,58.67,25.349,39.65,11.88,1.719,170,14,0.06,0.5,1.38,29.35,44.25,0.09,30.99,1.66,30.78,171.1,103.946,#N/A N/A,1.129,87.02,1430,20,92.425,180.796,103.485,2.28,16.793,5.253,0.7,0.64,24.58,#N/A N/A,6.634,14.2,14.095,23.557,#N/A N/A,1.4,175,5.56,48.795,245,12,3.09,82.94,0.6,8.41,81,275,34.87,0.66,42.86,1.22,3654,4504.01,2.65,10.5,4,4.76,0.19,0.5,6,37.545,3.998,7.75,19.471,1050,#N/A N/A,47.49,0.625,5.3,9,45.675,3.207,20.021,1.502,0.63,7.2,1.66,28.59,54.23,4.1586,59.99,67.698,1,2.09,17.63,#N/A N/A,0.14,21.947,9,12.46,94.824,1.6,27.3,2.91,192.26,19.487
04/08/2016,2.82,132.91,0.57,26.37,1.445,168.179,0.54,61.898,14.4,6.21,0.45,0.98,94.803,4.93,329.99,14.01,7.8,2.33,39.505,27.769,0.17,11.264,0.36,29.464,36.494,167.556,2.66,14.03,4.41,30.968,3.68,169.25,#N/A N/A,22.055,#N/A N/A,39.58,2,#N/A N/A,50.968,#N/A N/A,2.95,8.56,1.02,4.144,24.021,4.1,36.64,0.71,9.98,2.48,1.35,149.949,30,15.974,6,15.242,20.02,265,7.81,14.793,7.1,5.26,1.5,12.2,1.7,#N/A N/A,90.816,22.99,3.53,0.5,5539.99,0.24,58,0.89,5.88,80.15,17.03,11,3.408,3.15,1.43,23.889,1.843,0.8,44.553,46.926,0.38,4.917,0.32,1.3,14.89,1.9,#N/A N/A,8.23,19.943,1.01,743.675,1,13.2,2.641,7,2.85,13.654,#N/A N/A,4.01,77.865,1.8,86,8.75,0.04,5.23,100.452,12.655,0.34,46,0.76,41.775,8.373,0.21,396,27.419,7.25,1295,1.5,64.847,16.2,#N/A N/A,14.975,91.86,4.89,2.083,75.652,74.099,13.189,190,21.857,2.34,71.231,60.227,13,37.489,49.06,128.51,72.211,10.99,63.003,0.17,58.12,25.113,39.65,11.88,1.634,170,14,0.06,0.5,1.38,29.35,44.25,0.09,31,1.66,29.922,171.1,101.795,#N/A N/A,1.129,89.59,1425.01,20,90.535,180.796,102.713,2.28,16.272,5.194,0.7,0.64,25,#N/A N/A,6.484,14.2,13.972,23.187,#N/A N/A,1.4,175,5.484,47.875,245,12,3.09,82.092,0.6,8.38,80.353,275,34.87,0.66,42.22,1.22,3654,4504.01,2.582,10.5,4,4.76,0.19,0.5,6,37.33,3.998,7.75,19.355,1050,#N/A N/A,47.49,0.62,5.3,9,44.142,3.106,19.565,1.47,0.63,7.2,1.66,28.59,53.619,4.1586,59.202,66.875,1,2.09,17.369,#N/A N/A,0.14,21.834,9,12.46,93.926,1.81,26.777,2.91,186.05,19.241
03/08/2016,2.82,129.15,0.57,26.37,1.435,168.86,0.49,62.05,14.4,6.21,0.45,0.98,94.735,4.96,325,14.01,7.8,2.33,39.505,28.24,0.17,11.2,0.36,29.547,36.96,168.2,2.74,14.1,4.41,30.941,3.68,169.4,#N/A N/A,22.323,#N/A N/A,39.14,2,#N/A N/A,50.69,#N/A N/A,2.95,8.56,1.02,4.144,24.341,4.1,36.64,0.71,9.98,2.5,1.35,150.19,30,16.03,6,15.124,19.519,265,7.8,14.84,7.1,5.26,1.5,12.2,1.7,#N/A N/A,90.52,22.99,3.53,0.5,5539.99,0.24,58,0.89,5.88,80.15,17.006,11,3.394,3.15,1.43,24.265,1.911,0.79,44.315,47.055,0.4,5.031,0.32,1.3,14.89,1.9,#N/A N/A,8.4,19.832,0.89,730.05,1,13.2,2.734,7,2.85,13.595,#N/A N/A,4.04,78.035,1.8,86,8.75,0.04,6.1,100.925,12.646,0.34,46,0.76,41.605,8.258,0.21,396,27.59,7.25,1295,1.5,64.71,16.2,#N/A N/A,15.055,91.86,4.89,2.1,75.641,73.286,13.142,190,21.99,2.34,71.05,60.651,13,37.198,48.85,128.5,73.01,10.99,62.56,0.17,57.359,25.249,39.65,11.88,1.731,170,14,0.05,0.5,1.38,29.35,44.25,0.09,31.23,1.66,29.094,171.1,101.173,#N/A N/A,1.129,89.59,1425.01,20,90.685,180.796,101.75,2.28,16.234,5.199,0.7,0.64,25.2,#N/A N/A,6.326,14.2,14.01,23.512,#N/A N/A,1.4,175,5.397,47.735,245,12,3.09,81.9,0.6,8.434,81.245,275,33,0.66,42.04,1.22,3654,4504.01,2.604,10.5,4,4.76,0.19,0.5,6,35.845,3.998,7.75,19.549,987.9,#N/A N/A,47.49,0.638,5.3,9,44.06,3.085,19.72,1.481,0.63,7.2,1.66,28.59,51.948,4.1586,59.99,66.585,1,2.09,17.28,#N/A N/A,0.14,21.91,9,12.46,93.374,1.81,26.955,2.91,186.36,19.292
02/08/2016,2.82,128.255,0.57,26.36,1.435,170.05,0.49,62.47,14.4,6.21,0.45,1.11,95.76,4.98,325,14.01,7.8,2.33,39.505,28.56,0.17,11.168,0.36,29.708,37.833,169.1,2.78,13.69,4.41,31.185,3.68,169.77,#N/A N/A,22.363,#N/A N/A,39.23,2,#N/A N/A,50.7,#N/A N/A,2.95,8.56,1.02,4.144,24.53,4.1,36.64,0.7,9.98,2.45,1.35,149.6,30,16.09,6,15.091,18.922,265,7.8,14.7,7.1,5.26,1.5,12.2,1.7,#N/A N/A,90.66,22.9,3.53,0.5,5550,0.24,58,0.89,5.88,80.15,16.901,11,3.417,3.15,1.43,24.05,1.913,0.79,44,47.8,0.4,4.971,0.32,1.3,14.89,1.9,#N/A N/A,8.55,20.137,1.03,735.48,1,13.2,2.748,7,2.85,13.515,#N/A N/A,4.12,78.962,1.8,86,8.75,0.04,5.83,100.575,12.89,0.34,46,0.76,41.315,8.278,0.21,396,27.87,7.25,1295,1.5,65.01,16.2,#N/A N/A,14.745,91.86,4.89,2.138,75.703,74.809,12.955,190,22.034,2.34,71.77,61.14,13,37.142,49,128.51,73.879,10.99,63.18,0.15,57.92,25.408,39.65,11.88,1.671,170,14,0.04,0.5,1.38,29.35,44.25,0.09,31.18,1.66,28.05,171.1,102.673,#N/A N/A,1.129,89.59,1425.01,20,90.084,180.796,102.8,2.28,16.25,5.207,0.7,0.64,24.75,#N/A N/A,6.252,14.2,14.17,23.629,#N/A N/A,1.4,175,5.464,46.75,245,12,3.09,82.66,0.6,8.495,81.69,275,33,0.66,41.435,1.22,3654,4504.01,2.6,10.6,4,4.76,0.18,0.5,6,36.28,3.998,7.75,19.486,966.19,#N/A N/A,47.49,0.588,5.3,9,44.74,3.045,19.872,1.467,0.63,7.2,1.66,28.59,52.48,4.1586,59.542,67.441,1,2.024,17.42,#N/A N/A,0.14,21.451,8.65,12.46,93.72,1.81,26.978,2.91,191.46,19.586
01/08/2016,2.83,126.853,0.57,26.36,1.435,171.554,0.49,62.165,12,6.21,0.45,1.11,95.943,4.94,319,14.01,7.8,2.33,39.505,28.46,0.17,11.141,0.36,29.86,37.735,169.922,2.78,13.35,4.41,31.166,3.68,168.591,#N/A N/A,22.289,#N/A N/A,38.98,2,#N/A N/A,50.793,#N/A N/A,2.95,8.65,1.02,4.144,24.713,4.1,36.64,0.67,9.98,2.45,1.35,152,30,16.065,6,15.315,18.725,265,7.75,14.479,7.1,5.26,1.5,12.2,1.6,#N/A N/A,90.388,22.9,3.53,0.5,5550,0.24,58,0.89,5.88,80.15,16.91,11,3.569,3.15,1.43,23.72,1.834,0.8,44.692,47.593,0.4,5.052,0.32,1.3,14.89,1.9,#N/A N/A,8.59,21.066,1,742.148,1,13.2,2.679,7,2.85,13.712,#N/A N/A,4.12,78.006,1.8,86,8.75,0.04,5.77,100.356,13.22,0.34,45,0.76,41.169,8.422,0.21,396,28.176,7.25,1295,1.5,65.473,16.2,#N/A N/A,14.477,91.86,4.89,2.026,76.747,76.435,12.921,190,21.754,2.34,71.627,61.712,13,37.538,48.95,128.5,75.737,10.99,62.756,0.15,57.746,25.559,39.65,11.88,1.606,170,14,0.04,0.5,1.38,29.5,44.25,0.09,31.21,1.66,29.393,171.1,102.905,#N/A N/A,1.129,89.59,1425.01,20,90.818,180.796,103.95,1.72,16.562,5.204,0.7,0.64,25.2,#N/A N/A,6.434,14.2,14.455,23.285,#N/A N/A,1.4,175,5.566,48.31,245,12,3.09,82.342,0.6,8.493,80.899,275,33,0.66,42,1.22,3654,4504.01,2.525,10.6,4,4.76,0.18,0.45,6,36.378,3.998,7.71,19.276,966.19,#N/A N/A,47.49,0.6,5.3,9,44.812,3.113,19.582,1.47,0.63,7.2,1.66,28.59,52.107,4.1586,59.113,66.488,1,2.014,17.528,#N/A N/A,0.14,21.478,8.65,12.46,94.881,1.81,26.713,2.91,206,19.809
31/07/2016,2.93,127.27,0.57,26.37,1.426,173.76,0.49,63.02,10.55,6.21,0.45,1.01,97.53,4.91,317.01,14.01,7.8,2.33,39.505,29.48,0.17,11.008,0.36,30.065,38.73,172.65,2.81,13.04,4.41,31.48,3.68,170.746,#N/A N/A,22.657,#N/A N/A,39.25,2,#N/A N/A,49.33,#N/A N/A,2.95,8.65,1.02,4.144,23.738,4.1,36.64,0.68,9.98,2.44,1.35,153.455,30,16.08,6,15.248,18.977,265,7.65,14.4,7.1,5.26,1.5,12.2,1.51,#N/A N/A,91.288,22.87,3.53,0.41,5550,0.25,58,0.89,5.88,80.15,16.99,11,3.681,3.2,1.43,24.84,1.886,0.8,45.13,47.095,0.4,5.154,0.32,1.3,14.89,1.9,#N/A N/A,8.59,20.927,1.07,737.45,1,12.99,2.808,7,2.85,13.625,#N/A N/A,4.18,78.132,1.8,86,8.75,0.04,5.78,101.725,13.556,0.34,45,0.76,42.455,7.854,0.21,396,28.38,7.25,1295,1.5,66.61,16.2,#N/A N/A,15.665,91.86,4.89,2.139,77.164,77.853,13.303,190,22.047,2.34,72.2,60.478,13,37.895,48.85,127.5,76.17,10.39,63.1,0.15,58.21,25.941,39.65,11.88,1.74,170,13.88,0.04,0.5,1.38,29.6,44.25,0.09,31.17,1.66,30.502,171.1,103.371,#N/A N/A,1.129,89.59,1420,20,92.63,180.796,104.289,1.72,16.892,5.247,0.72,0.64,25,#N/A N/A,6.482,14.2,14.47,23.645,#N/A N/A,1.4,175,5.553,49.93,245,12,2.62,82.89,0.6,8.56,81.24,275,33,0.81,42.966,1.22,3654,4504.01,2.639,10.6,4,4.76,0.18,0.45,6,36.725,3.998,7.71,19.53,966.19,#N/A N/A,47.49,0.63,5.3,9,45.585,3.242,19.648,1.51,0.63,7.2,1.66,28.6,53.18,4.1586,59.22,67.085,1,2.014,17.41,#N/A N/A,0.14,21.302,8.65,12.46,95.083,1.81,26.618,2.91,206,19.993
