,correlation
1998-01-01,0.0
1998-01-02,0.0
1998-01-05,0.0
1998-01-06,0.0
1998-01-07,0.0
1998-01-08,0.0
1998-01-09,0.0
1998-01-12,0.0
1998-01-13,0.0
1998-01-14,0.0
1998-01-15,0.0
1998-01-16,0.0
1998-01-19,0.0
1998-01-20,0.0
1998-01-21,0.0
1998-01-22,0.0
1998-01-23,0.0
1998-01-26,0.0
1998-01-27,0.0
1998-01-28,0.0
1998-01-29,0.0
1998-01-30,0.08999678888629521
1998-02-02,0.09623039166629205
1998-02-03,0.12861788733832963
1998-02-04,0.12361951679040005
1998-02-05,0.12429888059972206
1998-02-06,0.12591508254544695
1998-02-09,0.13700377248201182
1998-02-10,0.15674916701199257
1998-02-11,0.16443194298776515
1998-02-12,0.16542839342817023
1998-02-13,0.16174901545921053
1998-02-16,0.15949261351851937
1998-02-17,0.16036419866479976
1998-02-18,0.16079180984375852
1998-02-19,0.15975751089024567
1998-02-20,0.14871503311613668
1998-02-23,0.14572010218418818
1998-02-24,0.14271042411521598
1998-02-25,0.14798810991201755
1998-02-26,0.14306697131335486
1998-02-27,0.1435899333732167
1998-03-02,0.14894491898294895
1998-03-03,0.10163704077449731
1998-03-04,0.10859615359616732
1998-03-05,0.11973297224511661
1998-03-06,0.14346313074653372
1998-03-09,0.14243151446028993
1998-03-10,0.15243611203848462
1998-03-11,0.14992420535772802
1998-03-12,0.1466681441457652
1998-03-13,0.15020041484521401
1998-03-16,0.16512335753367952
1998-03-17,0.16702409107483243
1998-03-18,0.16771125483498062
1998-03-19,0.17278515454953597
1998-03-20,0.169409786941617
1998-03-23,0.165628369389364
1998-03-24,0.16427853598721925
1998-03-25,0.14580052508002248
1998-03-26,0.14193660616704887
1998-03-27,0.1382706139031878
1998-03-30,0.12857238291662634
1998-03-31,0.1273513693180913
1998-04-01,0.12825132755223423
1998-04-02,0.11990814956200462
1998-04-03,0.08156414876355113
1998-04-06,0.09155268559973835
1998-04-07,0.06311948291940754
1998-04-08,0.06779557465859347
1998-04-09,0.09488257576444947
1998-04-10,0.10381500962343992
1998-04-13,0.10297387542434132
1998-04-14,0.10358812103068735
1998-04-15,0.09882194831166881
1998-04-16,0.09942070338042178
1998-04-17,0.10117734838708416
1998-04-20,0.10581791021014252
1998-04-21,0.10548896309656505
1998-04-22,0.11700424919887475
1998-04-23,0.10866982253238448
1998-04-24,0.11610918789460209
1998-04-27,0.11911607411191114
1998-04-28,0.12446835468603608
1998-04-29,0.1477103633495853
1998-04-30,0.14315684602640386
1998-05-01,0.13748732215486523
1998-05-04,0.09930247297118099
1998-05-05,0.14942943223355784
1998-05-06,0.1519985011791841
