N,price,dividend
1,39.37560193,2.305778491
2,38.72663551,2.237538941
3,39.09478127,2.204911742
4,41.70143312,2.287420382
5,43.76772616,2.341483293
6,44.09023179,2.378311258
7,43.2669702,2.378311258
8,44.51597981,2.416316232
9,43.90968801,2.358784893
10,41.00202102,2.322554568
11,41.44866613,2.322554568
12,41.40474308,2.271146245
13,42.45296443,2.271146245
14,42.62766798,2.358498024
15,43.37383178,2.323598131
16,43.59405941,2.272277228
17,43.59405941,2.356435644
18,43.50460476,2.374520338
19,43.89018692,2.409657321
20,43.03863988,2.476429675
21,41.9781274,2.459324635
22,43.07333333,2.513333333
23,41.65841584,2.524752475
24,43.29482226,2.561823802
25,43.63639876,2.561823802
26,43.01398337,2.589191232
27,42.67989418,2.589191232
28,42.0952381,2.589191232
29,43.124034,2.647217929
30,43.81289809,2.815286624
31,43.72492038,2.815286624
32,43.72492038,2.815286624
33,40.38176752,2.815286624
34,37.73390383,2.971882641
35,37.54583684,3.06686291
36,40.09934319,2.993842365
37,41.62732417,2.94785772
38,42.87793048,2.94785772
39,42.25262732,2.94785772
40,41.73234811,2.993842365
41,40.98013245,3.018625828
42,41.76525424,3.090254237
43,41.4491169,3.06686291
44,41.85889831,3.090254237
45,42.51440678,3.090254237
46,43.11498708,3.140826873
47,43.87358818,3.168114683
48,43.58557776,3.168114683
49,43.58557776,3.168114683
50,43.48957428,3.168114683
51,44.06559513,3.072111208
52,44.25710594,3.045650301
53,43.63383392,3.123674912
54,43.4851752,3.176999102
55,43.58445642,3.07771788
56,43.39314337,3.050311665
57,43.38589398,3.07771788
58,42.69092543,3.07771788
59,43.73958333,3.002717391
60,44.13939671,3.030164534
61,45.42211982,3.055299539
62,46.03317972,3.055299539
63,45.93133641,3.055299539
64,44.61116279,3.08372093
65,44.54098361,3.196721311
66,45.44846383,3.28543112
67,44.90089197,3.28543112
68,42.6586444,3.256385069
69,39.66391051,3.224708171
70,38.7330468,3.166189112
71,37.67045455,3.139204545
72,36.79906977,3.08372093
73,35.85694698,2.929159049
74,34.62195122,2.902439024
75,34.40913556,2.930746562
76,31.0286533,2.744030564
77,30.47560976,2.591463415
78,29.89742319,2.737859267
79,30.93565815,2.605108055
80,34.39030612,2.593367347
81,36.90927835,2.506185567
82,37.70670103,2.392268041
83,37.87907466,2.323869611
84,37.76288118,2.20767613
85,38.9084507,2.274647887
86,38.48740416,2.299561884
87,40.04697987,2.348434004
88,41.5779661,2.372316384
89,43.11565421,2.452686916
90,45.01851852,2.508363202
91,45.40023613,2.348288076
92,44.53563084,2.323598131
93,45.43925234,2.323598131
94,45.40023613,2.348288076
95,45.81063321,2.376344086
96,46.60452323,2.431540342
97,47.77657005,2.402173913
98,48.979092,2.376344086
99,48.71074879,2.535628019
100,50.92726161,2.566625917
101,53.22371638,2.566625917
102,54.08899876,2.595179234
103,54.57457213,2.566625917
104,54.97982885,2.566625917
105,55.05430933,2.609208973
106,57.84563758,2.472035794
107,57.83067941,2.346072187
108,56.04742268,2.278350515
109,56.52202202,2.322822823
110,57.51751752,2.322822823
111,58.04261645,2.409316155
112,59.00927835,2.506185567
113,55.95382166,2.697983015
114,57.34507042,2.753521127
115,59.97887324,2.873239437
116,62.13380282,2.873239437
117,61.41523605,2.964055794
118,63.19366953,2.964055794
119,65.80732484,3.049893843
120,67.85699264,3.021030494
121,72.61093418,3.167197452
122,71.6913775,3.137223975
123,72.50473186,3.253417455
124,71.52029136,3.219562955
125,75.52576236,3.369610936
126,76.4553102,3.369610936
127,73.01508845,3.449531738
128,69.90816327,3.382653061
129,67.8413556,3.364931238
130,66.10651751,3.332198444
131,67.19007859,3.473477407
132,65.23624754,3.473477407
133,64.25933202,3.473477407
134,62.2368677,3.439688716
135,62.12937743,3.439688716
136,61.59016393,3.409836066
137,60.26313276,3.377268386
138,59.43560606,3.348484848
139,63.32378223,3.377268386
140,64.66761364,3.348484848
141,67.07392996,3.439688716
142,65.88752456,3.473477407
143,63.62784936,3.504459861
144,64.5965966,3.53953954
145,64.26476476,3.53953954
146,62.20416254,3.504459861
147,63.6011011,3.53953954
148,65.51868687,3.571717172
149,65.05969388,3.608163265
150,67.62460568,3.834384858
151,67.9361588,3.912553648
152,64.85354077,3.912553648
153,66.20422535,3.950704225
154,64.4084507,3.950704225
155,66.08214677,3.993975904
156,63.92957746,3.950704225
157,62.01408451,3.950704225
158,63.69014085,3.950704225
159,63.45070423,3.950704225
160,61.85066372,3.911504425
161,58.05932203,3.995480226
162,55.68700565,3.995480226
163,56.32342857,4.041142857
164,59.85942857,4.041142857
165,58.56755196,4.083140878
166,57.31542056,4.001752336
167,57.42831541,4.092592593
168,57.91908213,4.137077295
169,56.58454106,4.003623188
170,57.69235364,3.960573477
171,59.16748166,3.917481663
172,58.31944444,3.870169082
173,59.00618047,3.82447466
174,60.14556962,3.916455696
175,61.68085106,3.734042553
176,65.13829787,3.595744681
177,65.04113924,3.636708861
178,68.81772152,3.496835443
179,72.46808511,3.457446809
180,70.24449878,3.24205379
181,71.91489362,3.319148936
182,73.29787234,3.319148936
183,72.5943038,3.356962025
184,72.53333333,3.258333333
185,72.89224704,3.339684625
186,77.14428191,3.379654255
187,77.3935611,3.339684625
188,76.96303502,3.296368353
189,78.9695201,3.296368353
190,80.97600519,3.15304799
191,82.98249027,3.15304799
192,79.9,3.116666667
193,77.17021277,3.042553191
194,75.66996292,3.141532756
195,77.44561187,3.141532756
196,79.22126082,3.141532756
197,80.58714462,3.141532756
198,79.24468085,3.319148936
199,78.18924051,3.356962025
200,75.37234043,3.319148936
201,75.25189873,3.356962025
202,71.91489362,3.457446809
203,72.39184178,3.414709518
204,70.33031401,3.336352657
205,70.10215054,3.300477897
206,70.46376812,3.336352657
207,67.79468599,3.336352657
208,68.89364303,3.24205379
209,70.61619283,3.278121137
210,69.28723404,3.319148936
211,70.20642769,3.278121137
212,71.70889988,3.278121137
213,73.48454883,3.278121137
214,72.2707824,3.106968215
215,69.92995169,3.069444444
216,68.59541063,3.069444444
217,72.46808511,3.180851064
218,74.13291139,3.217088608
219,73.525,3.258333333
220,73.38333333,3.258333333
221,77.24835742,3.339684625
222,78.55519054,3.339684625
223,76.95795007,3.194480946
224,77.97437582,3.194480946
225,78.82619974,3.15304799
226,77.39299611,3.15304799
227,76.67639429,3.15304799
228,75.36666667,3.116666667
229,78.1195795,3.194480946
230,77.24835742,3.194480946
231,76.66754271,3.194480946
232,78.26478318,3.194480946
233,80.5460441,3.15304799
234,79.97276265,3.15304799
235,79.39948119,3.15304799
236,74.81914894,3.042553191
237,72.66501854,3.004944376
238,69.3868974,3.004944376
239,65.88037975,3.07721519
240,64.34177215,3.07721519
241,68.56666667,3.116666667
242,68.53797468,3.07721519
243,66.5212766,3.042553191
244,67.88442522,3.004944376
245,68.45744681,3.042553191
246,68.70833333,3.116666667
247,68.36381323,3.15304799
248,70.65693904,3.15304799
249,77.3935611,3.194480946
250,77.3935611,3.194480946
251,77.14428191,3.232712766
252,79.49534574,3.232712766
253,83.06343793,3.316507503
254,83.21418827,3.316507503
255,86.35714286,3.55952381
256,87.42684659,3.610085227
257,87.42684659,3.610085227
258,86.95596591,3.610085227
259,84.67081604,3.515214385
260,84.72169168,3.467257844
261,82.6111869,3.618008186
262,84.26944065,3.618008186
263,81.84640957,3.526595745
264,80.00722733,3.484888305
265,78.46898734,3.356962025
266,76.20212766,3.319148936
267,75.225,3.4
268,76.10311284,3.439688716
269,70.27858081,3.484888305
270,68.65296496,3.723045822
271,63.88520055,3.820885201
272,64.86906475,3.974820144
273,66.78907331,3.820885201
274,67.83765348,3.768758527
275,70.72619048,3.869047619
276,69.21946023,3.924005682
277,69.68759124,4.032846715
278,71.59615385,3.923076923
279,75.85312024,4.03652968
280,76.86225266,4.03652968
281,74.00304414,3.868340944
282,72.99391172,3.868340944
