N,Short,Long,term_St,term_Kesci
1,2.4249,3.84,1.4151,
2,2.455,3.95,1.495,0.10325469
3,2.3546,3.86,1.5054,-0.097126167
4,2.4048,3.99,1.5852,0.12282426
5,2.7463,4.1,1.3537,0.10244388
6,2.7563,4.11,1.3537,0.003547363
7,2.636,4.19,1.554,0.073547363
8,2.4048,4.2,1.7952,0.0025926
9,3.3594,4.33,0.9706,0.12144288
10,3.40137,4.33,0.92863,-0.004626527
11,3.108,4.22,1.112,-0.11442647
12,3.108,4.32,1.212,0.094699467
13,4.0134,4.55,0.5366,0.2242228
14,3.5605,4.39,0.8295,-0.162557793
15,3.8624,4.34,0.4776,-0.05395395
16,2.7563,4.09,1.3337,-0.25227656
17,2.9573,4.23,1.2727,0.133642697
18,2.5052,4.23,1.7248,-0.006066537
19,1.7024,4.03,2.3276,-0.208221547
20,1.7526,3.84,2.0874,-0.201094893
21,1.04523,3.92,2.87477,0.07005006
22,2.4048,3.86,1.4552,-0.07370307
23,1.552,3.96,2.408,0.093063547
24,1.3515,4,2.6485,0.028521867
25,1.9532,3.86,1.9068,-0.152624517
26,2.0033,3.91,1.9067,0.04091092
27,2.1238,3.8,1.6762,-0.119088603
28,2.2542,3.84,1.5858,0.032010113
29,1.7024,3.79,2.0876,-0.05755898
30,2.2442,3.8,1.5558,4.91067E-05
31,2.1037,3.89,1.7863,0.08258402
32,1.6021,3.95,2.3479,0.051485303
33,2.0234,4.04,2.0166,0.078808343
34,1.9532,3.97,2.0168,-0.07961246
35,1.9632,3.97,2.0068,-0.009613413
36,2.1539,4,1.8461,0.020434253
37,2.4148,4.1,1.6852,0.091200257
38,2.3847,4.15,1.7653,0.041967213
39,2.455,4.11,1.655,-0.048414597
40,2.6659,3.97,1.3041,-0.147888833
41,2.696,3.92,1.224,-0.05621621
42,2.3044,3.93,1.6256,0.0041656
43,2.907,4.01,1.103,0.072251307
44,2.6559,4.06,1.4041,0.044742367
45,2.6459,4.03,1.3841,-0.036692877
46,2.6659,4,1.3341,-0.036597543
47,2.5153,3.98,1.4647,-0.02635921
48,2.5052,3.99,1.4848,0.003018263
49,2.9072,3.93,1.0228,-0.067077547
50,2.8769,3.97,1.0931,0.035124653
51,2.8166,3.99,1.1734,0.014789557
52,2.7764,4.02,1.2436,0.024406793
53,2.8568,4.03,1.1732,0.004072173
54,2.8266,4.05,1.2234,0.014407747
55,2.9472,4.05,1.1028,-0.00583154
56,3.0779,4.02,0.9421,-0.03525668
57,3.1482,4.04,0.8918,0.015509323
58,3.4197,4.1,0.6803,0.055749087
59,3.3594,4.15,0.7906,0.046757237
60,3.0075,4.15,1.1425,-0.003768527
61,3.4901,4.17,0.6799,0.014554083
62,3.4499,4.16,0.7101,-0.013240857
63,3.5304,4.16,0.6296,-0.00338481
64,3.4901,4.24,0.7499,0.076998907
65,3.3091,4.21,0.9009,-0.033574523
66,3.2588,4.17,0.9112,-0.04429429
67,3.4398,4.14,0.7002,-0.034343387
68,3.3091,4.18,0.8709,0.03666238
69,3.3091,4.18,0.8709,-0.00415129
70,3.5102,4.18,0.6698,-0.00415129
71,3.47,4.16,0.69,-0.023192713
72,3.6108,4.18,0.5692,0.016711
73,3.4097,4.19,0.7803,0.007286813
74,3.7718,4.18,0.4082,-0.01371943
75,3.8322,4.19,0.3578,0.008054247
76,3.8121,4.17,0.3579,-0.021705513
77,3.8624,4.18,0.3176,0.00829401
78,3.8121,4.18,0.3679,-0.001513893
79,3.8121,4.18,0.3679,-0.001753657
80,3.7618,4.19,0.4282,0.008246343
81,3.8121,4.25,0.4379,0.057958913
82,4.0134,4.33,0.3166,0.077912677
83,3.9127,4.35,0.4373,0.018490873
84,3.8121,4.4,0.5879,0.047915537
85,4.3155,4.49,0.1745,0.087197677
86,4.5169,4.58,0.0631,0.089168217
87,4.4363,4.78,0.3437,0.199699223
88,4.5169,4.59,0.0731,-0.191638303
89,4.6177,4.63,0.0123,0.039651557
