Libellé;;Taux de chômage au sens du BIT - Ensemble - France métropolitaine et DOM - Données CVS
IdBank;;001688527
Année;Trimestre
2016;2;9,9
2016;1;10,2
2015;4;10,2
2015;3;10,5
2015;2;10,4
2015;1;10,3
2014;4;10,5
2014;3;10,4
2014;2;10,2
2014;1;10,2
2013;4;10,1
2013;3;10,3
2013;2;10,4
2013;1;10,3
2012;4;10,1
2012;3;9,8
2012;2;9,7
2012;1;9,5
2011;4;9,3
2011;3;9,2
2011;2;9,1
2011;1;9,2
2010;4;9,2
2010;3;9,2
2010;2;9,3
2010;1;9,4
2009;4;9,5
2009;3;9,2
2009;2;9,2
2009;1;8,6
2008;4;7,7
2008;3;7,4
2008;2;7,3
2008;1;7,2
2007;4;7,4
2007;3;8,0
2007;2;8,1
2007;1;8,4
2006;4;8,3
2006;3;8,9
2006;2;9,0
2006;1;9,1
2005;4;9,0
2005;3;9,0
2005;2;8,8
2005;1;8,7
2004;4;8,9
2004;3;8,9
2004;2;8,8
2004;1;9,0
2003;4;8,8
2003;3;8,4
2003;2;8,5
2003;1;8,3
2002;4;8,0
2002;3;7,9
2002;2;7,9
2002;1;7,8
2001;4;7,8
2001;3;7,8
2001;2;7,7
2001;1;7,9
2000;4;8,1
2000;3;8,4
2000;2;8,7
2000;1;9,1
1999;4;9,5
1999;3;9,9
1999;2;10,2
1999;1;10,3
1998;4;10,2
1998;3;10,2
1998;2;10,3
1998;1;10,4
1997;4;10,6
1997;3;10,7
1997;2;10,7
1997;1;10,7
1996;4;10,6
1996;3;10,6
1996;2;10,6
1996;1;10,3
