Libellé,,Taux de chômage au sens du BIT - Ensemble - France métropolitaine et DOM - Données CVS,Indices des prix des logements anciens - France métropolitaine - Ensemble - Base 100 au 1er trimestre 2010 - Série brute,Produit intérieur brut total - Valeur aux prix courants - Série CVS-CJO
IdBank,,1688527,1587579,1690223
Année,Trimestre,,,
Year,Quarter,unemp,IPI,GDP
2016,3,10,105.7,555726
2016,2,9.9,103,553454
2016,1,10.2,102.6,554779
2015,4,10.2,103,549402
2015,3,10.5,103.9,545999
2015,2,10.4,102.4,542707
2015,1,10.3,102.3,543032
2014,4,10.5,103.5,538266
2014,3,10.3,105.9,535846
2014,2,10.2,105.2,533952
2014,1,10.2,104.8,533361
2013,4,10.1,106.2,531641
2013,3,10.3,107.4,529778
2013,2,10.4,106.6,529382
2013,1,10.3,106.8,525332
2012,4,10.1,108.2,524356
2012,3,9.8,110,523045
2012,2,9.7,109,520197
2012,1,9.5,109,519334
2011,4,9.3,110.5,518296
2011,3,9.2,111.8,515404
2011,2,9.1,109.3,512646
2011,1,9.2,107,512084
2010,4,9.2,106.6,505848
2010,3,9.2,105.3,501566
2010,2,9.3,102.1,497255
2010,1,9.4,100,492469
2009,4,9.5,99.1,488256
2009,3,9.2,98.9,483125
2009,2,9.2,97,482922
2009,1,8.6,98.8,484976
2008,4,7.7,103.3,494700
2008,3,7.4,107.2,499668
2008,2,7.3,106.7,500091
2008,1,7.2,106.7,499983
2007,4,7.4,107.4,494603
2007,3,8,106.6,489318
2007,2,8.1,104.1,484074
2007,1,8.4,102.3,478520
2006,4,8.3,101.6,472324
2006,3,8.9,100.9,464899
2006,2,9,97.5,461471
2006,1,9.1,94.5,455710
2005,4,9,92.4,450145
2005,3,9,90.7,443452
2005,2,8.8,86.3,439956
2005,1,8.7,82.7,436911
2004,4,8.9,80.4,433408
2004,3,8.9,78.5,428028
2004,2,8.8,74.6,424934
2004,1,9,71.6,421868
2003,4,8.8,69.3,416048
2003,3,8.4,68,411183
2003,2,8.5,65.1,406317
2003,1,8.3,62.6,404783
2002,4,8,61.5,402747
2002,3,7.9,60.9,400742
2002,2,7.9,58.3,397316
2002,1,7.8,56.3,394026
2001,4,7.8,55.8,390270
2001,3,7.8,55.8,388104
2001,2,7.7,54.1,385176
2001,1,7.9,52.3,382391
2000,4,8.1,51.6,378626
